# event_ticker=KXATPMATCH-26APR05ETCDIM
# final_score=6-4 2-6 6-3
# match_winner=Tomas Martin Etcheverry
# fav_player=Tomas Martin Etcheverry
# dog_player=Grigor Dimitrov
# kalshi_date=2026-04-05
timestamp,Tomas Martin Etcheverry,Grigor Dimitrov
2026-04-07T02:59:00Z,62.00,39.00
2026-04-07T03:03:00Z,62.00,39.00
2026-04-07T03:09:00Z,62.00,40.00
2026-04-07T03:11:00Z,62.00,40.00
2026-04-07T03:14:00Z,62.00,40.00
2026-04-07T03:18:00Z,62.00,40.00
2026-04-07T03:19:00Z,62.00,40.00
2026-04-07T03:22:00Z,62.00,39.00
2026-04-07T03:23:00Z,62.00,39.00
2026-04-07T03:25:00Z,62.00,39.00
2026-04-07T03:26:00Z,62.00,38.00
2026-04-07T03:27:00Z,62.44,38.00
2026-04-07T03:29:00Z,62.00,40.00
2026-04-07T03:30:00Z,62.00,40.00
2026-04-07T03:31:00Z,62.99,40.00
2026-04-07T03:34:00Z,63.00,40.00
2026-04-07T03:38:00Z,63.00,40.00
2026-04-07T03:40:00Z,63.00,40.00
2026-04-07T03:45:00Z,63.00,40.00
2026-04-07T03:49:00Z,63.00,40.00
2026-04-07T03:57:00Z,63.00,40.00
2026-04-07T03:59:00Z,63.00,38.00
2026-04-07T04:00:00Z,63.00,38.00
2026-04-07T04:01:00Z,63.00,38.00
2026-04-07T04:02:00Z,63.00,38.00
2026-04-07T04:03:00Z,63.00,39.00
2026-04-07T04:04:00Z,63.00,39.00
2026-04-07T04:05:00Z,63.00,39.00
2026-04-07T04:08:00Z,63.00,39.00
2026-04-07T04:09:00Z,63.00,39.00
2026-04-07T04:10:00Z,63.58,39.00
2026-04-07T04:11:00Z,64.00,38.00
2026-04-07T04:12:00Z,64.10,38.00
2026-04-07T04:13:00Z,63.31,38.00
2026-04-07T04:14:00Z,63.31,38.00
2026-04-07T04:16:00Z,64.00,38.00
2026-04-07T04:17:00Z,64.00,37.00
2026-04-07T04:19:00Z,63.40,37.00
2026-04-07T04:20:00Z,63.88,37.00
2026-04-07T04:22:00Z,63.88,38.00
2026-04-07T04:23:00Z,64.00,38.00
2026-04-07T04:26:00Z,63.71,38.00
2026-04-07T04:27:00Z,64.00,38.00
2026-04-07T04:28:00Z,64.00,39.81
2026-04-07T04:29:00Z,63.00,40.00
2026-04-07T04:30:00Z,63.00,40.00
2026-04-07T04:31:00Z,63.00,40.00
2026-04-07T04:32:00Z,63.00,40.00
2026-04-07T04:33:00Z,63.00,40.00
2026-04-07T04:34:00Z,63.00,40.00
2026-04-07T04:35:00Z,63.00,40.00
2026-04-07T04:36:00Z,63.00,40.00
2026-04-07T04:37:00Z,63.00,40.00
2026-04-07T04:38:00Z,63.00,40.00
2026-04-07T04:39:00Z,63.00,40.00
2026-04-07T04:40:00Z,63.00,40.00
2026-04-07T04:42:00Z,63.00,40.00
2026-04-07T04:45:00Z,62.00,40.00
2026-04-07T04:46:00Z,63.00,40.00
2026-04-07T04:47:00Z,63.00,40.00
2026-04-07T04:48:00Z,63.00,40.00
2026-04-07T04:49:00Z,62.00,40.00
2026-04-07T04:50:00Z,63.00,40.00
2026-04-07T04:52:00Z,63.00,40.00
2026-04-07T04:55:00Z,63.00,40.00
2026-04-07T04:56:00Z,63.00,40.00
2026-04-07T04:58:00Z,63.00,40.00
2026-04-07T04:59:00Z,63.00,40.00
2026-04-07T05:00:00Z,63.00,40.00
2026-04-07T05:01:00Z,63.00,40.00
2026-04-07T05:02:00Z,63.00,40.00
2026-04-07T05:03:00Z,63.00,40.00
2026-04-07T05:04:00Z,63.00,40.00
2026-04-07T05:05:00Z,63.00,40.00
2026-04-07T05:06:00Z,63.00,40.00
2026-04-07T05:07:00Z,62.00,40.00
2026-04-07T05:08:00Z,63.00,39.00
2026-04-07T05:09:00Z,63.00,39.00
2026-04-07T05:10:00Z,63.00,39.00
2026-04-07T05:11:00Z,63.00,39.00
2026-04-07T05:12:00Z,63.00,39.00
2026-04-07T05:13:00Z,63.00,39.00
2026-04-07T05:16:00Z,63.00,39.29
2026-04-07T05:17:00Z,63.00,39.29
2026-04-07T05:18:00Z,63.00,39.29
2026-04-07T05:21:00Z,63.00,39.29
2026-04-07T05:22:00Z,63.00,40.00
2026-04-07T05:23:00Z,63.00,40.00
2026-04-07T05:24:00Z,63.35,40.00
2026-04-07T05:25:00Z,64.00,40.00
2026-04-07T05:26:00Z,63.00,40.00
2026-04-07T05:27:00Z,62.26,40.00
2026-04-07T05:28:00Z,64.00,39.00
2026-04-07T05:29:00Z,63.52,39.00
2026-04-07T05:30:00Z,63.98,39.00
2026-04-07T05:31:00Z,63.91,39.00
2026-04-07T05:32:00Z,63.00,39.00
2026-04-07T05:33:00Z,63.00,39.00
2026-04-07T05:35:00Z,63.93,39.00
2026-04-07T05:36:00Z,64.00,39.00
2026-04-07T05:37:00Z,64.00,39.00
