# event_ticker=KXATPCHALLENGERMATCH-26MAY01BUSTAB
# final_score=6-4 6-0
# match_winner=Alejandro Tabilo
# fav_player=Alejandro Tabilo
# dog_player=Ignacio Buse
# kalshi_date=2026-05-01
timestamp,Ignacio Buse,Alejandro Tabilo
2026-05-01T13:40:00Z,42.99,60.00
2026-05-01T13:44:00Z,42.99,60.00
2026-05-01T13:45:00Z,42.99,60.00
2026-05-01T13:49:00Z,42.99,60.00
2026-05-01T13:50:00Z,42.00,60.00
2026-05-01T13:52:00Z,42.00,60.00
2026-05-01T14:00:00Z,42.00,60.00
2026-05-01T14:02:00Z,42.65,60.00
2026-05-01T14:03:00Z,42.65,60.00
2026-05-01T14:04:00Z,42.44,60.00
2026-05-01T14:06:00Z,42.96,60.00
2026-05-01T14:07:00Z,40.38,60.00
2026-05-01T14:10:00Z,40.00,60.00
2026-05-01T14:11:00Z,40.00,60.00
2026-05-01T14:16:00Z,42.00,60.00
2026-05-01T14:17:00Z,42.02,60.00
2026-05-01T14:25:00Z,41.00,60.00
2026-05-01T14:26:00Z,41.00,60.00
2026-05-01T14:28:00Z,41.00,60.00
2026-05-01T14:30:00Z,42.00,60.00
2026-05-01T14:31:00Z,42.00,60.00
2026-05-01T14:32:00Z,42.00,60.00
2026-05-01T14:33:00Z,42.00,60.00
2026-05-01T14:34:00Z,42.00,59.00
2026-05-01T14:35:00Z,42.00,58.94
2026-05-01T14:38:00Z,42.00,58.00
2026-05-01T14:40:00Z,42.89,58.00
2026-05-01T14:42:00Z,42.89,58.00
2026-05-01T14:43:00Z,42.89,58.00
2026-05-01T14:44:00Z,42.89,58.00
2026-05-01T14:48:00Z,42.89,58.00
2026-05-01T14:54:00Z,42.00,59.00
2026-05-01T14:55:00Z,42.00,59.00
2026-05-01T14:56:00Z,42.00,59.00
2026-05-01T14:58:00Z,42.00,59.00
2026-05-01T15:00:00Z,42.00,58.00
2026-05-01T15:01:00Z,43.00,59.00
2026-05-01T15:02:00Z,42.45,59.00
2026-05-01T15:03:00Z,43.00,59.00
2026-05-01T15:04:00Z,43.00,59.00
2026-05-01T15:05:00Z,43.00,58.29
2026-05-01T15:08:00Z,43.00,58.00
2026-05-01T15:09:00Z,43.00,59.00
2026-05-01T15:10:00Z,43.00,58.00
2026-05-01T15:11:00Z,43.00,58.84
2026-05-01T15:14:00Z,43.00,59.00
2026-05-01T15:15:00Z,43.00,59.00
2026-05-01T15:16:00Z,43.00,59.96
2026-05-01T15:17:00Z,43.00,58.00
2026-05-01T15:18:00Z,43.00,58.00
2026-05-01T15:19:00Z,43.00,58.00
2026-05-01T15:23:00Z,43.00,60.00
2026-05-01T15:24:00Z,42.00,60.00
2026-05-01T15:26:00Z,42.00,60.00
2026-05-01T15:27:00Z,42.00,60.00
2026-05-01T15:28:00Z,42.00,60.00
2026-05-01T15:29:00Z,43.00,60.00
2026-05-01T15:30:00Z,43.00,60.00
2026-05-01T15:32:00Z,42.00,60.00
2026-05-01T15:33:00Z,42.00,60.00
2026-05-01T15:34:00Z,42.00,60.00
2026-05-01T15:35:00Z,42.00,60.00
2026-05-01T15:36:00Z,42.00,60.00
2026-05-01T15:37:00Z,40.00,60.00
2026-05-01T15:38:00Z,40.00,60.00
2026-05-01T15:40:00Z,40.00,60.00
2026-05-01T15:41:00Z,42.00,60.00
2026-05-01T15:43:00Z,42.00,60.00
2026-05-01T15:44:00Z,42.00,57.31
