# event_ticker=KXATPCHALLENGERMATCH-26APR21BONGUE
# final_score=7-6(4) 6-2
# score_resolution=7-6 6-2
# match_winner=Andrea Guerrieri
# fav_player=Andrea Guerrieri
# dog_player=Federico Bondioli
# kalshi_date=2026-04-21
timestamp,Federico Bondioli,Andrea Guerrieri
2026-04-21T11:47:00Z,50.00,48.00
2026-04-21T11:48:00Z,50.00,50.88
2026-04-21T11:49:00Z,56.31,45.49
2026-04-21T11:50:00Z,67.77,33.19
2026-04-21T11:52:00Z,67.00,30.71
2026-04-21T11:54:00Z,56.45,40.55
2026-04-21T11:55:00Z,56.45,48.00
2026-04-21T11:56:00Z,56.45,48.21
2026-04-21T11:57:00Z,51.00,48.21
2026-04-21T11:58:00Z,48.35,48.97
2026-04-21T11:59:00Z,52.42,52.04
2026-04-21T12:00:00Z,46.00,56.00
2026-04-21T12:01:00Z,43.90,54.00
2026-04-21T12:02:00Z,48.93,54.64
2026-04-21T12:03:00Z,52.00,50.00
2026-04-21T12:04:00Z,52.63,50.17
2026-04-21T12:05:00Z,50.00,51.89
2026-04-21T12:06:00Z,49.73,48.13
2026-04-21T12:08:00Z,49.73,49.24
2026-04-21T12:09:00Z,57.64,46.03
2026-04-21T12:10:00Z,58.74,47.02
2026-04-21T12:11:00Z,51.58,50.46
2026-04-21T12:12:00Z,61.79,43.50
2026-04-21T12:13:00Z,61.51,42.24
2026-04-21T12:14:00Z,57.07,42.34
2026-04-21T12:15:00Z,57.94,41.09
2026-04-21T12:16:00Z,57.94,39.87
2026-04-21T12:17:00Z,53.22,49.58
2026-04-21T12:18:00Z,53.22,59.00
2026-04-21T12:19:00Z,33.35,60.32
2026-04-21T12:20:00Z,35.00,59.00
2026-04-21T12:21:00Z,42.16,62.00
2026-04-21T12:22:00Z,47.82,52.50
2026-04-21T12:23:00Z,45.07,55.94
2026-04-21T12:24:00Z,36.54,70.38
2026-04-21T12:25:00Z,33.07,69.00
2026-04-21T12:26:00Z,33.75,74.34
2026-04-21T12:27:00Z,19.11,79.48
2026-04-21T12:28:00Z,18.25,80.00
2026-04-21T12:29:00Z,19.82,80.17
2026-04-21T12:30:00Z,20.00,80.17
2026-04-21T12:31:00Z,20.00,80.17
2026-04-21T12:32:00Z,20.34,82.00
2026-04-21T12:33:00Z,20.85,82.00
2026-04-21T12:34:00Z,21.00,76.78
2026-04-21T12:35:00Z,21.00,76.91
2026-04-21T12:36:00Z,28.73,76.13
2026-04-21T12:37:00Z,18.69,76.13
2026-04-21T12:38:00Z,17.00,76.13
2026-04-21T12:39:00Z,15.28,85.00
2026-04-21T12:40:00Z,15.66,85.65
2026-04-21T12:41:00Z,17.00,83.00
2026-04-21T12:42:00Z,13.31,89.00
2026-04-21T12:43:00Z,17.26,84.21
2026-04-21T12:44:00Z,18.00,83.00
2026-04-21T12:45:00Z,20.07,80.57
2026-04-21T12:46:00Z,17.00,82.00
2026-04-21T12:47:00Z,16.95,84.06
2026-04-21T12:48:00Z,14.88,84.06
2026-04-21T12:49:00Z,15.00,85.00
2026-04-21T12:50:00Z,14.17,86.00
2026-04-21T12:51:00Z,13.56,86.63
2026-04-21T12:52:00Z,13.14,87.14
2026-04-21T12:53:00Z,15.85,86.01
2026-04-21T12:54:00Z,20.01,81.15
2026-04-21T12:55:00Z,19.00,82.65
2026-04-21T12:56:00Z,16.52,84.00
2026-04-21T12:58:00Z,16.54,84.00
2026-04-21T12:59:00Z,23.66,81.94
2026-04-21T13:00:00Z,20.92,82.83
2026-04-21T13:01:00Z,20.92,85.00
2026-04-21T13:02:00Z,14.74,85.99
2026-04-21T13:03:00Z,12.00,89.69
2026-04-21T13:04:00Z,10.72,86.56
2026-04-21T13:05:00Z,12.68,89.82
2026-04-21T13:06:00Z,8.48,93.71
2026-04-21T13:07:00Z,6.51,96.21
2026-04-21T13:08:00Z,7.16,93.42
2026-04-21T13:09:00Z,6.99,92.38
2026-04-21T13:10:00Z,10.40,92.90
2026-04-21T13:11:00Z,6.07,95.90
2026-04-21T13:12:00Z,4.41,97.51
2026-04-21T13:13:00Z,2.71,98.00
2026-04-21T13:14:00Z,2.17,98.84
2026-04-21T13:15:00Z,1.01,98.99
2026-04-21T13:16:00Z,1.00,98.99
2026-04-21T13:17:00Z,2.84,99.00
2026-04-21T13:18:00Z,2.94,98.12
2026-04-21T13:19:00Z,1.13,98.38
2026-04-21T13:20:00Z,1.13,99.00
2026-04-21T13:21:00Z,1.13,99.00
2026-04-21T13:22:00Z,1.13,99.00
