# event_ticker=KXATPCHALLENGERMATCH-26APR30FOMREH
# final_score=6-2 6-0
# match_winner=Max Hans Rehberg
# fav_player=Max Hans Rehberg
# dog_player=Sergey Fomin
# kalshi_date=2026-04-30
timestamp,Sergey Fomin,Max Hans Rehberg
2026-04-30T05:00:00Z,38.00,63.00
2026-04-30T05:01:00Z,38.26,63.00
2026-04-30T05:02:00Z,38.00,63.28
2026-04-30T05:03:00Z,38.85,63.28
2026-04-30T05:04:00Z,38.71,63.28
2026-04-30T05:05:00Z,39.00,63.00
2026-04-30T05:06:00Z,38.79,63.00
2026-04-30T05:07:00Z,39.02,63.00
2026-04-30T05:08:00Z,43.04,61.88
2026-04-30T05:09:00Z,45.43,61.88
2026-04-30T05:10:00Z,48.00,57.56
2026-04-30T05:11:00Z,46.13,58.11
2026-04-30T05:12:00Z,41.45,62.70
2026-04-30T05:13:00Z,36.37,64.34
2026-04-30T05:14:00Z,35.81,66.08
2026-04-30T05:15:00Z,37.30,66.12
2026-04-30T05:16:00Z,30.66,71.18
2026-04-30T05:17:00Z,28.10,73.92
2026-04-30T05:18:00Z,25.96,77.40
2026-04-30T05:19:00Z,24.50,76.38
2026-04-30T05:20:00Z,22.11,77.35
2026-04-30T05:21:00Z,22.05,79.75
2026-04-30T05:22:00Z,22.98,78.39
2026-04-30T05:23:00Z,23.04,79.00
2026-04-30T05:24:00Z,20.71,79.00
2026-04-30T05:25:00Z,18.96,82.33
2026-04-30T05:26:00Z,16.18,84.05
2026-04-30T05:27:00Z,15.97,84.05
2026-04-30T05:28:00Z,15.97,84.41
2026-04-30T05:29:00Z,16.86,83.00
2026-04-30T05:30:00Z,16.64,84.24
2026-04-30T05:31:00Z,16.68,83.09
2026-04-30T05:32:00Z,17.00,84.00
2026-04-30T05:33:00Z,17.00,84.00
2026-04-30T05:34:00Z,16.29,84.06
2026-04-30T05:35:00Z,16.08,85.18
2026-04-30T05:36:00Z,16.35,85.00
2026-04-30T05:37:00Z,17.00,83.83
2026-04-30T05:38:00Z,17.00,84.00
2026-04-30T05:39:00Z,15.42,85.00
2026-04-30T05:40:00Z,14.84,85.21
2026-04-30T05:41:00Z,13.22,86.70
2026-04-30T05:42:00Z,15.00,85.40
2026-04-30T05:43:00Z,15.02,85.00
2026-04-30T05:44:00Z,15.96,84.33
2026-04-30T05:45:00Z,15.23,84.98
2026-04-30T05:46:00Z,16.00,84.98
2026-04-30T05:47:00Z,16.00,84.00
2026-04-30T05:48:00Z,16.75,84.00
2026-04-30T05:49:00Z,17.00,83.01
2026-04-30T05:50:00Z,17.58,83.39
2026-04-30T05:51:00Z,17.53,83.07
2026-04-30T05:52:00Z,17.96,84.00
2026-04-30T05:53:00Z,17.98,84.00
2026-04-30T05:54:00Z,17.65,84.52
2026-04-30T05:55:00Z,15.95,85.07
2026-04-30T05:56:00Z,15.47,85.94
2026-04-30T05:57:00Z,8.91,89.35
2026-04-30T05:58:00Z,8.08,91.35
2026-04-30T05:59:00Z,8.50,92.04
2026-04-30T06:00:00Z,8.31,92.10
2026-04-30T06:01:00Z,6.17,93.35
2026-04-30T06:02:00Z,6.89,93.55
2026-04-30T06:03:00Z,3.19,96.05
2026-04-30T06:04:00Z,1.89,97.99
2026-04-30T06:05:00Z,2.00,98.88
2026-04-30T06:06:00Z,1.97,98.00
2026-04-30T06:07:00Z,1.65,98.12
2026-04-30T06:08:00Z,1.98,99.00
2026-04-30T06:09:00Z,1.80,99.00
2026-04-30T06:10:00Z,1.05,99.00
2026-04-30T06:11:00Z,1.99,98.67
2026-04-30T06:12:00Z,1.00,98.00
2026-04-30T06:13:00Z,1.00,98.00
2026-04-30T06:14:00Z,1.00,99.00
2026-04-30T06:17:00Z,1.00,99.00
2026-04-30T06:18:00Z,1.00,99.00
