# event_ticker=KXATPCHALLENGERMATCH-26FEB23PRADAM
# final_score=7-6(5) 6-1
# score_resolution=6-7 1-6
# match_winner=Miguel Damas
# fav_player=Juan Carlos Prado Angelo
# dog_player=Miguel Damas
# kalshi_date=2026-02-23
timestamp,Juan Carlos Prado Angelo,Miguel Damas
2026-02-23T16:51:00Z,58.73,46.00
2026-02-23T16:52:00Z,58.00,46.06
2026-02-23T16:53:00Z,58.17,46.00
2026-02-23T16:54:00Z,61.15,47.94
2026-02-23T16:55:00Z,60.01,48.72
2026-02-23T16:56:00Z,56.75,47.81
2026-02-23T16:57:00Z,55.62,46.74
2026-02-23T16:58:00Z,55.55,46.03
2026-02-23T16:59:00Z,52.08,47.42
2026-02-23T17:00:00Z,52.52,51.72
2026-02-23T17:01:00Z,53.00,47.83
2026-02-23T17:02:00Z,54.94,47.18
2026-02-23T17:03:00Z,58.16,41.00
2026-02-23T17:04:00Z,60.30,42.12
2026-02-23T17:05:00Z,54.11,49.80
2026-02-23T17:06:00Z,50.52,50.65
2026-02-23T17:07:00Z,50.97,51.24
2026-02-23T17:08:00Z,47.61,56.14
2026-02-23T17:09:00Z,44.79,58.72
2026-02-23T17:10:00Z,38.00,64.05
2026-02-23T17:11:00Z,42.14,58.78
2026-02-23T17:12:00Z,45.86,63.30
2026-02-23T17:13:00Z,50.83,52.17
2026-02-23T17:14:00Z,51.57,48.75
2026-02-23T17:15:00Z,52.36,50.41
2026-02-23T17:16:00Z,51.77,51.81
2026-02-23T17:17:00Z,54.52,47.74
2026-02-23T17:18:00Z,54.52,50.44
2026-02-23T17:19:00Z,58.08,48.31
2026-02-23T17:20:00Z,47.84,46.79
2026-02-23T17:21:00Z,47.13,54.43
2026-02-23T17:22:00Z,62.04,47.69
2026-02-23T17:23:00Z,55.32,48.54
2026-02-23T17:24:00Z,58.35,51.61
2026-02-23T17:25:00Z,50.27,53.75
2026-02-23T17:26:00Z,51.38,46.60
2026-02-23T17:27:00Z,51.26,48.55
2026-02-23T17:28:00Z,51.81,52.05
2026-02-23T17:29:00Z,34.95,59.45
2026-02-23T17:30:00Z,32.73,70.57
2026-02-23T17:31:00Z,28.32,76.13
2026-02-23T17:32:00Z,37.82,63.04
2026-02-23T17:33:00Z,50.10,55.98
2026-02-23T17:34:00Z,53.98,50.03
2026-02-23T17:35:00Z,47.34,61.10
2026-02-23T17:36:00Z,34.06,67.59
2026-02-23T17:37:00Z,38.18,59.66
2026-02-23T17:38:00Z,42.68,57.55
2026-02-23T17:39:00Z,40.66,60.00
2026-02-23T17:40:00Z,49.84,52.40
2026-02-23T17:41:00Z,62.36,40.54
2026-02-23T17:42:00Z,57.80,45.96
2026-02-23T17:43:00Z,54.91,47.07
2026-02-23T17:44:00Z,63.97,39.63
2026-02-23T17:45:00Z,70.60,29.64
2026-02-23T17:46:00Z,65.00,30.35
2026-02-23T17:47:00Z,60.58,42.83
2026-02-23T17:48:00Z,60.89,42.08
2026-02-23T17:49:00Z,59.98,45.20
2026-02-23T17:50:00Z,59.58,37.33
2026-02-23T17:51:00Z,63.31,40.40
2026-02-23T17:52:00Z,55.93,48.58
2026-02-23T17:53:00Z,44.57,56.07
2026-02-23T17:54:00Z,41.10,60.30
2026-02-23T17:55:00Z,49.29,55.08
2026-02-23T17:56:00Z,49.02,54.18
2026-02-23T17:57:00Z,32.02,61.21
2026-02-23T17:58:00Z,31.65,67.89
2026-02-23T17:59:00Z,31.26,68.17
2026-02-23T18:00:00Z,32.97,68.40
2026-02-23T18:01:00Z,32.79,65.61
2026-02-23T18:02:00Z,33.00,67.92
2026-02-23T18:03:00Z,33.00,68.67
2026-02-23T18:04:00Z,34.83,68.80
2026-02-23T18:05:00Z,36.00,67.00
2026-02-23T18:06:00Z,34.63,67.21
2026-02-23T18:07:00Z,25.03,73.94
2026-02-23T18:08:00Z,19.87,78.30
2026-02-23T18:09:00Z,21.02,81.42
2026-02-23T18:10:00Z,16.49,81.16
2026-02-23T18:11:00Z,13.12,87.03
2026-02-23T18:12:00Z,14.50,87.50
2026-02-23T18:13:00Z,17.75,82.67
2026-02-23T18:14:00Z,17.94,84.29
2026-02-23T18:15:00Z,14.43,87.10
2026-02-23T18:16:00Z,12.15,87.55
2026-02-23T18:17:00Z,6.04,93.37
2026-02-23T18:18:00Z,6.08,94.49
2026-02-23T18:19:00Z,7.60,96.04
2026-02-23T18:20:00Z,3.14,96.19
2026-02-23T18:21:00Z,4.82,96.37
2026-02-23T18:22:00Z,2.39,97.27
2026-02-23T18:23:00Z,1.69,98.80
2026-02-23T18:24:00Z,7.39,96.47
2026-02-23T18:25:00Z,4.89,96.64
2026-02-23T18:26:00Z,4.70,96.76
2026-02-23T18:27:00Z,4.22,95.86
2026-02-23T18:28:00Z,5.12,96.29
2026-02-23T18:29:00Z,9.06,95.19
2026-02-23T18:30:00Z,7.79,94.09
2026-02-23T18:31:00Z,7.87,93.79
2026-02-23T18:32:00Z,5.46,95.08
2026-02-23T18:33:00Z,2.65,98.05
2026-02-23T18:34:00Z,1.26,98.97
2026-02-23T18:35:00Z,1.00,98.22
2026-02-23T18:36:00Z,1.00,99.00
2026-02-23T18:37:00Z,1.00,99.00
2026-02-23T18:38:00Z,1.00,99.00
2026-02-23T18:39:00Z,1.00,99.00
2026-02-23T18:40:00Z,1.00,99.00
2026-02-23T18:41:00Z,1.00,99.00
