# event_ticker=KXATPCHALLENGERMATCH-26JUN02DAMDZU
# final_score=6-7(2) 6-4 7-5
# score_resolution=7-6 4-6 5-7
# match_winner=Damir Dzumhur
# fav_player=Miguel Damas
# dog_player=Damir Dzumhur
# kalshi_date=2026-06-02
timestamp,Miguel Damas,Damir Dzumhur
2026-06-02T10:02:00Z,57.00,44.90
2026-06-02T10:03:00Z,64.53,35.01
2026-06-02T10:04:00Z,70.03,29.24
2026-06-02T10:05:00Z,66.94,35.89
2026-06-02T10:06:00Z,64.07,36.47
2026-06-02T10:07:00Z,56.66,40.16
2026-06-02T10:08:00Z,58.92,40.99
2026-06-02T10:09:00Z,52.45,47.67
2026-06-02T10:10:00Z,52.46,48.00
2026-06-02T10:11:00Z,51.87,48.17
2026-06-02T10:12:00Z,49.83,51.98
2026-06-02T10:13:00Z,50.02,49.83
2026-06-02T10:14:00Z,55.96,43.67
2026-06-02T10:15:00Z,58.99,41.20
2026-06-02T10:16:00Z,59.74,41.15
2026-06-02T10:17:00Z,57.00,44.13
2026-06-02T10:18:00Z,54.62,46.74
2026-06-02T10:19:00Z,54.00,47.00
2026-06-02T10:20:00Z,54.08,46.74
2026-06-02T10:21:00Z,56.51,44.96
2026-06-02T10:22:00Z,58.72,42.46
2026-06-02T10:23:00Z,64.64,34.89
2026-06-02T10:24:00Z,61.10,39.25
2026-06-02T10:25:00Z,65.02,37.36
2026-06-02T10:26:00Z,61.96,38.73
2026-06-02T10:27:00Z,57.20,42.03
2026-06-02T10:28:00Z,54.44,44.81
2026-06-02T10:29:00Z,56.63,43.56
2026-06-02T10:30:00Z,59.53,40.04
2026-06-02T10:31:00Z,61.03,39.05
2026-06-02T10:32:00Z,59.01,43.74
2026-06-02T10:33:00Z,53.28,48.13
2026-06-02T10:34:00Z,49.65,50.96
2026-06-02T10:35:00Z,56.81,42.27
2026-06-02T10:36:00Z,54.04,44.77
2026-06-02T10:37:00Z,60.82,39.81
2026-06-02T10:38:00Z,60.87,39.34
2026-06-02T10:39:00Z,54.36,46.94
2026-06-02T10:40:00Z,61.47,39.88
2026-06-02T10:41:00Z,69.30,30.22
2026-06-02T10:42:00Z,70.05,28.19
2026-06-02T10:43:00Z,62.26,40.45
2026-06-02T10:44:00Z,65.08,35.50
2026-06-02T10:45:00Z,61.86,41.42
2026-06-02T10:46:00Z,54.97,45.73
2026-06-02T10:47:00Z,54.79,45.91
2026-06-02T10:48:00Z,57.32,42.24
2026-06-02T10:49:00Z,53.00,45.25
2026-06-02T10:50:00Z,46.78,54.77
2026-06-02T10:51:00Z,33.06,67.33
2026-06-02T10:52:00Z,35.24,69.16
2026-06-02T10:53:00Z,32.36,68.43
