# event_ticker=KXATPMATCH-25NOV03TABKOV
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Clement Tabur
# fav_player=Aleksandar Kovacevic
# dog_player=Clement Tabur
# kalshi_date=2025-11-03
timestamp,Aleksandar Kovacevic,Clement Tabur
2025-11-03T14:40:00Z,28.16,71.25
2025-11-03T14:41:00Z,28.24,72.47
2025-11-03T14:42:00Z,31.73,70.00
2025-11-03T14:43:00Z,33.00,70.00
2025-11-03T14:45:00Z,33.00,70.00
2025-11-03T14:46:00Z,30.00,71.00
2025-11-03T14:47:00Z,28.29,71.00
2025-11-03T14:48:00Z,24.62,77.49
2025-11-03T14:49:00Z,14.99,84.03
2025-11-03T14:50:00Z,9.18,91.45
2025-11-03T14:51:00Z,8.28,91.55
2025-11-03T14:52:00Z,7.84,93.02
2025-11-03T14:53:00Z,6.92,93.80
2025-11-03T14:54:00Z,4.74,96.67
2025-11-03T14:55:00Z,3.25,97.28
2025-11-03T14:56:00Z,5.28,96.58
2025-11-03T14:57:00Z,4.22,94.06
2025-11-03T14:58:00Z,4.00,95.88
2025-11-03T14:59:00Z,1.61,98.61
2025-11-03T15:00:00Z,1.00,99.00
2025-11-03T15:01:00Z,1.00,99.00
2025-11-03T15:02:00Z,1.00,99.00
2025-11-03T15:03:00Z,1.00,99.00
2025-11-03T15:04:00Z,1.00,99.00
2025-11-03T15:07:00Z,1.00,99.00
