# event_ticker=KXATPCHALLENGERMATCH-26MAR12BORDUC
# final_score=3-6 6-4 6-2
# match_winner=Nuno Borges
# fav_player=Nuno Borges
# dog_player=James Duckworth
# kalshi_date=2026-03-12
timestamp,Nuno Borges,James Duckworth
2026-03-12T18:31:00Z,43.30,56.10
2026-03-12T18:32:00Z,44.78,57.17
2026-03-12T18:33:00Z,44.04,56.31
2026-03-12T18:34:00Z,43.18,58.53
2026-03-12T18:35:00Z,38.22,62.64
2026-03-12T18:36:00Z,38.00,63.00
2026-03-12T18:37:00Z,38.97,59.00
2026-03-12T18:38:00Z,40.00,61.00
2026-03-12T18:39:00Z,43.93,51.62
2026-03-12T18:40:00Z,46.02,55.50
2026-03-12T18:41:00Z,39.81,59.88
2026-03-12T18:42:00Z,38.00,63.00
2026-03-12T18:43:00Z,38.24,62.76
2026-03-12T18:44:00Z,40.99,58.88
2026-03-12T18:45:00Z,42.55,58.06
2026-03-12T18:46:00Z,42.37,60.77
2026-03-12T18:47:00Z,38.00,62.99
2026-03-12T18:48:00Z,39.14,62.54
2026-03-12T18:49:00Z,43.62,62.54
2026-03-12T18:50:00Z,44.00,57.81
2026-03-12T18:51:00Z,49.18,52.86
2026-03-12T18:52:00Z,42.54,57.49
2026-03-12T18:53:00Z,43.00,58.54
2026-03-12T18:54:00Z,42.83,59.83
2026-03-12T18:55:00Z,44.93,56.94
2026-03-12T18:56:00Z,42.10,57.93
2026-03-12T18:57:00Z,43.97,58.00
2026-03-12T18:58:00Z,43.90,57.21
2026-03-12T18:59:00Z,45.65,53.00
2026-03-12T19:00:00Z,46.27,56.02
2026-03-12T19:01:00Z,47.86,55.27
2026-03-12T19:02:00Z,48.00,50.71
2026-03-12T19:03:00Z,53.52,48.86
2026-03-12T19:04:00Z,48.21,50.25
2026-03-12T19:05:00Z,48.21,54.15
2026-03-12T19:06:00Z,44.90,57.41
2026-03-12T19:07:00Z,47.70,57.41
2026-03-12T19:08:00Z,38.34,61.61
2026-03-12T19:09:00Z,42.95,54.00
2026-03-12T19:10:00Z,45.07,56.00
2026-03-12T19:11:00Z,46.18,57.35
2026-03-12T19:12:00Z,42.27,58.99
2026-03-12T19:13:00Z,42.73,61.06
2026-03-12T19:14:00Z,44.04,57.14
2026-03-12T19:15:00Z,46.19,54.81
2026-03-12T19:16:00Z,47.00,55.17
2026-03-12T19:17:00Z,48.09,54.36
2026-03-12T19:18:00Z,51.71,49.50
2026-03-12T19:19:00Z,54.00,46.90
2026-03-12T19:20:00Z,47.03,51.54
2026-03-12T19:21:00Z,48.00,54.00
2026-03-12T19:22:00Z,51.99,48.04
2026-03-12T19:23:00Z,62.79,31.48
2026-03-12T19:24:00Z,70.67,29.97
2026-03-12T19:25:00Z,69.98,30.72
2026-03-12T19:26:00Z,68.79,30.98
2026-03-12T19:27:00Z,69.81,31.92
2026-03-12T19:28:00Z,68.42,32.00
2026-03-12T19:29:00Z,72.38,28.06
2026-03-12T19:30:00Z,74.90,27.28
2026-03-12T19:31:00Z,74.06,26.65
2026-03-12T19:32:00Z,76.79,26.00
2026-03-12T19:33:00Z,75.61,29.57
2026-03-12T19:34:00Z,71.04,28.99
2026-03-12T19:35:00Z,70.04,30.00
2026-03-12T19:36:00Z,73.77,27.67
2026-03-12T19:37:00Z,74.48,26.00
2026-03-12T19:38:00Z,73.60,28.28
2026-03-12T19:39:00Z,74.43,25.32
2026-03-12T19:40:00Z,79.94,20.08
2026-03-12T19:41:00Z,87.66,13.11
2026-03-12T19:42:00Z,92.59,7.54
2026-03-12T19:43:00Z,93.68,7.50
2026-03-12T19:44:00Z,95.53,8.33
2026-03-12T19:45:00Z,95.91,4.07
2026-03-12T19:46:00Z,94.13,4.68
2026-03-12T19:47:00Z,94.84,4.00
2026-03-12T19:48:00Z,93.26,5.00
2026-03-12T19:49:00Z,92.52,7.80
2026-03-12T19:50:00Z,89.70,9.00
2026-03-12T19:51:00Z,90.18,9.52
2026-03-12T19:52:00Z,95.78,5.24
2026-03-12T19:53:00Z,97.32,3.36
2026-03-12T19:54:00Z,98.28,2.85
2026-03-12T19:55:00Z,95.08,3.88
2026-03-12T19:56:00Z,96.77,3.99
2026-03-12T19:57:00Z,97.93,2.98
2026-03-12T19:58:00Z,98.84,1.11
2026-03-12T19:59:00Z,98.89,1.16
2026-03-12T20:00:00Z,99.00,1.16
2026-03-12T20:01:00Z,99.00,1.16
2026-03-12T20:02:00Z,99.00,1.16
