# event_ticker=KXATPCHALLENGERMATCH-26FEB23BUDBER
# final_score=6-1 6-4
# score_resolution=1-6 4-6
# match_winner=Nicolai Budkov Kjaer
# fav_player=Henry Bernet
# dog_player=Nicolai Budkov Kjaer
# kalshi_date=2026-02-23
timestamp,Henry Bernet,Nicolai Budkov Kjaer
2026-02-23T18:09:00Z,8.85,91.36
2026-02-23T18:10:00Z,12.79,89.91
2026-02-23T18:11:00Z,13.28,86.26
2026-02-23T18:12:00Z,9.62,88.00
2026-02-23T18:13:00Z,11.86,88.61
2026-02-23T18:14:00Z,10.08,89.23
2026-02-23T18:15:00Z,6.83,94.39
2026-02-23T18:16:00Z,5.95,92.99
2026-02-23T18:17:00Z,10.40,88.56
2026-02-23T18:18:00Z,8.05,95.69
2026-02-23T18:19:00Z,2.03,98.41
2026-02-23T18:20:00Z,2.48,98.00
2026-02-23T18:21:00Z,3.43,97.41
2026-02-23T18:22:00Z,2.00,97.08
2026-02-23T18:23:00Z,2.91,98.99
2026-02-23T18:24:00Z,2.91,99.00
2026-02-23T18:26:00Z,1.00,99.00
2026-02-23T18:27:00Z,1.00,99.00
2026-02-23T18:29:00Z,1.00,99.00
2026-02-23T18:30:00Z,1.00,99.00
