# event_ticker=KXATPCHALLENGERMATCH-26MAR23PRADUT
# final_score=6-4 7-6(6)
# score_resolution=6-4 7-6
# match_winner=Juan Carlos Prado Angelo
# fav_player=Juan Carlos Prado Angelo
# dog_player=Daniel Dutra Da Silva
# kalshi_date=2026-03-23
timestamp,Juan Carlos Prado Angelo,Daniel Dutra Da Silva
2026-03-23T19:51:00Z,96.08,4.13
2026-03-23T19:52:00Z,96.36,2.99
2026-03-23T19:53:00Z,96.23,4.96
2026-03-23T19:54:00Z,97.19,3.24
2026-03-23T19:55:00Z,98.00,2.18
2026-03-23T19:56:00Z,99.00,1.73
2026-03-23T19:57:00Z,99.00,2.65
2026-03-23T19:58:00Z,98.59,1.82
2026-03-23T19:59:00Z,99.00,1.46
2026-03-23T20:00:00Z,99.00,1.14
2026-03-23T20:01:00Z,99.00,2.00
2026-03-23T20:02:00Z,99.00,1.37
2026-03-23T20:03:00Z,99.00,1.00
2026-03-23T20:04:00Z,99.00,1.00
2026-03-23T20:05:00Z,99.00,1.00
2026-03-23T20:06:00Z,99.00,1.00
