# event_ticker=KXATPCHALLENGERMATCH-26MAY19DOSFOR
# final_score=2-6 7-6(3) 6-4
# score_resolution=2-6 7-6 6-4
# match_winner=Stefan Dostanic
# fav_player=Stefan Dostanic
# dog_player=Francesco Forti
# kalshi_date=2026-05-19
timestamp,Stefan Dostanic,Francesco Forti
2026-05-19T12:34:00Z,38.31,64.99
2026-05-19T12:35:00Z,43.87,59.26
2026-05-19T12:36:00Z,48.19,52.00
2026-05-19T12:37:00Z,46.00,55.06
2026-05-19T12:38:00Z,47.52,54.19
2026-05-19T12:39:00Z,48.00,54.18
2026-05-19T12:41:00Z,50.00,54.44
2026-05-19T12:42:00Z,42.71,52.30
2026-05-19T12:43:00Z,44.29,56.99
2026-05-19T12:44:00Z,42.70,59.00
2026-05-19T12:45:00Z,55.00,59.52
2026-05-19T12:46:00Z,55.12,61.31
2026-05-19T12:47:00Z,56.00,61.31
2026-05-19T12:48:00Z,40.79,60.43
2026-05-19T12:49:00Z,42.47,64.82
2026-05-19T12:50:00Z,44.51,55.86
2026-05-19T12:51:00Z,43.53,55.74
2026-05-19T12:52:00Z,52.88,49.82
2026-05-19T12:53:00Z,54.74,47.19
2026-05-19T12:54:00Z,59.97,47.50
2026-05-19T12:55:00Z,54.23,49.95
2026-05-19T12:56:00Z,49.11,54.40
2026-05-19T12:57:00Z,49.01,56.00
2026-05-19T12:58:00Z,53.57,46.64
2026-05-19T12:59:00Z,54.89,44.33
2026-05-19T13:00:00Z,58.85,44.33
2026-05-19T13:01:00Z,57.49,44.91
2026-05-19T13:02:00Z,58.10,43.51
2026-05-19T13:03:00Z,58.68,48.51
2026-05-19T13:04:00Z,58.29,45.01
2026-05-19T13:05:00Z,53.07,50.44
2026-05-19T13:06:00Z,51.49,53.24
2026-05-19T13:07:00Z,53.48,49.00
2026-05-19T13:08:00Z,57.25,42.83
2026-05-19T13:09:00Z,63.89,42.33
2026-05-19T13:10:00Z,59.35,45.60
2026-05-19T13:11:00Z,49.98,53.03
2026-05-19T13:12:00Z,49.81,48.27
2026-05-19T13:13:00Z,58.52,44.99
2026-05-19T13:14:00Z,59.00,43.00
2026-05-19T13:15:00Z,62.25,43.16
2026-05-19T13:16:00Z,69.95,31.59
2026-05-19T13:17:00Z,67.12,33.97
2026-05-19T13:18:00Z,58.59,43.02
2026-05-19T13:19:00Z,55.54,43.18
2026-05-19T13:20:00Z,53.29,46.90
2026-05-19T13:21:00Z,59.52,41.77
2026-05-19T13:22:00Z,62.00,39.00
2026-05-19T13:23:00Z,63.00,38.97
2026-05-19T13:24:00Z,68.86,33.83
2026-05-19T13:25:00Z,69.97,28.97
2026-05-19T13:26:00Z,72.45,34.36
2026-05-19T13:27:00Z,65.80,42.93
2026-05-19T13:28:00Z,79.44,21.78
2026-05-19T13:29:00Z,77.89,27.29
2026-05-19T13:30:00Z,96.78,2.17
2026-05-19T13:31:00Z,99.00,2.17
2026-05-19T13:32:00Z,99.00,1.00
