# event_ticker=KXATPCHALLENGERMATCH-26FEB17TORKES
# final_score=6-4 6-3
# match_winner=Juan Bautista Torres
# fav_player=Juan Bautista Torres
# dog_player=Mariano Kestelboim
# kalshi_date=2026-02-17
timestamp,Juan Bautista Torres,Mariano Kestelboim
2026-02-17T17:43:00Z,71.00,31.02
2026-02-17T17:44:00Z,71.41,33.58
2026-02-17T17:45:00Z,66.38,34.18
2026-02-17T17:46:00Z,66.43,37.02
2026-02-17T17:47:00Z,63.41,41.03
2026-02-17T17:48:00Z,71.00,41.03
2026-02-17T17:49:00Z,74.00,23.86
2026-02-17T17:50:00Z,74.00,32.00
2026-02-17T17:51:00Z,70.99,32.70
2026-02-17T17:52:00Z,70.00,32.70
2026-02-17T17:53:00Z,73.00,32.70
2026-02-17T17:54:00Z,70.48,30.00
2026-02-17T17:55:00Z,64.40,35.26
2026-02-17T17:56:00Z,63.34,38.56
2026-02-17T17:57:00Z,62.16,39.00
2026-02-17T17:58:00Z,53.00,41.00
2026-02-17T17:59:00Z,57.00,41.00
2026-02-17T18:00:00Z,59.76,39.93
2026-02-17T18:01:00Z,65.43,37.21
2026-02-17T18:02:00Z,65.00,38.68
2026-02-17T18:03:00Z,60.12,41.53
2026-02-17T18:04:00Z,60.27,38.09
2026-02-17T18:05:00Z,58.54,45.18
2026-02-17T18:06:00Z,52.89,48.41
2026-02-17T18:07:00Z,52.91,49.29
2026-02-17T18:08:00Z,51.00,49.75
2026-02-17T18:09:00Z,55.00,49.67
2026-02-17T18:10:00Z,55.37,45.00
2026-02-17T18:11:00Z,55.37,41.91
2026-02-17T18:12:00Z,57.00,43.72
2026-02-17T18:13:00Z,58.68,44.83
2026-02-17T18:14:00Z,70.00,30.56
2026-02-17T18:15:00Z,73.09,26.69
2026-02-17T18:16:00Z,75.82,23.24
2026-02-17T18:17:00Z,78.57,21.54
2026-02-17T18:18:00Z,77.43,22.30
2026-02-17T18:19:00Z,80.00,22.00
2026-02-17T18:20:00Z,80.92,19.61
2026-02-17T18:21:00Z,85.98,14.22
2026-02-17T18:22:00Z,86.52,15.79
2026-02-17T18:23:00Z,89.28,11.26
2026-02-17T18:24:00Z,89.00,10.51
2026-02-17T18:25:00Z,89.00,11.00
2026-02-17T18:26:00Z,89.00,10.60
2026-02-17T18:27:00Z,89.85,10.05
2026-02-17T18:28:00Z,89.85,9.98
2026-02-17T18:29:00Z,89.85,10.58
2026-02-17T18:30:00Z,91.26,8.25
2026-02-17T18:31:00Z,91.26,9.00
2026-02-17T18:32:00Z,90.93,8.83
2026-02-17T18:33:00Z,90.00,9.88
2026-02-17T18:34:00Z,82.77,16.43
2026-02-17T18:35:00Z,79.83,22.83
2026-02-17T18:36:00Z,78.40,22.81
2026-02-17T18:37:00Z,78.00,23.84
2026-02-17T18:38:00Z,77.10,26.17
2026-02-17T18:39:00Z,77.00,26.08
2026-02-17T18:40:00Z,73.04,28.57
2026-02-17T18:41:00Z,73.99,29.00
2026-02-17T18:42:00Z,75.52,26.03
2026-02-17T18:43:00Z,77.00,29.18
2026-02-17T18:44:00Z,76.00,24.27
2026-02-17T18:45:00Z,78.91,22.13
2026-02-17T18:46:00Z,78.03,22.00
2026-02-17T18:47:00Z,78.77,22.47
2026-02-17T18:48:00Z,80.15,19.92
2026-02-17T18:49:00Z,83.40,18.88
2026-02-17T18:50:00Z,81.74,19.28
2026-02-17T18:51:00Z,83.89,17.63
2026-02-17T18:52:00Z,82.31,17.00
2026-02-17T18:53:00Z,83.68,19.19
2026-02-17T18:54:00Z,89.23,10.27
2026-02-17T18:55:00Z,89.99,10.23
2026-02-17T18:56:00Z,88.22,10.11
2026-02-17T18:57:00Z,95.59,6.87
2026-02-17T18:58:00Z,97.03,2.00
2026-02-17T18:59:00Z,97.96,3.20
2026-02-17T19:00:00Z,97.04,5.54
2026-02-17T19:01:00Z,98.69,3.27
2026-02-17T19:02:00Z,98.98,2.87
2026-02-17T19:03:00Z,99.00,1.00
2026-02-17T19:04:00Z,99.00,1.00
2026-02-17T19:06:00Z,99.00,1.00
2026-02-17T19:07:00Z,99.00,1.00
2026-02-17T19:11:00Z,99.00,1.00
