# event_ticker=KXATPMATCH-26MAY08COBATM
# final_score=7-6(1) 6-3
# score_resolution=6-7 3-6
# match_winner=Flavio Cobolli
# fav_player=Terence Atmane
# dog_player=Flavio Cobolli
# kalshi_date=2026-05-08
timestamp,Flavio Cobolli,Terence Atmane
2026-05-09T06:45:00Z,74.00,27.00
2026-05-09T06:54:00Z,74.00,27.00
2026-05-09T07:09:00Z,74.00,27.00
2026-05-09T07:12:00Z,74.00,27.00
2026-05-09T07:14:00Z,74.00,27.00
2026-05-09T07:16:00Z,74.00,27.00
2026-05-09T07:19:00Z,74.00,27.00
2026-05-09T07:29:00Z,74.00,27.00
2026-05-09T07:30:00Z,74.00,27.00
2026-05-09T07:31:00Z,74.00,27.00
2026-05-09T07:42:00Z,74.00,27.00
2026-05-09T07:45:00Z,74.00,27.00
2026-05-09T08:01:00Z,74.00,27.00
2026-05-09T08:05:00Z,74.00,27.00
2026-05-09T08:06:00Z,74.00,27.00
2026-05-09T08:07:00Z,74.00,27.00
2026-05-09T08:08:00Z,74.00,27.00
2026-05-09T08:12:00Z,74.00,27.00
2026-05-09T08:15:00Z,74.00,27.00
2026-05-09T08:17:00Z,74.00,27.00
2026-05-09T08:36:00Z,74.00,27.00
2026-05-09T08:44:00Z,74.00,27.00
2026-05-09T09:05:00Z,74.00,27.00
2026-05-09T09:19:00Z,74.00,27.00
2026-05-09T09:26:00Z,74.00,27.00
2026-05-09T09:27:00Z,74.00,27.00
2026-05-09T09:30:00Z,74.00,27.00
2026-05-09T09:36:00Z,73.00,27.00
2026-05-09T09:56:00Z,74.00,27.00
2026-05-09T09:57:00Z,74.00,27.00
2026-05-09T10:00:00Z,73.00,27.00
2026-05-09T10:14:00Z,73.00,27.00
2026-05-09T10:19:00Z,73.00,27.00
2026-05-09T10:27:00Z,73.00,27.00
2026-05-09T10:43:00Z,73.00,27.00
2026-05-09T10:50:00Z,73.00,27.00
2026-05-09T10:51:00Z,73.00,27.00
2026-05-09T10:54:00Z,73.00,27.50
2026-05-09T10:56:00Z,73.00,27.50
2026-05-09T10:58:00Z,73.00,27.50
2026-05-09T10:59:00Z,73.00,28.00
2026-05-09T11:00:00Z,73.00,28.00
2026-05-09T11:03:00Z,73.00,28.00
2026-05-09T11:08:00Z,73.00,28.00
2026-05-09T11:13:00Z,72.00,28.00
2026-05-09T11:14:00Z,73.00,28.00
2026-05-09T11:22:00Z,73.00,28.00
2026-05-09T11:27:00Z,73.00,28.00
2026-05-09T11:29:00Z,73.00,28.00
2026-05-09T11:36:00Z,73.00,29.00
2026-05-09T11:38:00Z,73.00,29.00
2026-05-09T11:41:00Z,73.00,29.00
2026-05-09T11:46:00Z,73.00,29.00
2026-05-09T11:47:00Z,73.00,29.00
2026-05-09T11:48:00Z,73.00,29.00
2026-05-09T11:53:00Z,72.00,29.00
2026-05-09T11:57:00Z,72.00,29.00
2026-05-09T11:58:00Z,73.00,29.00
2026-05-09T12:02:00Z,73.00,29.00
2026-05-09T12:05:00Z,73.00,29.00
2026-05-09T12:06:00Z,73.00,29.00
2026-05-09T12:09:00Z,73.00,28.00
2026-05-09T12:10:00Z,73.00,28.00
2026-05-09T12:12:00Z,73.00,28.00
2026-05-09T12:15:00Z,71.24,28.00
2026-05-09T12:17:00Z,72.00,28.00
2026-05-09T12:18:00Z,72.00,28.00
2026-05-09T12:19:00Z,72.00,29.00
2026-05-09T12:22:00Z,72.00,28.00
2026-05-09T12:23:00Z,72.00,28.00
2026-05-09T12:26:00Z,72.00,29.00
2026-05-09T12:27:00Z,72.00,29.00
2026-05-09T12:28:00Z,72.00,29.00
2026-05-09T12:30:00Z,72.00,29.00
2026-05-09T12:31:00Z,72.00,29.00
2026-05-09T12:32:00Z,72.00,29.00
2026-05-09T12:33:00Z,72.00,29.00
2026-05-09T12:35:00Z,71.00,28.73
2026-05-09T12:36:00Z,71.99,28.73
2026-05-09T12:37:00Z,72.00,28.73
2026-05-09T12:38:00Z,72.00,28.73
2026-05-09T12:39:00Z,72.00,28.73
2026-05-09T12:40:00Z,72.00,29.00
2026-05-09T12:41:00Z,72.00,29.00
2026-05-09T12:44:00Z,72.00,29.00
