# event_ticker=KXATPCHALLENGERMATCH-26MAR30GLIKUK
# final_score=6-3 6-3
# match_winner=Daniil Glinka
# fav_player=Daniil Glinka
# dog_player=Mikhail Kukushkin
# kalshi_date=2026-03-30
timestamp,Daniil Glinka,Mikhail Kukushkin
2026-03-30T11:58:00Z,33.80,67.95
2026-03-30T11:59:00Z,31.43,73.67
2026-03-30T12:00:00Z,34.51,68.83
2026-03-30T12:01:00Z,34.00,65.48
2026-03-30T12:02:00Z,38.66,64.91
2026-03-30T12:03:00Z,39.89,62.14
2026-03-30T12:04:00Z,40.90,61.00
2026-03-30T12:05:00Z,41.27,58.22
2026-03-30T12:06:00Z,39.54,59.38
2026-03-30T12:07:00Z,34.83,66.61
2026-03-30T12:08:00Z,36.67,63.99
2026-03-30T12:09:00Z,39.72,60.09
2026-03-30T12:10:00Z,40.07,62.00
2026-03-30T12:11:00Z,40.40,60.98
2026-03-30T12:12:00Z,42.83,57.24
2026-03-30T12:13:00Z,44.78,54.62
2026-03-30T12:14:00Z,55.31,50.23
2026-03-30T12:15:00Z,59.87,42.34
2026-03-30T12:16:00Z,58.87,41.71
2026-03-30T12:17:00Z,54.84,46.87
2026-03-30T12:18:00Z,58.67,41.95
2026-03-30T12:19:00Z,56.30,46.10
2026-03-30T12:20:00Z,59.46,42.55
2026-03-30T12:21:00Z,62.04,40.00
2026-03-30T12:22:00Z,60.97,40.93
2026-03-30T12:23:00Z,59.63,41.02
2026-03-30T12:24:00Z,58.74,42.94
2026-03-30T12:25:00Z,50.49,49.07
2026-03-30T12:26:00Z,45.93,57.30
2026-03-30T12:27:00Z,44.23,59.08
2026-03-30T12:28:00Z,50.25,50.73
2026-03-30T12:29:00Z,59.18,42.72
2026-03-30T12:30:00Z,61.43,40.66
2026-03-30T12:31:00Z,61.93,39.11
2026-03-30T12:32:00Z,60.00,40.06
2026-03-30T12:33:00Z,57.86,44.37
2026-03-30T12:34:00Z,58.60,41.94
2026-03-30T12:35:00Z,56.85,44.42
2026-03-30T12:36:00Z,59.00,40.78
2026-03-30T12:37:00Z,62.68,36.36
2026-03-30T12:38:00Z,65.49,33.42
2026-03-30T12:39:00Z,64.54,43.18
2026-03-30T12:40:00Z,72.12,26.57
2026-03-30T12:41:00Z,75.68,25.53
2026-03-30T12:42:00Z,70.85,29.53
2026-03-30T12:43:00Z,68.60,33.56
2026-03-30T12:44:00Z,81.51,24.93
2026-03-30T12:45:00Z,83.35,17.95
2026-03-30T12:46:00Z,87.05,16.04
2026-03-30T12:47:00Z,88.47,18.01
2026-03-30T12:48:00Z,88.82,11.39
2026-03-30T12:49:00Z,90.04,10.99
2026-03-30T12:50:00Z,93.17,7.88
2026-03-30T12:51:00Z,91.96,8.36
2026-03-30T12:52:00Z,88.83,11.24
2026-03-30T12:53:00Z,87.65,12.94
2026-03-30T12:54:00Z,80.60,18.01
2026-03-30T12:55:00Z,87.78,15.94
2026-03-30T12:56:00Z,92.63,8.40
2026-03-30T12:57:00Z,91.60,8.97
2026-03-30T12:58:00Z,94.05,7.24
2026-03-30T12:59:00Z,90.62,9.03
2026-03-30T13:00:00Z,90.83,9.76
2026-03-30T13:01:00Z,92.47,7.40
2026-03-30T13:02:00Z,93.57,8.09
2026-03-30T13:03:00Z,93.96,6.77
2026-03-30T13:04:00Z,94.97,7.60
2026-03-30T13:05:00Z,93.64,6.00
2026-03-30T13:06:00Z,95.05,4.47
2026-03-30T13:07:00Z,97.83,3.29
2026-03-30T13:08:00Z,96.27,2.90
2026-03-30T13:09:00Z,94.80,13.29
2026-03-30T13:10:00Z,97.04,2.03
2026-03-30T13:11:00Z,96.96,3.15
2026-03-30T13:12:00Z,98.71,1.23
2026-03-30T13:13:00Z,99.00,1.23
2026-03-30T13:14:00Z,99.00,1.23
2026-03-30T13:15:00Z,99.00,1.23
2026-03-30T13:16:00Z,99.00,1.23
2026-03-30T13:17:00Z,99.00,1.23
