# event_ticker=KXATPMATCH-25SEP17HALOCO
# final_score=6-7(3) 6-3 6-4
# score_resolution=6-7 6-3 6-4
# match_winner=Christopher O'Connell
# fav_player=Christopher O'Connell
# dog_player=Quentin Halys
# kalshi_date=2025-09-17
timestamp,Christopher O'Connell,Quentin Halys
2025-09-17T07:34:00Z,49.00,53.00
2025-09-17T07:40:00Z,49.00,52.00
2025-09-17T07:43:00Z,49.00,52.00
2025-09-17T07:46:00Z,49.81,50.00
2025-09-17T07:56:00Z,49.81,52.00
2025-09-17T07:57:00Z,50.91,50.00
2025-09-17T07:58:00Z,51.00,50.00
2025-09-17T08:02:00Z,51.00,50.00
2025-09-17T08:18:00Z,51.00,50.00
2025-09-17T08:31:00Z,51.00,50.00
2025-09-17T08:35:00Z,51.00,50.76
2025-09-17T08:36:00Z,51.00,50.76
2025-09-17T08:41:00Z,51.00,50.76
2025-09-17T08:43:00Z,51.00,50.76
2025-09-17T08:52:00Z,51.00,50.76
2025-09-17T09:03:00Z,51.00,50.38
2025-09-17T09:20:00Z,51.00,50.38
2025-09-17T09:23:00Z,51.00,50.38
2025-09-17T09:28:00Z,51.00,50.38
2025-09-17T09:33:00Z,48.00,55.00
2025-09-17T09:34:00Z,48.00,52.26
2025-09-17T09:35:00Z,50.00,52.26
2025-09-17T09:36:00Z,53.00,49.09
2025-09-17T09:37:00Z,59.11,49.09
2025-09-17T09:38:00Z,59.11,47.76
2025-09-17T09:39:00Z,50.00,47.76
2025-09-17T09:40:00Z,50.00,51.00
2025-09-17T09:41:00Z,53.57,51.00
2025-09-17T09:43:00Z,50.24,53.00
2025-09-17T09:44:00Z,47.00,52.00
2025-09-17T09:45:00Z,47.00,53.00
2025-09-17T09:47:00Z,54.00,53.00
2025-09-17T09:48:00Z,59.00,41.00
2025-09-17T09:49:00Z,62.17,35.80
2025-09-17T09:50:00Z,69.00,32.03
2025-09-17T09:51:00Z,63.87,39.35
2025-09-17T09:52:00Z,68.00,36.05
2025-09-17T09:54:00Z,75.00,35.00
2025-09-17T09:55:00Z,76.54,23.00
2025-09-17T09:56:00Z,76.54,24.42
2025-09-17T09:58:00Z,61.93,35.72
2025-09-17T09:59:00Z,50.43,48.81
2025-09-17T10:00:00Z,50.43,50.00
2025-09-17T10:02:00Z,52.47,50.00
2025-09-17T10:03:00Z,54.00,47.00
2025-09-17T10:04:00Z,55.00,44.38
2025-09-17T10:05:00Z,51.00,48.00
2025-09-17T10:07:00Z,52.21,48.00
2025-09-17T10:10:00Z,59.71,41.28
2025-09-17T10:11:00Z,61.34,41.28
2025-09-17T10:12:00Z,61.34,35.00
2025-09-17T10:14:00Z,56.00,47.00
2025-09-17T10:15:00Z,56.00,43.00
2025-09-17T10:16:00Z,60.00,42.69
2025-09-17T10:17:00Z,60.00,45.30
2025-09-17T10:18:00Z,61.39,45.24
2025-09-17T10:19:00Z,66.76,38.08
2025-09-17T10:20:00Z,62.13,35.66
2025-09-17T10:21:00Z,64.70,40.07
2025-09-17T10:22:00Z,53.99,48.08
2025-09-17T10:23:00Z,53.99,59.00
2025-09-17T10:24:00Z,48.00,53.81
2025-09-17T10:25:00Z,35.36,65.28
2025-09-17T10:26:00Z,31.22,70.00
2025-09-17T10:27:00Z,30.03,70.06
2025-09-17T10:28:00Z,30.03,72.00
2025-09-17T10:29:00Z,27.05,71.00
2025-09-17T10:30:00Z,32.51,71.00
2025-09-17T10:31:00Z,35.00,67.00
2025-09-17T10:32:00Z,35.00,71.13
2025-09-17T10:34:00Z,34.00,71.13
2025-09-17T10:35:00Z,34.00,71.13
2025-09-17T10:36:00Z,35.64,71.13
2025-09-17T10:37:00Z,33.00,71.13
2025-09-17T10:38:00Z,40.00,57.00
2025-09-17T10:39:00Z,50.00,57.00
2025-09-17T10:40:00Z,56.00,49.70
2025-09-17T10:41:00Z,56.00,44.00
2025-09-17T10:42:00Z,57.42,45.00
2025-09-17T10:43:00Z,58.00,45.00
2025-09-17T10:44:00Z,56.00,42.00
2025-09-17T10:45:00Z,57.11,44.00
2025-09-17T10:46:00Z,57.11,46.00
2025-09-17T10:47:00Z,53.02,46.00
2025-09-17T10:48:00Z,44.95,53.18
2025-09-17T10:49:00Z,51.00,49.00
2025-09-17T10:50:00Z,57.19,46.00
2025-09-17T10:51:00Z,58.00,46.00
2025-09-17T10:52:00Z,58.00,46.00
2025-09-17T10:53:00Z,56.00,46.00
2025-09-17T10:54:00Z,56.00,46.56
2025-09-17T10:55:00Z,53.02,49.90
2025-09-17T10:56:00Z,55.61,46.00
2025-09-17T10:57:00Z,55.61,43.80
2025-09-17T10:58:00Z,55.61,43.00
2025-09-17T10:59:00Z,59.00,41.00
2025-09-17T11:00:00Z,76.68,41.00
2025-09-17T11:02:00Z,63.60,41.00
2025-09-17T11:03:00Z,61.00,41.05
2025-09-17T11:05:00Z,49.38,50.03
2025-09-17T11:06:00Z,49.38,52.24
2025-09-17T11:07:00Z,53.00,48.00
2025-09-17T11:08:00Z,56.51,47.00
2025-09-17T11:09:00Z,51.91,53.58
2025-09-17T11:10:00Z,58.46,53.58
2025-09-17T11:11:00Z,49.00,51.00
2025-09-17T11:12:00Z,50.00,55.10
2025-09-17T11:13:00Z,50.60,50.31
2025-09-17T11:14:00Z,50.60,52.38
2025-09-17T11:15:00Z,53.65,48.00
2025-09-17T11:16:00Z,51.00,48.00
2025-09-17T11:17:00Z,65.16,41.32
2025-09-17T11:18:00Z,66.41,39.00
2025-09-17T11:19:00Z,63.55,38.42
2025-09-17T11:20:00Z,51.00,50.00
2025-09-17T11:21:00Z,51.00,76.00
2025-09-17T11:22:00Z,76.00,76.00
2025-09-17T11:23:00Z,55.85,45.00
2025-09-17T11:24:00Z,55.00,46.75
2025-09-17T11:25:00Z,48.01,51.23
2025-09-17T11:26:00Z,46.21,54.48
2025-09-17T11:27:00Z,53.06,48.87
2025-09-17T11:28:00Z,49.92,50.47
2025-09-17T11:29:00Z,46.49,55.47
2025-09-17T11:30:00Z,48.04,53.50
2025-09-17T11:31:00Z,48.63,54.68
2025-09-17T11:32:00Z,51.08,51.00
2025-09-17T11:33:00Z,53.83,51.00
2025-09-17T11:34:00Z,53.89,46.66
2025-09-17T11:35:00Z,53.29,46.08
2025-09-17T11:36:00Z,54.14,50.82
2025-09-17T11:37:00Z,49.29,34.45
2025-09-17T11:38:00Z,88.25,6.61
2025-09-17T11:39:00Z,94.24,6.33
2025-09-17T11:40:00Z,96.99,5.16
2025-09-17T11:41:00Z,98.48,2.55
2025-09-17T11:42:00Z,97.79,8.77
2025-09-17T11:43:00Z,99.00,1.00
2025-09-17T11:45:00Z,99.00,1.00
