# event_ticker=KXATPMATCH-26APR24CERHAN
# final_score=6-1 7-5
# match_winner=Francisco Cerundolo
# fav_player=Francisco Cerundolo
# dog_player=Yannick Hanfmann
# kalshi_date=2026-04-24
timestamp,Francisco Cerundolo,Yannick Hanfmann
2026-04-25T03:22:00Z,72.00,29.00
2026-04-25T03:23:00Z,72.00,29.00
2026-04-25T03:27:00Z,72.00,29.00
2026-04-25T03:30:00Z,72.00,29.00
2026-04-25T03:34:00Z,72.00,29.00
2026-04-25T03:38:00Z,72.00,29.00
2026-04-25T03:40:00Z,72.00,29.00
2026-04-25T03:43:00Z,72.00,29.00
2026-04-25T03:47:00Z,72.00,29.00
2026-04-25T03:48:00Z,72.00,29.00
2026-04-25T03:50:00Z,72.00,29.00
2026-04-25T03:52:00Z,70.33,29.00
2026-04-25T03:54:00Z,70.33,29.00
2026-04-25T03:56:00Z,72.00,29.00
2026-04-25T04:01:00Z,72.00,29.00
2026-04-25T04:12:00Z,72.00,29.00
2026-04-25T04:15:00Z,71.00,29.00
2026-04-25T04:17:00Z,72.00,29.00
2026-04-25T04:19:00Z,72.00,29.00
2026-04-25T04:24:00Z,72.00,29.00
2026-04-25T04:25:00Z,72.00,29.00
2026-04-25T04:26:00Z,72.00,29.00
2026-04-25T04:28:00Z,72.00,29.00
2026-04-25T04:29:00Z,72.00,28.00
2026-04-25T04:32:00Z,72.00,28.00
2026-04-25T04:37:00Z,72.00,29.00
2026-04-25T04:41:00Z,72.00,29.00
2026-04-25T04:42:00Z,72.00,29.00
2026-04-25T04:45:00Z,72.00,29.00
2026-04-25T04:49:00Z,72.00,29.00
2026-04-25T04:51:00Z,72.00,29.00
2026-04-25T04:53:00Z,72.00,28.00
2026-04-25T04:55:00Z,72.00,28.00
2026-04-25T04:58:00Z,72.00,29.00
2026-04-25T04:59:00Z,72.00,29.00
2026-04-25T05:00:00Z,72.00,29.00
2026-04-25T05:04:00Z,72.00,29.00
2026-04-25T05:05:00Z,72.00,30.00
2026-04-25T05:09:00Z,72.00,29.06
2026-04-25T05:11:00Z,72.00,30.00
2026-04-25T05:12:00Z,71.00,30.00
2026-04-25T05:13:00Z,71.00,29.86
2026-04-25T05:14:00Z,71.00,29.86
2026-04-25T05:16:00Z,72.00,29.86
2026-04-25T05:17:00Z,72.00,29.86
2026-04-25T05:18:00Z,70.00,30.00
2026-04-25T05:19:00Z,70.00,30.00
2026-04-25T05:20:00Z,70.00,30.00
2026-04-25T05:21:00Z,72.00,30.00
2026-04-25T05:22:00Z,72.00,30.00
2026-04-25T05:23:00Z,72.00,30.00
2026-04-25T05:24:00Z,72.00,30.00
2026-04-25T05:25:00Z,72.00,30.00
2026-04-25T05:26:00Z,72.00,30.00
2026-04-25T05:27:00Z,72.00,30.00
2026-04-25T05:29:00Z,72.00,30.00
2026-04-25T05:30:00Z,71.99,30.00
2026-04-25T05:32:00Z,71.00,30.00
2026-04-25T05:33:00Z,71.00,30.00
2026-04-25T05:36:00Z,71.00,30.00
2026-04-25T05:37:00Z,71.00,30.00
2026-04-25T05:38:00Z,71.00,30.00
2026-04-25T05:39:00Z,72.00,30.00
2026-04-25T05:42:00Z,72.00,30.00
2026-04-25T05:44:00Z,72.00,30.00
2026-04-25T05:45:00Z,72.00,30.00
2026-04-25T05:46:00Z,72.00,30.00
2026-04-25T05:48:00Z,72.00,30.00
2026-04-25T05:49:00Z,72.00,29.19
2026-04-25T05:51:00Z,72.00,30.00
2026-04-25T05:54:00Z,72.00,30.00
2026-04-25T05:55:00Z,72.00,30.00
2026-04-25T05:56:00Z,72.00,30.00
2026-04-25T05:57:00Z,72.00,30.00
2026-04-25T05:58:00Z,72.00,30.00
2026-04-25T05:59:00Z,72.01,30.00
2026-04-25T06:00:00Z,73.00,30.00
2026-04-25T06:02:00Z,73.00,30.00
2026-04-25T06:04:00Z,73.00,30.00
2026-04-25T06:07:00Z,73.00,30.00
2026-04-25T06:10:00Z,73.00,27.03
2026-04-25T06:11:00Z,72.98,30.00
2026-04-25T06:14:00Z,72.98,30.00
2026-04-25T06:18:00Z,72.00,30.00
2026-04-25T06:20:00Z,72.00,30.00
2026-04-25T06:25:00Z,72.00,30.00
2026-04-25T06:30:00Z,72.00,30.00
2026-04-25T06:31:00Z,72.00,30.00
2026-04-25T06:33:00Z,72.00,30.00
2026-04-25T06:37:00Z,72.00,30.00
2026-04-25T06:38:00Z,72.00,30.00
2026-04-25T06:39:00Z,72.00,30.00
2026-04-25T06:41:00Z,72.00,30.00
2026-04-25T06:42:00Z,72.00,30.00
2026-04-25T06:43:00Z,72.00,30.00
2026-04-25T06:45:00Z,72.00,30.00
2026-04-25T06:46:00Z,72.00,30.00
2026-04-25T06:47:00Z,72.00,30.00
2026-04-25T06:50:00Z,72.00,30.00
2026-04-25T06:55:00Z,72.00,30.00
2026-04-25T06:56:00Z,72.00,30.00
2026-04-25T06:57:00Z,72.00,30.00
2026-04-25T06:59:00Z,72.00,30.00
2026-04-25T07:00:00Z,71.00,30.00
2026-04-25T07:03:00Z,71.00,30.00
2026-04-25T07:05:00Z,72.00,30.00
2026-04-25T07:08:00Z,72.00,30.00
2026-04-25T07:09:00Z,72.00,30.00
2026-04-25T07:10:00Z,72.00,29.97
2026-04-25T07:17:00Z,72.00,29.97
2026-04-25T07:19:00Z,72.00,29.97
2026-04-25T07:20:00Z,71.00,29.97
2026-04-25T07:21:00Z,72.00,29.63
2026-04-25T07:27:00Z,72.00,29.63
2026-04-25T07:28:00Z,72.00,29.63
2026-04-25T07:31:00Z,72.00,29.63
2026-04-25T07:32:00Z,72.00,28.00
2026-04-25T07:34:00Z,72.00,28.00
2026-04-25T07:38:00Z,72.00,28.00
2026-04-25T07:39:00Z,72.00,30.00
2026-04-25T07:40:00Z,72.00,30.00
2026-04-25T07:41:00Z,72.00,30.00
2026-04-25T07:43:00Z,72.00,30.00
2026-04-25T07:48:00Z,72.00,30.00
2026-04-25T07:49:00Z,72.31,30.00
2026-04-25T07:50:00Z,73.00,30.00
2026-04-25T07:51:00Z,73.00,30.00
2026-04-25T07:55:00Z,72.00,30.00
2026-04-25T07:58:00Z,72.00,30.00
