# event_ticker=KXATPCHALLENGERMATCH-26MAY05SAMSAK
# final_score=6-3 2-6 6-4
# match_winner=Stefanos Sakellaridis
# fav_player=Stefanos Sakellaridis
# dog_player=Toby Samuel
# kalshi_date=2026-05-05
timestamp,Toby Samuel,Stefanos Sakellaridis
2026-05-05T10:32:00Z,49.69,49.39
2026-05-05T10:33:00Z,57.61,49.39
2026-05-05T10:34:00Z,60.82,39.00
2026-05-05T10:35:00Z,63.81,33.38
2026-05-05T10:36:00Z,71.38,32.27
2026-05-05T10:37:00Z,67.62,34.10
2026-05-05T10:38:00Z,59.14,38.53
2026-05-05T10:39:00Z,57.45,44.19
2026-05-05T10:40:00Z,52.92,52.55
2026-05-05T10:41:00Z,44.19,55.00
2026-05-05T10:42:00Z,35.55,66.63
2026-05-05T10:43:00Z,28.17,72.89
2026-05-05T10:44:00Z,32.85,69.51
2026-05-05T10:45:00Z,32.50,65.94
2026-05-05T10:46:00Z,34.01,68.56
2026-05-05T10:47:00Z,31.55,67.17
2026-05-05T10:48:00Z,22.25,78.55
2026-05-05T10:49:00Z,19.38,82.26
2026-05-05T10:50:00Z,25.00,75.77
2026-05-05T10:51:00Z,25.77,75.00
2026-05-05T10:52:00Z,29.15,70.00
2026-05-05T10:53:00Z,38.41,68.52
2026-05-05T10:54:00Z,46.90,54.36
2026-05-05T10:55:00Z,47.25,55.00
2026-05-05T10:56:00Z,49.34,50.79
2026-05-05T10:57:00Z,30.79,65.80
2026-05-05T10:58:00Z,24.43,77.80
2026-05-05T10:59:00Z,21.47,79.37
2026-05-05T11:00:00Z,22.00,80.00
2026-05-05T11:01:00Z,22.51,77.08
2026-05-05T11:02:00Z,20.74,80.65
2026-05-05T11:03:00Z,12.04,88.93
2026-05-05T11:04:00Z,9.76,91.76
2026-05-05T11:05:00Z,10.75,90.04
2026-05-05T11:06:00Z,6.64,91.90
2026-05-05T11:07:00Z,12.99,88.70
2026-05-05T11:08:00Z,11.98,90.05
2026-05-05T11:09:00Z,2.86,98.07
2026-05-05T11:10:00Z,2.25,98.07
2026-05-05T11:11:00Z,1.11,98.99
2026-05-05T11:12:00Z,1.11,99.00
2026-05-05T11:13:00Z,1.11,99.00
2026-05-05T11:15:00Z,1.11,99.00
2026-05-05T11:16:00Z,1.11,99.00
