# event_ticker=KXATPCHALLENGERMATCH-26MAR12BICMAN
# final_score=6-7(2) 6-2 6-2
# score_resolution=7-6 2-6 2-6
# match_winner=Adrian Mannarino
# fav_player=Blaise Bicknell
# dog_player=Adrian Mannarino
# kalshi_date=2026-03-12
timestamp,Blaise Bicknell,Adrian Mannarino
2026-03-12T18:28:00Z,28.07,76.00
2026-03-12T18:29:00Z,27.97,75.07
2026-03-12T18:30:00Z,27.28,73.78
2026-03-12T18:31:00Z,30.00,72.00
2026-03-12T18:32:00Z,28.00,71.23
2026-03-12T18:33:00Z,28.00,75.00
2026-03-12T18:34:00Z,23.52,78.00
2026-03-12T18:35:00Z,29.80,73.76
2026-03-12T18:36:00Z,25.98,75.00
2026-03-12T18:37:00Z,25.03,75.00
2026-03-12T18:38:00Z,25.03,76.00
2026-03-12T18:39:00Z,19.07,80.85
2026-03-12T18:40:00Z,12.01,88.18
2026-03-12T18:41:00Z,11.24,90.78
2026-03-12T18:42:00Z,11.01,89.05
2026-03-12T18:43:00Z,13.04,90.00
2026-03-12T18:44:00Z,22.87,83.39
2026-03-12T18:45:00Z,25.53,76.14
2026-03-12T18:46:00Z,23.91,77.64
2026-03-12T18:47:00Z,29.51,68.06
2026-03-12T18:48:00Z,31.88,68.06
2026-03-12T18:49:00Z,32.00,69.00
2026-03-12T18:50:00Z,30.81,68.44
2026-03-12T18:51:00Z,26.97,73.91
2026-03-12T18:52:00Z,27.92,72.06
2026-03-12T18:53:00Z,29.49,72.06
2026-03-12T18:54:00Z,29.32,72.00
2026-03-12T18:55:00Z,30.43,69.00
2026-03-12T18:56:00Z,29.77,68.89
2026-03-12T18:57:00Z,29.96,69.00
2026-03-12T18:58:00Z,34.79,64.23
2026-03-12T18:59:00Z,33.24,71.85
2026-03-12T19:00:00Z,26.44,73.00
2026-03-12T19:01:00Z,31.22,70.62
2026-03-12T19:02:00Z,34.66,70.00
2026-03-12T19:03:00Z,43.90,52.32
2026-03-12T19:04:00Z,50.00,50.10
2026-03-12T19:05:00Z,41.98,58.00
2026-03-12T19:06:00Z,52.57,53.94
2026-03-12T19:07:00Z,54.00,47.02
2026-03-12T19:08:00Z,54.00,47.00
2026-03-12T19:09:00Z,53.70,47.00
2026-03-12T19:10:00Z,53.00,47.00
2026-03-12T19:11:00Z,53.00,46.99
2026-03-12T19:12:00Z,53.00,47.00
2026-03-12T19:13:00Z,58.26,42.05
2026-03-12T19:14:00Z,67.05,34.96
2026-03-12T19:15:00Z,65.96,42.40
2026-03-12T19:16:00Z,53.00,46.15
2026-03-12T19:17:00Z,53.00,48.44
2026-03-12T19:18:00Z,54.37,44.10
2026-03-12T19:19:00Z,56.18,44.25
2026-03-12T19:20:00Z,51.00,54.28
2026-03-12T19:21:00Z,43.85,60.83
2026-03-12T19:22:00Z,41.00,59.93
2026-03-12T19:23:00Z,34.12,65.00
2026-03-12T19:24:00Z,31.03,67.59
2026-03-12T19:25:00Z,33.00,68.01
2026-03-12T19:26:00Z,24.24,71.10
2026-03-12T19:27:00Z,22.84,76.30
2026-03-12T19:28:00Z,23.68,76.30
2026-03-12T19:29:00Z,26.00,75.71
2026-03-12T19:30:00Z,26.51,69.93
2026-03-12T19:31:00Z,33.00,68.78
2026-03-12T19:32:00Z,34.00,65.79
2026-03-12T19:33:00Z,36.00,65.24
2026-03-12T19:34:00Z,36.00,66.00
2026-03-12T19:35:00Z,35.00,66.15
2026-03-12T19:36:00Z,35.00,66.00
2026-03-12T19:37:00Z,35.00,66.12
2026-03-12T19:38:00Z,38.00,64.67
2026-03-12T19:39:00Z,32.00,68.75
2026-03-12T19:40:00Z,31.00,68.89
2026-03-12T19:41:00Z,27.56,76.67
2026-03-12T19:42:00Z,26.00,75.90
2026-03-12T19:43:00Z,26.00,75.00
2026-03-12T19:44:00Z,27.00,74.00
2026-03-12T19:45:00Z,27.00,74.00
2026-03-12T19:46:00Z,26.00,74.13
2026-03-12T19:47:00Z,27.00,74.66
2026-03-12T19:48:00Z,27.00,74.00
2026-03-12T19:49:00Z,22.90,76.97
2026-03-12T19:50:00Z,20.30,79.62
2026-03-12T19:51:00Z,13.42,82.14
2026-03-12T19:52:00Z,13.43,90.44
2026-03-12T19:53:00Z,12.00,86.82
2026-03-12T19:54:00Z,19.12,85.82
2026-03-12T19:55:00Z,17.87,85.39
2026-03-12T19:56:00Z,20.00,85.10
2026-03-12T19:57:00Z,21.00,79.24
2026-03-12T19:58:00Z,27.98,74.00
2026-03-12T19:59:00Z,32.73,69.65
2026-03-12T20:00:00Z,29.23,77.36
2026-03-12T20:01:00Z,27.25,71.03
2026-03-12T20:02:00Z,23.00,78.00
2026-03-12T20:03:00Z,23.00,78.12
2026-03-12T20:04:00Z,19.48,79.14
2026-03-12T20:05:00Z,22.00,79.43
2026-03-12T20:06:00Z,21.47,78.63
2026-03-12T20:07:00Z,29.82,71.00
2026-03-12T20:08:00Z,28.39,74.14
2026-03-12T20:09:00Z,33.16,68.74
2026-03-12T20:10:00Z,40.63,58.21
2026-03-12T20:11:00Z,29.03,66.80
2026-03-12T20:12:00Z,26.00,74.69
2026-03-12T20:13:00Z,25.00,74.87
2026-03-12T20:14:00Z,26.23,80.98
2026-03-12T20:15:00Z,11.80,86.74
2026-03-12T20:16:00Z,5.58,93.56
2026-03-12T20:17:00Z,4.44,96.38
2026-03-12T20:18:00Z,2.62,93.99
2026-03-12T20:19:00Z,2.41,96.76
2026-03-12T20:20:00Z,2.26,97.14
2026-03-12T20:21:00Z,3.73,96.96
2026-03-12T20:22:00Z,2.92,97.84
2026-03-12T20:23:00Z,1.83,98.86
2026-03-12T20:24:00Z,4.41,95.68
2026-03-12T20:25:00Z,1.01,99.00
2026-03-12T20:26:00Z,1.01,99.00
2026-03-12T20:27:00Z,1.01,99.00
2026-03-12T20:28:00Z,1.01,99.00
2026-03-12T20:29:00Z,1.01,99.00
2026-03-12T20:30:00Z,1.01,99.00
2026-03-12T20:31:00Z,1.01,99.00
