# event_ticker=KXATPCHALLENGERMATCH-26APR09NIKHEI
# final_score=6-2 6-4
# score_resolution=2-6 4-6
# match_winner=Gustavo Heide
# fav_player=Johan Nikles
# dog_player=Gustavo Heide
# kalshi_date=2026-04-09
timestamp,Johan Nikles,Gustavo Heide
2026-04-09T16:50:00Z,12.00,89.00
2026-04-09T16:59:00Z,12.00,89.00
2026-04-09T17:14:00Z,12.00,89.00
2026-04-09T17:21:00Z,12.00,89.00
2026-04-09T17:36:00Z,12.19,89.00
2026-04-09T17:38:00Z,12.19,89.00
2026-04-09T17:41:00Z,13.00,89.00
2026-04-09T17:43:00Z,13.00,89.00
2026-04-09T17:44:00Z,13.00,89.00
2026-04-09T17:46:00Z,13.00,89.00
2026-04-09T18:07:00Z,13.00,89.00
2026-04-09T18:12:00Z,13.00,89.00
2026-04-09T18:16:00Z,13.00,89.00
2026-04-09T18:24:00Z,12.00,89.00
2026-04-09T18:30:00Z,12.00,89.00
2026-04-09T18:37:00Z,12.00,89.00
2026-04-09T18:45:00Z,12.00,89.00
2026-04-09T18:48:00Z,12.00,89.00
2026-04-09T18:56:00Z,12.00,89.00
2026-04-09T19:01:00Z,12.00,89.00
2026-04-09T19:02:00Z,12.00,89.00
2026-04-09T19:05:00Z,12.00,89.00
2026-04-09T19:13:00Z,12.00,88.00
2026-04-09T19:16:00Z,12.00,88.00
2026-04-09T19:17:00Z,12.00,88.00
2026-04-09T19:20:00Z,13.00,88.00
2026-04-09T19:22:00Z,13.00,88.00
2026-04-09T19:24:00Z,13.00,89.00
2026-04-09T19:26:00Z,13.00,89.00
2026-04-09T19:27:00Z,13.00,89.00
2026-04-09T19:33:00Z,12.00,89.00
2026-04-09T19:34:00Z,12.00,88.00
2026-04-09T19:41:00Z,12.00,88.00
2026-04-09T19:44:00Z,12.96,88.00
2026-04-09T20:01:00Z,13.00,88.00
2026-04-09T20:02:00Z,13.00,88.00
2026-04-09T20:03:00Z,13.00,88.00
2026-04-09T20:06:00Z,13.00,88.00
2026-04-09T20:07:00Z,13.00,88.00
2026-04-09T20:09:00Z,13.00,88.00
2026-04-09T20:10:00Z,13.00,88.00
2026-04-09T20:11:00Z,13.00,88.00
2026-04-09T20:12:00Z,13.00,88.00
2026-04-09T20:13:00Z,13.00,88.00
2026-04-09T20:15:00Z,13.00,88.00
2026-04-09T20:18:00Z,13.00,88.00
2026-04-09T20:22:00Z,13.00,88.00
2026-04-09T20:24:00Z,13.00,88.00
2026-04-09T20:25:00Z,13.00,88.00
2026-04-09T20:26:00Z,13.00,88.00
2026-04-09T20:28:00Z,13.00,88.00
2026-04-09T20:30:00Z,13.00,88.00
2026-04-09T20:33:00Z,13.00,88.00
2026-04-09T20:34:00Z,13.00,88.00
2026-04-09T20:37:00Z,13.00,88.00
2026-04-09T20:38:00Z,13.00,88.00
2026-04-09T20:39:00Z,13.00,88.00
2026-04-09T20:40:00Z,13.00,88.00
2026-04-09T20:48:00Z,13.00,87.00
2026-04-09T20:50:00Z,13.00,87.00
2026-04-09T20:51:00Z,13.00,88.00
2026-04-09T20:56:00Z,13.00,88.00
2026-04-09T20:57:00Z,13.00,88.00
2026-04-09T20:58:00Z,13.00,88.00
2026-04-09T21:01:00Z,13.00,88.00
2026-04-09T21:02:00Z,11.06,88.00
2026-04-09T21:03:00Z,13.86,88.99
2026-04-09T21:04:00Z,13.16,88.99
2026-04-09T21:05:00Z,13.00,89.00
2026-04-09T21:06:00Z,12.98,89.00
2026-04-09T21:07:00Z,12.00,89.00
2026-04-09T21:08:00Z,12.27,89.00
2026-04-09T21:09:00Z,13.00,89.00
2026-04-09T21:10:00Z,13.00,88.00
2026-04-09T21:11:00Z,12.33,88.42
2026-04-09T21:12:00Z,11.00,89.00
2026-04-09T21:13:00Z,10.90,90.00
2026-04-09T21:14:00Z,11.47,90.00
2026-04-09T21:15:00Z,10.74,90.89
2026-04-09T21:16:00Z,9.87,91.86
2026-04-09T21:17:00Z,9.11,91.55
2026-04-09T21:18:00Z,11.52,90.00
2026-04-09T21:19:00Z,13.26,88.31
2026-04-09T21:20:00Z,12.20,87.77
2026-04-09T21:21:00Z,13.55,86.55
2026-04-09T21:22:00Z,11.99,89.27
2026-04-09T21:23:00Z,11.05,90.00
