# event_ticker=KXATPCHALLENGERMATCH-26FEB17BASBLA
# final_score=6-2 6-2
# score_resolution=2-6 2-6
# match_winner=Nishesh Basavareddy
# fav_player=Ugo Blanchet
# dog_player=Nishesh Basavareddy
# kalshi_date=2026-02-17
timestamp,Ugo Blanchet,Nishesh Basavareddy
2026-02-17T11:58:00Z,13.00,88.00
2026-02-17T11:59:00Z,13.00,88.00
2026-02-17T12:00:00Z,10.31,88.00
2026-02-17T12:01:00Z,8.76,89.86
2026-02-17T12:03:00Z,6.00,94.00
2026-02-17T12:04:00Z,5.00,96.00
2026-02-17T12:05:00Z,4.14,96.00
2026-02-17T12:06:00Z,4.00,97.00
2026-02-17T12:07:00Z,4.00,96.40
2026-02-17T12:08:00Z,3.74,97.00
2026-02-17T12:09:00Z,4.43,97.00
2026-02-17T12:10:00Z,6.61,98.88
2026-02-17T12:11:00Z,10.00,98.88
2026-02-17T12:12:00Z,6.00,98.88
2026-02-17T12:13:00Z,6.00,98.88
2026-02-17T12:14:00Z,6.00,98.98
2026-02-17T12:15:00Z,6.00,96.00
2026-02-17T12:16:00Z,2.00,99.00
2026-02-17T12:18:00Z,2.00,98.95
2026-02-17T12:19:00Z,1.02,98.93
2026-02-17T12:20:00Z,1.02,97.00
2026-02-17T12:21:00Z,1.00,97.00
2026-02-17T12:23:00Z,2.00,97.00
2026-02-17T12:24:00Z,2.00,97.00
2026-02-17T12:25:00Z,3.00,97.00
2026-02-17T12:27:00Z,2.97,97.00
2026-02-17T12:28:00Z,1.02,97.00
2026-02-17T12:29:00Z,1.00,97.00
2026-02-17T12:30:00Z,1.00,99.00
2026-02-17T12:31:00Z,1.00,98.00
2026-02-17T12:33:00Z,1.00,98.00
2026-02-17T12:37:00Z,1.00,99.00
2026-02-17T12:38:00Z,1.00,99.00
2026-02-17T12:39:00Z,1.00,99.00
