# event_ticker=KXATPCHALLENGERMATCH-26MAY29MARKRU
# final_score=6-3 6-4
# match_winner=Martin Krumich
# fav_player=Martin Krumich
# dog_player=Andrej Martin
# kalshi_date=2026-05-29
timestamp,Andrej Martin,Martin Krumich
2026-05-29T15:49:00Z,21.30,79.29
2026-05-29T15:50:00Z,24.24,80.98
2026-05-29T15:51:00Z,21.69,80.93
2026-05-29T15:52:00Z,23.80,77.94
2026-05-29T15:53:00Z,18.00,81.72
2026-05-29T15:54:00Z,15.78,84.27
2026-05-29T15:55:00Z,16.00,85.00
2026-05-29T15:56:00Z,17.00,85.00
2026-05-29T15:57:00Z,15.81,86.21
2026-05-29T15:58:00Z,13.45,88.52
2026-05-29T15:59:00Z,13.68,86.10
2026-05-29T16:00:00Z,12.52,87.07
2026-05-29T16:01:00Z,13.57,88.90
2026-05-29T16:02:00Z,8.82,87.93
2026-05-29T16:03:00Z,8.61,91.75
2026-05-29T16:04:00Z,11.86,88.28
2026-05-29T16:05:00Z,11.86,89.82
2026-05-29T16:06:00Z,8.13,92.03
2026-05-29T16:07:00Z,11.13,91.23
2026-05-29T16:08:00Z,9.19,92.09
2026-05-29T16:09:00Z,7.00,95.25
2026-05-29T16:10:00Z,5.50,95.98
2026-05-29T16:11:00Z,7.63,93.02
2026-05-29T16:12:00Z,8.92,93.00
2026-05-29T16:13:00Z,9.00,92.16
2026-05-29T16:14:00Z,9.00,94.00
2026-05-29T16:15:00Z,5.46,95.00
2026-05-29T16:16:00Z,5.95,93.72
2026-05-29T16:17:00Z,5.60,95.00
2026-05-29T16:18:00Z,7.00,93.56
2026-05-29T16:19:00Z,7.84,93.00
2026-05-29T16:20:00Z,8.63,93.76
2026-05-29T16:21:00Z,10.30,91.79
2026-05-29T16:22:00Z,10.93,89.15
2026-05-29T16:23:00Z,8.73,92.20
2026-05-29T16:24:00Z,8.67,92.89
2026-05-29T16:25:00Z,8.39,92.33
2026-05-29T16:26:00Z,6.91,94.00
2026-05-29T16:27:00Z,6.00,94.00
2026-05-29T16:28:00Z,5.98,94.16
2026-05-29T16:30:00Z,7.00,94.00
2026-05-29T16:31:00Z,6.00,95.87
2026-05-29T16:32:00Z,4.65,95.27
2026-05-29T16:33:00Z,5.70,95.84
2026-05-29T16:34:00Z,4.00,96.00
2026-05-29T16:35:00Z,2.89,97.28
2026-05-29T16:36:00Z,2.05,96.42
2026-05-29T16:37:00Z,4.55,96.00
2026-05-29T16:38:00Z,5.00,96.00
2026-05-29T16:39:00Z,5.00,95.88
2026-05-29T16:40:00Z,3.47,96.96
2026-05-29T16:41:00Z,2.07,98.91
2026-05-29T16:42:00Z,1.25,98.91
2026-05-29T16:43:00Z,1.00,98.91
2026-05-29T16:44:00Z,1.00,99.00
2026-05-29T16:45:00Z,1.00,99.00
2026-05-29T16:47:00Z,1.00,99.00
