# event_ticker=KXATPCHALLENGERMATCH-26MAR31MELAGU
# final_score=3-6 6-0 2-0 RET
# match_winner=Felipe Meligeni Alves
# fav_player=Felipe Meligeni Alves
# dog_player=Joaquin Aguilar Cardozo
# kalshi_date=2026-03-31
timestamp,Felipe Meligeni Alves,Joaquin Aguilar Cardozo
2026-03-31T18:37:00Z,52.98,48.09
2026-03-31T18:38:00Z,48.94,54.46
2026-03-31T18:39:00Z,47.08,53.42
2026-03-31T18:40:00Z,46.03,55.69
2026-03-31T18:41:00Z,46.52,53.00
2026-03-31T18:42:00Z,43.89,57.49
2026-03-31T18:43:00Z,42.99,58.15
2026-03-31T18:44:00Z,43.81,60.17
2026-03-31T18:45:00Z,41.23,61.10
2026-03-31T18:46:00Z,40.23,62.13
2026-03-31T18:47:00Z,42.17,59.48
2026-03-31T18:48:00Z,44.50,57.92
2026-03-31T18:49:00Z,43.00,56.95
2026-03-31T18:50:00Z,46.01,58.92
2026-03-31T18:51:00Z,39.83,61.84
2026-03-31T18:52:00Z,38.45,62.85
2026-03-31T18:53:00Z,39.00,60.53
2026-03-31T18:54:00Z,39.00,61.92
2026-03-31T18:55:00Z,38.49,63.20
2026-03-31T18:56:00Z,29.29,68.45
2026-03-31T18:57:00Z,35.94,65.86
2026-03-31T18:58:00Z,40.62,58.65
2026-03-31T18:59:00Z,42.67,56.36
2026-03-31T19:00:00Z,42.24,60.67
2026-03-31T19:01:00Z,50.31,55.29
2026-03-31T19:02:00Z,57.14,46.60
2026-03-31T19:03:00Z,59.96,43.63
2026-03-31T19:04:00Z,61.37,37.85
2026-03-31T19:05:00Z,60.26,39.15
2026-03-31T19:06:00Z,61.78,38.14
2026-03-31T19:07:00Z,63.11,37.88
2026-03-31T19:08:00Z,67.04,32.22
2026-03-31T19:09:00Z,72.07,26.12
2026-03-31T19:10:00Z,72.23,26.50
2026-03-31T19:11:00Z,74.15,26.00
2026-03-31T19:12:00Z,75.88,25.74
2026-03-31T19:13:00Z,76.51,23.03
2026-03-31T19:14:00Z,75.01,24.91
2026-03-31T19:15:00Z,76.37,25.27
2026-03-31T19:16:00Z,77.37,22.38
2026-03-31T19:17:00Z,78.00,22.00
2026-03-31T19:18:00Z,78.00,23.05
2026-03-31T19:19:00Z,78.00,23.05
2026-03-31T19:20:00Z,78.59,22.03
2026-03-31T19:21:00Z,78.71,23.00
2026-03-31T19:22:00Z,77.57,22.96
2026-03-31T19:23:00Z,78.93,22.53
2026-03-31T19:24:00Z,79.04,25.29
2026-03-31T19:25:00Z,77.61,22.81
2026-03-31T19:26:00Z,79.86,20.73
2026-03-31T19:27:00Z,80.09,21.77
2026-03-31T19:28:00Z,84.54,16.47
2026-03-31T19:29:00Z,85.46,13.60
2026-03-31T19:30:00Z,88.48,13.86
2026-03-31T19:31:00Z,86.71,13.29
2026-03-31T19:32:00Z,97.69,3.16
2026-03-31T19:33:00Z,98.24,1.09
2026-03-31T19:34:00Z,95.12,4.28
2026-03-31T19:35:00Z,43.52,28.61
2026-03-31T19:36:00Z,11.41,74.62
2026-03-31T19:37:00Z,3.60,94.43
2026-03-31T19:38:00Z,6.91,93.30
2026-03-31T19:39:00Z,8.42,87.65
2026-03-31T19:40:00Z,9.37,91.94
2026-03-31T19:41:00Z,8.25,92.99
2026-03-31T19:42:00Z,9.54,91.50
2026-03-31T19:43:00Z,38.93,35.10
2026-03-31T19:44:00Z,91.01,5.78
2026-03-31T19:45:00Z,92.95,5.95
2026-03-31T19:46:00Z,93.00,5.78
2026-03-31T19:47:00Z,96.14,4.84
2026-03-31T19:48:00Z,94.31,5.63
2026-03-31T19:49:00Z,93.20,4.51
2026-03-31T19:50:00Z,95.71,2.22
2026-03-31T19:51:00Z,96.74,5.33
2026-03-31T19:52:00Z,96.00,2.88
2026-03-31T19:53:00Z,96.17,4.45
2026-03-31T19:54:00Z,96.07,1.25
2026-03-31T19:55:00Z,98.71,1.11
2026-03-31T19:56:00Z,99.00,1.00
2026-03-31T19:57:00Z,99.00,1.00
