# event_ticker=KXATPCHALLENGERMATCH-26MAY05TOBRIB
# final_score=7-6(2) 7-6(6)
# score_resolution=6-7 6-7
# match_winner=Miguel Tobon
# fav_player=Eduardo Ribeiro
# dog_player=Miguel Tobon
# kalshi_date=2026-05-05
timestamp,Miguel Tobon,Eduardo Ribeiro
2026-05-05T18:35:00Z,44.93,54.42
2026-05-05T18:36:00Z,47.94,52.79
2026-05-05T18:37:00Z,49.26,50.73
2026-05-05T18:38:00Z,50.87,50.00
2026-05-05T18:39:00Z,49.17,49.50
2026-05-05T18:40:00Z,47.84,54.59
2026-05-05T18:41:00Z,45.81,55.88
2026-05-05T18:42:00Z,49.93,54.43
2026-05-05T18:43:00Z,56.83,44.43
2026-05-05T18:44:00Z,60.98,40.93
2026-05-05T18:45:00Z,62.65,37.72
2026-05-05T18:46:00Z,67.37,31.31
2026-05-05T18:47:00Z,69.00,30.65
2026-05-05T18:48:00Z,68.77,31.00
2026-05-05T18:49:00Z,69.00,31.79
2026-05-05T18:50:00Z,69.06,31.85
2026-05-05T18:51:00Z,68.88,31.26
2026-05-05T18:52:00Z,78.21,23.60
2026-05-05T18:53:00Z,81.24,18.21
2026-05-05T18:54:00Z,79.90,20.81
2026-05-05T18:55:00Z,78.46,23.11
2026-05-05T18:56:00Z,82.28,18.96
2026-05-05T18:57:00Z,84.61,16.52
2026-05-05T18:58:00Z,81.96,19.00
2026-05-05T18:59:00Z,80.99,19.71
2026-05-05T19:00:00Z,83.41,19.46
2026-05-05T19:01:00Z,82.81,19.90
2026-05-05T19:02:00Z,82.61,17.44
2026-05-05T19:03:00Z,86.95,13.59
2026-05-05T19:04:00Z,84.93,15.47
2026-05-05T19:05:00Z,88.26,13.53
2026-05-05T19:06:00Z,88.56,14.09
2026-05-05T19:07:00Z,88.23,12.99
2026-05-05T19:08:00Z,87.52,12.63
2026-05-05T19:09:00Z,87.35,13.99
2026-05-05T19:10:00Z,82.43,16.84
2026-05-05T19:11:00Z,82.99,18.09
2026-05-05T19:12:00Z,73.73,26.14
2026-05-05T19:13:00Z,67.38,33.87
2026-05-05T19:14:00Z,67.75,33.99
2026-05-05T19:15:00Z,64.53,37.82
2026-05-05T19:16:00Z,60.89,39.79
2026-05-05T19:17:00Z,56.13,45.05
2026-05-05T19:18:00Z,56.64,45.64
2026-05-05T19:19:00Z,60.15,40.55
2026-05-05T19:20:00Z,62.59,37.84
2026-05-05T19:21:00Z,58.72,41.15
2026-05-05T19:22:00Z,63.77,38.13
2026-05-05T19:23:00Z,69.12,28.89
2026-05-05T19:24:00Z,69.57,27.39
2026-05-05T19:25:00Z,60.18,40.87
2026-05-05T19:26:00Z,58.93,41.72
2026-05-05T19:27:00Z,49.08,50.95
2026-05-05T19:28:00Z,55.33,47.17
2026-05-05T19:29:00Z,63.40,35.98
2026-05-05T19:30:00Z,66.91,33.45
2026-05-05T19:31:00Z,59.57,41.36
2026-05-05T19:32:00Z,58.56,41.54
2026-05-05T19:33:00Z,48.98,49.80
2026-05-05T19:34:00Z,52.80,46.98
2026-05-05T19:35:00Z,60.22,39.74
2026-05-05T19:36:00Z,64.76,35.94
2026-05-05T19:37:00Z,59.06,40.39
2026-05-05T19:38:00Z,67.60,33.87
2026-05-05T19:39:00Z,79.53,20.25
2026-05-05T19:40:00Z,90.64,8.74
2026-05-05T19:41:00Z,83.74,16.08
2026-05-05T19:42:00Z,76.91,22.52
2026-05-05T19:43:00Z,85.25,17.40
2026-05-05T19:44:00Z,87.15,12.00
2026-05-05T19:45:00Z,69.09,30.61
2026-05-05T19:46:00Z,91.05,12.61
2026-05-05T19:47:00Z,99.00,1.00
2026-05-05T19:48:00Z,99.00,1.00
2026-05-05T19:49:00Z,99.00,1.00
