# event_ticker=KXATPMATCH-25JUL30DAVMOU
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Alejandro Davidovich Fokina
# fav_player=Corentin Moutet
# dog_player=Alejandro Davidovich Fokina
# kalshi_date=2025-07-30
timestamp,Corentin Moutet,Alejandro Davidovich Fokina
2025-07-30T22:27:00Z,20.00,80.00
2025-07-30T22:28:00Z,20.00,83.72
2025-07-30T22:29:00Z,20.00,80.03
2025-07-30T22:30:00Z,17.00,86.00
2025-07-30T22:31:00Z,12.00,86.07
2025-07-30T22:32:00Z,12.00,88.09
2025-07-30T22:36:00Z,10.93,97.00
2025-07-30T22:37:00Z,10.00,93.00
2025-07-30T22:38:00Z,10.00,93.58
2025-07-30T22:40:00Z,4.00,96.51
2025-07-30T22:41:00Z,6.00,95.00
2025-07-30T22:42:00Z,6.00,93.00
2025-07-30T22:43:00Z,7.00,93.00
2025-07-30T22:44:00Z,7.00,98.00
2025-07-30T22:45:00Z,7.00,98.00
2025-07-30T22:46:00Z,1.00,98.52
2025-07-30T22:47:00Z,1.00,99.00
2025-07-30T22:48:00Z,1.00,99.00
2025-07-30T22:49:00Z,1.62,99.00
2025-07-30T22:50:00Z,2.80,98.34
2025-07-30T22:53:00Z,5.00,95.00
2025-07-30T22:55:00Z,3.00,95.00
2025-07-30T22:56:00Z,5.00,95.00
2025-07-30T22:58:00Z,8.15,95.00
2025-07-30T22:59:00Z,8.23,95.00
2025-07-30T23:00:00Z,8.00,93.00
2025-07-30T23:01:00Z,16.34,80.29
2025-07-30T23:02:00Z,22.38,82.00
2025-07-30T23:03:00Z,18.00,86.00
2025-07-30T23:04:00Z,18.00,86.33
2025-07-30T23:06:00Z,19.25,96.57
2025-07-30T23:07:00Z,4.96,98.00
2025-07-30T23:08:00Z,4.96,99.00
2025-07-30T23:09:00Z,4.96,99.00
2025-07-30T23:10:00Z,4.96,99.00
2025-07-30T23:11:00Z,4.96,99.00
2025-07-30T23:16:00Z,4.96,99.00
2025-07-30T23:17:00Z,4.96,99.00
2025-07-30T23:21:00Z,4.96,99.00
2025-07-30T23:23:00Z,4.96,99.00
2025-07-30T23:37:00Z,4.96,99.00
2025-07-30T23:39:00Z,4.96,99.00
2025-07-30T23:52:00Z,4.96,99.00
2025-07-30T23:54:00Z,4.96,99.00
