# event_ticker=KXATPCHALLENGERMATCH-26APR01SAIMAR
# final_score=6-1 6-3
# score_resolution=1-6 3-6
# match_winner=Pol Martin Tiffon
# fav_player=Nikolas Sanchez Izquierdo
# dog_player=Pol Martin Tiffon
# kalshi_date=2026-04-01
timestamp,Nikolas Sanchez Izquierdo,Pol Martin Tiffon
2026-04-01T14:05:00Z,29.70,71.94
2026-04-01T14:06:00Z,24.33,71.94
2026-04-01T14:07:00Z,25.00,75.18
2026-04-01T14:08:00Z,28.03,80.13
2026-04-01T14:09:00Z,28.03,81.00
2026-04-01T14:10:00Z,28.03,81.00
2026-04-01T14:11:00Z,28.03,80.53
2026-04-01T14:12:00Z,28.03,79.00
2026-04-01T14:13:00Z,27.40,75.84
2026-04-01T14:14:00Z,18.92,80.82
2026-04-01T14:15:00Z,14.49,84.40
2026-04-01T14:16:00Z,14.40,86.47
2026-04-01T14:17:00Z,13.48,86.01
2026-04-01T14:18:00Z,14.00,86.00
2026-04-01T14:19:00Z,22.00,85.00
2026-04-01T14:20:00Z,20.42,81.03
2026-04-01T14:21:00Z,14.91,87.33
2026-04-01T14:22:00Z,15.15,85.90
2026-04-01T14:23:00Z,16.22,85.00
2026-04-01T14:24:00Z,17.19,85.00
2026-04-01T14:25:00Z,12.38,88.73
2026-04-01T14:26:00Z,15.33,88.21
2026-04-01T14:27:00Z,12.20,89.00
2026-04-01T14:28:00Z,12.03,89.00
2026-04-01T14:29:00Z,13.72,88.74
2026-04-01T14:30:00Z,11.07,89.69
2026-04-01T14:31:00Z,11.00,89.11
2026-04-01T14:32:00Z,11.00,90.00
2026-04-01T14:33:00Z,11.49,88.92
2026-04-01T14:34:00Z,13.03,88.00
2026-04-01T14:35:00Z,14.00,86.00
2026-04-01T14:36:00Z,16.67,86.00
2026-04-01T14:37:00Z,19.57,83.41
2026-04-01T14:38:00Z,23.82,83.93
2026-04-01T14:39:00Z,16.20,84.28
2026-04-01T14:40:00Z,19.92,83.03
2026-04-01T14:41:00Z,21.10,79.96
2026-04-01T14:42:00Z,22.68,81.91
2026-04-01T14:43:00Z,24.67,80.68
2026-04-01T14:44:00Z,27.46,74.44
2026-04-01T14:45:00Z,29.85,76.58
2026-04-01T14:46:00Z,23.76,77.33
2026-04-01T14:47:00Z,30.17,75.15
2026-04-01T14:48:00Z,20.59,82.90
2026-04-01T14:49:00Z,21.10,80.39
2026-04-01T14:50:00Z,24.54,76.31
2026-04-01T14:51:00Z,25.96,76.35
2026-04-01T14:52:00Z,24.76,75.29
2026-04-01T14:53:00Z,24.73,76.39
2026-04-01T14:54:00Z,22.20,79.60
2026-04-01T14:55:00Z,19.25,80.39
2026-04-01T14:56:00Z,15.96,86.13
2026-04-01T14:57:00Z,19.46,82.10
2026-04-01T14:58:00Z,17.46,85.13
2026-04-01T14:59:00Z,17.19,86.51
2026-04-01T15:00:00Z,19.19,80.83
2026-04-01T15:01:00Z,20.07,82.68
2026-04-01T15:02:00Z,13.26,87.20
2026-04-01T15:03:00Z,12.43,88.17
2026-04-01T15:04:00Z,8.76,92.58
2026-04-01T15:05:00Z,7.73,93.32
2026-04-01T15:06:00Z,11.16,91.88
2026-04-01T15:07:00Z,7.57,92.27
2026-04-01T15:08:00Z,4.06,96.19
2026-04-01T15:09:00Z,3.19,97.63
2026-04-01T15:10:00Z,4.78,96.46
2026-04-01T15:11:00Z,4.27,96.11
2026-04-01T15:12:00Z,6.45,97.16
2026-04-01T15:13:00Z,2.69,95.95
2026-04-01T15:14:00Z,2.85,97.28
2026-04-01T15:15:00Z,5.78,96.79
2026-04-01T15:16:00Z,4.50,96.28
2026-04-01T15:17:00Z,6.00,95.57
2026-04-01T15:18:00Z,4.00,96.15
2026-04-01T15:19:00Z,2.12,97.81
2026-04-01T15:20:00Z,1.82,98.79
2026-04-01T15:21:00Z,1.26,98.84
2026-04-01T15:22:00Z,1.91,98.86
2026-04-01T15:23:00Z,1.91,99.00
2026-04-01T15:24:00Z,1.91,99.00
2026-04-01T15:25:00Z,1.91,99.00
2026-04-01T15:26:00Z,1.00,99.00
2026-04-01T15:27:00Z,1.00,99.00
2026-04-01T15:28:00Z,1.00,99.00
2026-04-01T15:29:00Z,1.00,99.00
2026-04-01T15:30:00Z,1.00,99.00
