# event_ticker=KXATPMATCH-26MAR10HIJNOR
# final_score=6-4 6-2
# match_winner=Cameron Norrie
# fav_player=Cameron Norrie
# dog_player=Rinky Hijikata
# kalshi_date=2026-03-10
timestamp,Cameron Norrie,Rinky Hijikata
2026-03-11T14:27:00Z,74.00,27.00
2026-03-11T14:28:00Z,74.00,27.00
2026-03-11T14:29:00Z,74.00,28.00
2026-03-11T14:30:00Z,74.00,28.00
2026-03-11T14:31:00Z,74.00,28.00
2026-03-11T14:32:00Z,74.00,28.00
2026-03-11T14:33:00Z,74.00,28.00
2026-03-11T14:34:00Z,74.00,28.00
2026-03-11T14:36:00Z,74.00,28.00
2026-03-11T14:39:00Z,72.00,28.00
2026-03-11T14:40:00Z,74.00,28.00
2026-03-11T14:41:00Z,74.00,28.00
2026-03-11T14:43:00Z,74.00,28.00
2026-03-11T14:44:00Z,74.00,28.00
2026-03-11T14:47:00Z,74.00,28.00
2026-03-11T14:49:00Z,74.00,28.00
2026-03-11T14:50:00Z,74.00,27.00
2026-03-11T14:52:00Z,74.00,27.00
2026-03-11T14:54:00Z,75.00,27.00
2026-03-11T14:56:00Z,75.00,25.17
2026-03-11T15:00:00Z,75.00,27.00
2026-03-11T15:02:00Z,75.00,27.00
2026-03-11T15:03:00Z,75.00,27.00
2026-03-11T15:06:00Z,75.00,28.00
2026-03-11T15:08:00Z,75.00,28.00
2026-03-11T15:10:00Z,75.00,28.00
2026-03-11T15:12:00Z,75.00,26.99
2026-03-11T15:13:00Z,73.00,26.99
2026-03-11T15:14:00Z,75.00,26.99
2026-03-11T15:16:00Z,75.00,26.99
2026-03-11T15:17:00Z,75.00,26.99
2026-03-11T15:18:00Z,75.00,27.00
2026-03-11T15:20:00Z,75.00,27.00
2026-03-11T15:21:00Z,75.00,27.00
2026-03-11T15:22:00Z,75.00,27.00
2026-03-11T15:23:00Z,75.00,27.00
2026-03-11T15:24:00Z,75.00,27.00
2026-03-11T15:25:00Z,75.00,26.79
2026-03-11T15:26:00Z,75.00,27.00
2026-03-11T15:28:00Z,75.00,27.00
2026-03-11T15:32:00Z,74.00,27.00
2026-03-11T15:33:00Z,74.00,27.00
2026-03-11T15:35:00Z,74.00,27.00
2026-03-11T15:37:00Z,74.00,27.00
2026-03-11T15:38:00Z,74.00,27.00
2026-03-11T15:39:00Z,74.00,27.00
2026-03-11T15:42:00Z,74.00,27.00
2026-03-11T15:44:00Z,74.00,27.00
2026-03-11T15:45:00Z,74.00,27.00
2026-03-11T15:46:00Z,74.00,27.00
2026-03-11T15:48:00Z,74.00,27.00
2026-03-11T15:53:00Z,74.00,27.00
2026-03-11T15:58:00Z,74.00,27.00
2026-03-11T15:59:00Z,74.00,27.00
2026-03-11T16:00:00Z,74.00,27.00
2026-03-11T16:01:00Z,74.00,27.00
2026-03-11T16:02:00Z,74.00,27.00
2026-03-11T16:03:00Z,74.00,27.00
2026-03-11T16:04:00Z,74.00,27.00
2026-03-11T16:06:00Z,74.00,27.00
2026-03-11T16:08:00Z,74.00,27.00
2026-03-11T16:10:00Z,74.00,27.00
2026-03-11T16:11:00Z,74.00,27.00
2026-03-11T16:12:00Z,74.00,27.00
2026-03-11T16:15:00Z,74.00,27.00
2026-03-11T16:16:00Z,74.00,27.00
2026-03-11T16:17:00Z,74.00,27.00
2026-03-11T16:18:00Z,74.00,27.00
2026-03-11T16:20:00Z,74.00,27.27
2026-03-11T16:23:00Z,74.00,28.00
2026-03-11T16:24:00Z,74.00,28.00
2026-03-11T16:25:00Z,74.00,28.00
2026-03-11T16:26:00Z,74.00,28.00
2026-03-11T16:27:00Z,74.00,28.00
2026-03-11T16:28:00Z,74.00,28.00
2026-03-11T16:29:00Z,74.00,28.00
2026-03-11T16:30:00Z,74.00,28.00
2026-03-11T16:31:00Z,74.00,28.00
2026-03-11T16:32:00Z,74.00,28.00
2026-03-11T16:34:00Z,74.00,28.00
2026-03-11T16:35:00Z,74.00,28.00
2026-03-11T16:36:00Z,74.00,28.00
2026-03-11T16:37:00Z,74.00,28.00
2026-03-11T16:38:00Z,74.00,28.00
2026-03-11T16:39:00Z,74.00,28.00
2026-03-11T16:40:00Z,74.00,28.00
2026-03-11T16:41:00Z,74.00,28.00
2026-03-11T16:42:00Z,74.00,28.00
2026-03-11T16:43:00Z,74.00,28.00
2026-03-11T16:44:00Z,74.00,28.00
2026-03-11T16:45:00Z,74.00,28.00
2026-03-11T16:46:00Z,74.00,28.00
2026-03-11T16:47:00Z,74.00,28.00
2026-03-11T16:48:00Z,74.00,28.00
2026-03-11T16:49:00Z,74.00,28.00
2026-03-11T16:50:00Z,74.00,28.00
2026-03-11T16:51:00Z,74.00,28.00
2026-03-11T16:52:00Z,74.00,27.00
2026-03-11T16:53:00Z,74.00,27.00
2026-03-11T16:56:00Z,74.00,27.00
2026-03-11T16:58:00Z,74.00,27.00
2026-03-11T16:59:00Z,74.00,27.00
2026-03-11T17:00:00Z,74.83,27.00
2026-03-11T17:01:00Z,75.00,27.00
2026-03-11T17:02:00Z,75.00,27.00
2026-03-11T17:03:00Z,75.00,27.00
2026-03-11T17:04:00Z,75.00,27.00
2026-03-11T17:06:00Z,75.00,27.00
2026-03-11T17:12:00Z,75.00,26.00
2026-03-11T17:13:00Z,75.00,26.00
2026-03-11T17:14:00Z,74.33,26.00
2026-03-11T17:15:00Z,75.00,26.00
2026-03-11T17:16:00Z,75.00,26.00
2026-03-11T17:17:00Z,75.00,26.00
2026-03-11T17:18:00Z,75.00,26.00
2026-03-11T17:20:00Z,75.00,26.00
2026-03-11T17:21:00Z,75.00,26.00
2026-03-11T17:22:00Z,74.00,26.00
2026-03-11T17:23:00Z,74.00,27.00
2026-03-11T17:24:00Z,74.00,27.00
2026-03-11T17:25:00Z,74.00,27.00
2026-03-11T17:26:00Z,74.00,27.00
2026-03-11T17:27:00Z,74.00,27.00
2026-03-11T17:28:00Z,74.00,27.96
2026-03-11T17:29:00Z,74.00,28.00
2026-03-11T17:30:00Z,74.00,28.00
2026-03-11T17:32:00Z,74.00,28.00
2026-03-11T17:33:00Z,74.00,28.00
2026-03-11T17:34:00Z,74.00,28.00
2026-03-11T17:35:00Z,74.00,28.00
2026-03-11T17:36:00Z,74.00,28.00
