# event_ticker=KXATPMATCH-25JUL28SCHFON
# final_score=7-6(5) 6-4
# score_resolution=6-7 4-6
# match_winner=Tristan Schoolkate
# fav_player=Joao Fonseca
# dog_player=Tristan Schoolkate
# kalshi_date=2025-07-28
timestamp,Joao Fonseca,Tristan Schoolkate
2025-07-28T19:13:00Z,45.66,58.16
2025-07-28T19:14:00Z,44.00,56.35
2025-07-28T19:15:00Z,44.00,60.01
2025-07-28T19:16:00Z,30.51,69.59
2025-07-28T19:17:00Z,18.21,80.98
2025-07-28T19:18:00Z,22.66,80.49
2025-07-28T19:19:00Z,17.07,81.50
2025-07-28T19:20:00Z,13.51,86.99
2025-07-28T19:21:00Z,14.84,82.98
2025-07-28T19:22:00Z,15.59,84.63
2025-07-28T19:23:00Z,15.38,85.00
2025-07-28T19:24:00Z,16.40,83.98
2025-07-28T19:25:00Z,17.00,82.29
2025-07-28T19:26:00Z,15.18,84.49
2025-07-28T19:27:00Z,11.86,89.96
2025-07-28T19:28:00Z,12.33,90.03
2025-07-28T19:29:00Z,9.54,89.45
2025-07-28T19:30:00Z,12.97,89.29
2025-07-28T19:31:00Z,10.16,91.20
2025-07-28T19:32:00Z,11.39,86.93
2025-07-28T19:33:00Z,9.62,88.81
2025-07-28T19:34:00Z,8.22,93.25
2025-07-28T19:35:00Z,8.62,92.63
2025-07-28T19:36:00Z,7.35,94.72
2025-07-28T19:37:00Z,7.85,93.05
2025-07-28T19:38:00Z,6.11,94.58
2025-07-28T19:39:00Z,7.32,96.46
2025-07-28T19:40:00Z,5.22,95.00
2025-07-28T19:41:00Z,7.53,92.03
2025-07-28T19:42:00Z,1.74,98.01
2025-07-28T19:43:00Z,1.66,98.27
2025-07-28T19:44:00Z,1.00,99.00
2025-07-28T19:45:00Z,1.00,99.00
