# event_ticker=KXATPMATCH-25OCT16HUMBER
# final_score=7-6(5) 6-3
# score_resolution=6-7 3-6
# match_winner=Ugo Humbert
# fav_player=Matteo Berrettini
# dog_player=Ugo Humbert
# kalshi_date=2025-10-16
timestamp,Matteo Berrettini,Ugo Humbert
2025-10-16T16:31:00Z,8.80,93.67
2025-10-16T16:32:00Z,9.18,90.76
2025-10-16T16:33:00Z,8.74,90.82
2025-10-16T16:34:00Z,6.01,94.57
2025-10-16T16:35:00Z,6.10,94.31
2025-10-16T16:36:00Z,5.88,96.01
2025-10-16T16:37:00Z,8.35,94.50
2025-10-16T16:38:00Z,8.25,93.91
2025-10-16T16:39:00Z,7.40,93.40
2025-10-16T16:40:00Z,4.35,95.53
2025-10-16T16:41:00Z,3.52,97.33
2025-10-16T16:42:00Z,3.14,98.24
2025-10-16T16:43:00Z,1.73,98.18
2025-10-16T16:44:00Z,1.00,98.99
2025-10-16T16:45:00Z,1.00,99.00
2025-10-16T16:46:00Z,1.00,99.00
2025-10-16T16:47:00Z,1.00,99.00
2025-10-16T16:48:00Z,1.00,99.00
2025-10-16T16:49:00Z,1.00,99.00
2025-10-16T16:51:00Z,1.00,99.00
