# event_ticker=KXATPCHALLENGERMATCH-26MAR18SARREI
# final_score=7-6(5) 1-6 6-3
# score_resolution=7-6 1-6 6-3
# match_winner=Joao Lucas Reis Da Silva
# fav_player=Joao Lucas Reis Da Silva
# dog_player=Paulo Andre Saraiva Dos Santos
# kalshi_date=2026-03-18
timestamp,Joao Lucas Reis Da Silva,Paulo Andre Saraiva Dos Santos
2026-03-18T19:34:00Z,90.38,9.27
2026-03-18T19:35:00Z,90.38,8.72
2026-03-18T19:36:00Z,90.38,9.03
2026-03-18T19:37:00Z,90.38,9.00
2026-03-18T19:38:00Z,91.87,9.30
2026-03-18T19:39:00Z,89.13,10.15
2026-03-18T19:40:00Z,89.13,10.00
2026-03-18T19:42:00Z,90.00,9.90
2026-03-18T19:43:00Z,89.00,10.08
2026-03-18T19:44:00Z,89.00,12.72
2026-03-18T19:45:00Z,88.24,12.77
2026-03-18T19:46:00Z,87.05,14.08
2026-03-18T19:47:00Z,88.80,14.44
2026-03-18T19:48:00Z,87.00,14.89
2026-03-18T19:49:00Z,85.81,16.15
2026-03-18T19:50:00Z,82.75,19.51
2026-03-18T19:51:00Z,84.98,15.21
2026-03-18T19:52:00Z,87.00,14.03
2026-03-18T19:53:00Z,87.00,14.00
2026-03-18T19:54:00Z,84.95,16.67
2026-03-18T19:55:00Z,87.98,14.91
2026-03-18T19:56:00Z,89.55,10.54
2026-03-18T19:57:00Z,90.31,8.81
2026-03-18T19:58:00Z,93.02,8.53
2026-03-18T19:59:00Z,93.78,7.94
2026-03-18T20:00:00Z,92.67,9.86
2026-03-18T20:01:00Z,90.64,12.48
2026-03-18T20:02:00Z,88.58,12.32
2026-03-18T20:03:00Z,86.27,15.09
2026-03-18T20:04:00Z,84.00,16.78
2026-03-18T20:05:00Z,82.13,18.47
2026-03-18T20:06:00Z,82.00,18.13
2026-03-18T20:07:00Z,83.09,17.45
2026-03-18T20:08:00Z,88.64,13.04
2026-03-18T20:09:00Z,85.00,17.63
2026-03-18T20:10:00Z,88.00,14.60
2026-03-18T20:11:00Z,86.11,13.43
2026-03-18T20:12:00Z,91.43,16.20
2026-03-18T20:13:00Z,82.00,18.22
2026-03-18T20:14:00Z,81.11,21.03
2026-03-18T20:15:00Z,82.00,20.50
2026-03-18T20:16:00Z,86.00,20.78
2026-03-18T20:17:00Z,80.03,21.11
2026-03-18T20:18:00Z,76.59,24.07
2026-03-18T20:19:00Z,71.91,32.89
2026-03-18T20:20:00Z,73.21,25.97
2026-03-18T20:21:00Z,71.08,26.55
2026-03-18T20:22:00Z,67.29,32.60
2026-03-18T20:23:00Z,57.68,40.83
2026-03-18T20:24:00Z,57.86,44.29
2026-03-18T20:25:00Z,61.74,39.43
2026-03-18T20:26:00Z,66.25,32.87
2026-03-18T20:27:00Z,68.56,31.33
2026-03-18T20:28:00Z,79.11,20.21
2026-03-18T20:29:00Z,81.44,16.89
2026-03-18T20:30:00Z,84.73,15.83
2026-03-18T20:31:00Z,84.95,16.07
2026-03-18T20:32:00Z,90.25,12.36
2026-03-18T20:33:00Z,88.32,22.39
2026-03-18T20:34:00Z,83.53,19.54
2026-03-18T20:35:00Z,83.34,19.76
2026-03-18T20:36:00Z,87.01,14.19
2026-03-18T20:37:00Z,77.69,22.68
2026-03-18T20:38:00Z,76.99,24.50
2026-03-18T20:39:00Z,82.97,22.53
2026-03-18T20:40:00Z,77.90,25.60
2026-03-18T20:41:00Z,80.64,22.36
2026-03-18T20:42:00Z,88.06,13.79
2026-03-18T20:43:00Z,89.94,12.24
2026-03-18T20:44:00Z,85.88,14.54
2026-03-18T20:45:00Z,83.97,18.75
2026-03-18T20:46:00Z,83.80,17.00
2026-03-18T20:47:00Z,88.96,11.50
2026-03-18T20:48:00Z,90.17,11.13
2026-03-18T20:49:00Z,89.53,10.52
2026-03-18T20:50:00Z,88.60,11.67
2026-03-18T20:51:00Z,88.43,11.78
2026-03-18T20:52:00Z,88.43,11.87
2026-03-18T20:53:00Z,88.74,11.73
2026-03-18T20:54:00Z,88.65,12.94
2026-03-18T20:55:00Z,88.00,12.31
2026-03-18T20:56:00Z,88.82,12.04
2026-03-18T20:57:00Z,88.22,14.53
2026-03-18T20:58:00Z,88.30,16.70
2026-03-18T20:59:00Z,86.64,16.44
2026-03-18T21:00:00Z,87.68,16.45
2026-03-18T21:01:00Z,88.67,12.37
2026-03-18T21:02:00Z,88.55,11.79
2026-03-18T21:03:00Z,88.44,11.62
2026-03-18T21:04:00Z,87.92,13.99
2026-03-18T21:05:00Z,86.92,18.22
2026-03-18T21:06:00Z,77.94,22.86
2026-03-18T21:07:00Z,73.64,27.78
2026-03-18T21:08:00Z,74.26,27.55
2026-03-18T21:09:00Z,73.15,27.54
2026-03-18T21:10:00Z,70.58,29.53
2026-03-18T21:11:00Z,70.88,31.50
2026-03-18T21:12:00Z,70.23,31.79
2026-03-18T21:13:00Z,62.74,40.06
2026-03-18T21:14:00Z,61.91,38.85
2026-03-18T21:15:00Z,55.95,44.78
2026-03-18T21:16:00Z,52.38,49.38
2026-03-18T21:17:00Z,51.83,51.04
2026-03-18T21:18:00Z,51.48,49.74
2026-03-18T21:19:00Z,51.80,49.27
2026-03-18T21:20:00Z,52.24,48.61
2026-03-18T21:21:00Z,52.74,49.01
2026-03-18T21:22:00Z,53.10,47.88
2026-03-18T21:23:00Z,53.90,48.11
2026-03-18T21:24:00Z,52.82,47.41
2026-03-18T21:25:00Z,52.98,47.44
2026-03-18T21:26:00Z,55.09,46.07
2026-03-18T21:27:00Z,55.99,45.23
2026-03-18T21:28:00Z,56.00,44.05
2026-03-18T21:29:00Z,56.00,44.68
2026-03-18T21:30:00Z,52.35,51.59
2026-03-18T21:31:00Z,48.43,53.52
2026-03-18T21:32:00Z,48.09,52.14
2026-03-18T21:33:00Z,61.32,36.66
2026-03-18T21:34:00Z,63.94,37.38
2026-03-18T21:35:00Z,56.78,46.57
2026-03-18T21:36:00Z,55.70,46.71
2026-03-18T21:37:00Z,54.35,46.29
2026-03-18T21:38:00Z,54.60,48.88
2026-03-18T21:39:00Z,32.66,62.84
2026-03-18T21:40:00Z,27.57,72.42
2026-03-18T21:41:00Z,27.50,73.86
2026-03-18T21:42:00Z,32.22,69.05
2026-03-18T21:43:00Z,32.30,70.57
2026-03-18T21:44:00Z,27.41,73.07
2026-03-18T21:45:00Z,45.46,56.45
2026-03-18T21:46:00Z,59.20,39.36
2026-03-18T21:47:00Z,66.88,31.05
2026-03-18T21:48:00Z,70.93,29.85
2026-03-18T21:49:00Z,68.64,31.48
2026-03-18T21:50:00Z,65.30,36.76
2026-03-18T21:51:00Z,69.32,32.66
2026-03-18T21:52:00Z,63.19,37.27
2026-03-18T21:53:00Z,58.37,42.80
2026-03-18T21:54:00Z,61.41,41.39
2026-03-18T21:55:00Z,61.87,40.22
2026-03-18T21:56:00Z,57.50,40.26
2026-03-18T21:57:00Z,66.15,34.96
2026-03-18T21:58:00Z,65.02,35.66
2026-03-18T21:59:00Z,63.67,37.67
2026-03-18T22:00:00Z,66.00,36.37
2026-03-18T22:01:00Z,76.54,21.51
2026-03-18T22:02:00Z,85.36,13.09
2026-03-18T22:03:00Z,92.26,9.64
2026-03-18T22:04:00Z,95.08,4.36
2026-03-18T22:05:00Z,98.55,1.78
2026-03-18T22:06:00Z,98.85,1.01
2026-03-18T22:07:00Z,99.00,1.00
2026-03-18T22:08:00Z,99.00,1.00
2026-03-18T22:09:00Z,99.00,1.00
2026-03-18T22:10:00Z,99.00,1.00
2026-03-18T22:11:00Z,99.00,1.00
2026-03-18T22:12:00Z,99.00,1.00
