# event_ticker=KXATPMATCH-26MAY08BORJOD
# final_score=7-6(4) 6-4
# score_resolution=6-7 4-6
# match_winner=Rafael Jodar
# fav_player=Nuno Borges
# dog_player=Rafael Jodar
# kalshi_date=2026-05-08
timestamp,Nuno Borges,Rafael Jodar
2026-05-08T00:52:00Z,20.02,80.00
2026-05-08T00:53:00Z,21.00,80.00
2026-05-08T00:54:00Z,21.00,80.00
2026-05-08T01:00:00Z,21.00,80.00
2026-05-08T01:09:00Z,21.00,80.00
2026-05-08T01:13:00Z,21.00,80.00
2026-05-08T01:14:00Z,21.00,80.00
2026-05-08T01:16:00Z,21.00,80.00
2026-05-08T01:18:00Z,21.00,80.00
2026-05-08T01:19:00Z,21.00,80.00
2026-05-08T01:24:00Z,21.00,80.00
2026-05-08T01:25:00Z,21.00,80.00
2026-05-08T01:30:00Z,21.00,80.00
2026-05-08T01:31:00Z,20.00,80.00
2026-05-08T01:32:00Z,21.00,80.00
2026-05-08T01:33:00Z,21.00,80.00
2026-05-08T01:34:00Z,21.00,80.00
2026-05-08T01:36:00Z,21.00,80.00
2026-05-08T01:37:00Z,21.00,80.00
2026-05-08T01:40:00Z,21.00,80.00
2026-05-08T01:42:00Z,21.00,80.00
2026-05-08T01:43:00Z,21.00,80.00
2026-05-08T01:47:00Z,21.00,80.00
2026-05-08T01:49:00Z,21.00,80.00
2026-05-08T01:50:00Z,21.00,80.00
2026-05-08T01:53:00Z,21.00,80.00
2026-05-08T01:56:00Z,21.00,80.00
2026-05-08T01:58:00Z,21.00,80.00
2026-05-08T01:59:00Z,21.00,79.99
2026-05-08T02:02:00Z,21.00,80.00
2026-05-08T02:03:00Z,21.00,80.00
2026-05-08T02:06:00Z,21.00,80.00
2026-05-08T02:07:00Z,21.00,80.00
2026-05-08T02:08:00Z,21.00,80.00
2026-05-08T02:09:00Z,21.00,80.00
2026-05-08T02:18:00Z,20.00,80.00
2026-05-08T02:19:00Z,20.00,80.00
2026-05-08T02:20:00Z,20.00,80.00
2026-05-08T02:21:00Z,21.00,80.00
2026-05-08T02:25:00Z,21.00,80.00
2026-05-08T02:27:00Z,21.00,80.00
2026-05-08T02:28:00Z,21.00,80.00
2026-05-08T02:29:00Z,20.14,80.00
2026-05-08T02:30:00Z,20.14,80.00
2026-05-08T02:32:00Z,20.14,80.00
2026-05-08T02:33:00Z,20.14,80.00
2026-05-08T02:34:00Z,20.14,80.00
2026-05-08T02:36:00Z,20.14,80.00
2026-05-08T02:37:00Z,20.14,80.00
2026-05-08T02:38:00Z,20.14,80.00
2026-05-08T02:41:00Z,20.14,80.00
2026-05-08T02:42:00Z,21.00,80.00
2026-05-08T02:43:00Z,21.00,79.00
2026-05-08T02:48:00Z,21.00,79.00
2026-05-08T02:49:00Z,21.00,80.00
2026-05-08T02:52:00Z,21.00,80.00
2026-05-08T02:53:00Z,21.00,80.00
2026-05-08T02:55:00Z,21.00,80.00
2026-05-08T02:56:00Z,21.00,80.00
2026-05-08T02:57:00Z,21.00,80.00
2026-05-08T03:00:00Z,21.00,80.00
2026-05-08T03:01:00Z,21.00,80.00
2026-05-08T03:05:00Z,21.00,80.00
2026-05-08T03:06:00Z,21.00,80.00
2026-05-08T03:08:00Z,21.00,80.00
2026-05-08T03:09:00Z,21.00,80.00
2026-05-08T03:12:00Z,21.00,80.00
2026-05-08T03:14:00Z,21.00,80.00
2026-05-08T03:16:00Z,21.00,80.00
2026-05-08T03:21:00Z,21.00,80.00
2026-05-08T03:23:00Z,21.00,80.00
2026-05-08T03:24:00Z,21.00,80.00
2026-05-08T03:26:00Z,21.00,80.00
2026-05-08T03:29:00Z,21.00,80.00
2026-05-08T03:33:00Z,21.00,80.00
2026-05-08T03:35:00Z,21.00,80.00
2026-05-08T03:37:00Z,21.00,80.00
2026-05-08T03:39:00Z,21.00,80.00
2026-05-08T03:41:00Z,21.00,80.00
2026-05-08T03:42:00Z,21.00,80.00
2026-05-08T03:44:00Z,21.00,80.00
2026-05-08T03:47:00Z,21.00,80.00
2026-05-08T03:48:00Z,21.00,80.00
2026-05-08T03:49:00Z,21.00,80.00
2026-05-08T03:50:00Z,21.00,80.00
2026-05-08T03:53:00Z,21.00,80.00
2026-05-08T03:57:00Z,21.00,80.00
2026-05-08T03:58:00Z,21.00,80.00
2026-05-08T04:01:00Z,21.00,80.00
2026-05-08T04:02:00Z,21.00,80.00
2026-05-08T04:03:00Z,21.00,80.00
2026-05-08T04:06:00Z,21.00,80.00
2026-05-08T04:07:00Z,21.00,80.00
2026-05-08T04:08:00Z,21.00,80.00
2026-05-08T04:09:00Z,21.00,80.00
2026-05-08T04:10:00Z,21.00,79.00
2026-05-08T04:11:00Z,21.00,80.00
2026-05-08T04:14:00Z,21.00,80.00
2026-05-08T04:15:00Z,21.00,80.00
2026-05-08T04:16:00Z,21.00,80.00
2026-05-08T04:19:00Z,21.00,80.00
2026-05-08T04:20:00Z,21.00,79.99
2026-05-08T04:21:00Z,21.00,80.00
2026-05-08T04:22:00Z,21.00,80.00
2026-05-08T04:23:00Z,21.00,80.00
2026-05-08T04:24:00Z,21.00,80.00
2026-05-08T04:25:00Z,21.00,80.00
2026-05-08T04:26:00Z,21.00,80.00
2026-05-08T04:27:00Z,21.00,80.00
2026-05-08T04:28:00Z,21.00,80.00
2026-05-08T04:29:00Z,21.00,80.00
2026-05-08T04:30:00Z,21.00,80.00
2026-05-08T04:31:00Z,21.00,80.00
2026-05-08T04:32:00Z,21.00,80.00
2026-05-08T04:33:00Z,21.00,80.00
2026-05-08T04:35:00Z,21.00,80.00
2026-05-08T04:36:00Z,21.00,80.00
2026-05-08T04:37:00Z,21.00,80.00
2026-05-08T04:38:00Z,21.00,80.00
2026-05-08T04:39:00Z,21.00,80.00
2026-05-08T04:40:00Z,21.00,80.00
2026-05-08T04:41:00Z,21.00,80.00
2026-05-08T04:43:00Z,21.00,80.00
2026-05-08T04:44:00Z,21.00,80.00
2026-05-08T04:46:00Z,21.00,80.00
2026-05-08T04:47:00Z,20.00,81.00
2026-05-08T04:48:00Z,20.00,81.00
2026-05-08T04:50:00Z,21.00,80.00
2026-05-08T04:51:00Z,21.00,81.00
2026-05-08T04:52:00Z,21.00,81.00
2026-05-08T04:53:00Z,21.00,80.00
2026-05-08T04:54:00Z,21.00,81.00
2026-05-08T04:55:00Z,21.00,81.00
2026-05-08T04:56:00Z,21.00,80.00
2026-05-08T04:57:00Z,21.00,81.00
2026-05-08T04:58:00Z,21.00,80.84
2026-05-08T05:01:00Z,20.64,80.84
2026-05-08T05:02:00Z,21.00,80.84
2026-05-08T05:03:00Z,21.00,81.00
2026-05-08T05:04:00Z,21.00,81.00
2026-05-08T05:05:00Z,21.00,81.00
2026-05-08T05:06:00Z,21.00,81.00
2026-05-08T05:07:00Z,20.00,81.00
2026-05-08T05:08:00Z,20.00,81.00
2026-05-08T05:13:00Z,20.00,81.00
2026-05-08T05:14:00Z,20.00,81.00
2026-05-08T05:15:00Z,20.00,81.00
2026-05-08T05:16:00Z,20.00,81.00
2026-05-08T05:17:00Z,20.00,81.00
2026-05-08T05:18:00Z,20.00,81.00
2026-05-08T05:22:00Z,21.00,81.00
2026-05-08T05:24:00Z,21.00,81.00
2026-05-08T05:25:00Z,21.00,81.00
2026-05-08T05:26:00Z,21.00,81.00
2026-05-08T05:27:00Z,21.00,81.00
2026-05-08T05:29:00Z,21.00,81.00
2026-05-08T05:31:00Z,21.00,81.00
2026-05-08T05:34:00Z,21.00,81.00
2026-05-08T05:35:00Z,21.00,81.00
2026-05-08T05:37:00Z,21.00,81.00
2026-05-08T05:38:00Z,21.00,81.00
2026-05-08T05:39:00Z,21.00,81.00
2026-05-08T05:40:00Z,21.00,81.00
2026-05-08T05:41:00Z,21.00,81.00
2026-05-08T05:48:00Z,21.00,81.00
2026-05-08T05:52:00Z,21.00,81.00
2026-05-08T05:53:00Z,21.00,81.00
2026-05-08T05:55:00Z,21.00,81.00
2026-05-08T05:56:00Z,21.00,81.00
2026-05-08T05:57:00Z,21.00,81.00
2026-05-08T06:03:00Z,21.00,81.00
2026-05-08T06:04:00Z,21.00,81.00
