# event_ticker=KXATPCHALLENGERMATCH-26FEB10ZINAZK
# final_score=6-4 6-1
# match_winner=Tyler Zink
# fav_player=Tyler Zink
# dog_player=Arda Azkara
# kalshi_date=2026-02-10
timestamp,Tyler Zink,Arda Azkara
2026-02-10T19:46:00Z,75.54,26.95
2026-02-10T19:47:00Z,78.00,23.95
2026-02-10T19:48:00Z,76.00,26.00
2026-02-10T19:49:00Z,77.19,24.02
2026-02-10T19:50:00Z,78.09,23.00
2026-02-10T19:51:00Z,79.20,17.20
2026-02-10T19:52:00Z,83.00,19.15
2026-02-10T19:53:00Z,81.00,19.00
2026-02-10T19:54:00Z,79.12,21.96
2026-02-10T19:55:00Z,77.70,21.83
2026-02-10T19:56:00Z,78.00,21.49
2026-02-10T19:57:00Z,83.00,17.00
2026-02-10T19:58:00Z,83.00,18.06
2026-02-10T19:59:00Z,78.88,19.80
2026-02-10T20:00:00Z,80.01,20.98
2026-02-10T20:01:00Z,82.94,17.00
2026-02-10T20:02:00Z,81.95,17.54
2026-02-10T20:03:00Z,87.13,12.74
2026-02-10T20:04:00Z,87.05,13.74
2026-02-10T20:05:00Z,83.79,16.54
2026-02-10T20:06:00Z,88.00,15.00
2026-02-10T20:07:00Z,86.65,16.13
2026-02-10T20:08:00Z,78.36,19.25
2026-02-10T20:09:00Z,78.36,22.72
2026-02-10T20:10:00Z,83.86,20.00
2026-02-10T20:11:00Z,82.11,18.56
2026-02-10T20:12:00Z,76.61,22.86
2026-02-10T20:13:00Z,80.37,22.95
2026-02-10T20:14:00Z,85.58,17.00
2026-02-10T20:15:00Z,81.24,20.13
2026-02-10T20:16:00Z,82.42,20.39
2026-02-10T20:17:00Z,81.77,16.21
2026-02-10T20:18:00Z,75.86,25.64
2026-02-10T20:19:00Z,78.01,23.17
2026-02-10T20:20:00Z,81.00,20.55
2026-02-10T20:21:00Z,80.19,20.91
2026-02-10T20:22:00Z,74.67,25.19
2026-02-10T20:23:00Z,77.59,23.40
2026-02-10T20:24:00Z,77.47,22.36
2026-02-10T20:25:00Z,76.61,24.54
2026-02-10T20:26:00Z,77.81,23.11
2026-02-10T20:27:00Z,80.96,21.00
2026-02-10T20:28:00Z,81.00,20.00
2026-02-10T20:29:00Z,86.67,16.43
2026-02-10T20:30:00Z,88.02,13.35
2026-02-10T20:31:00Z,90.99,10.14
2026-02-10T20:32:00Z,92.32,7.94
2026-02-10T20:33:00Z,92.53,7.94
2026-02-10T20:34:00Z,91.66,8.19
2026-02-10T20:35:00Z,92.25,7.58
2026-02-10T20:36:00Z,94.04,7.10
2026-02-10T20:37:00Z,95.00,5.12
2026-02-10T20:38:00Z,95.06,5.27
2026-02-10T20:39:00Z,95.81,5.48
2026-02-10T20:40:00Z,97.63,2.34
2026-02-10T20:41:00Z,97.59,3.32
2026-02-10T20:42:00Z,97.76,3.88
2026-02-10T20:43:00Z,98.24,2.12
2026-02-10T20:44:00Z,98.00,2.05
2026-02-10T20:45:00Z,98.00,3.00
2026-02-10T20:46:00Z,98.96,3.04
2026-02-10T20:47:00Z,98.00,3.15
2026-02-10T20:48:00Z,97.09,1.89
2026-02-10T20:49:00Z,99.00,1.32
2026-02-10T20:50:00Z,98.45,2.07
2026-02-10T20:51:00Z,99.00,1.00
2026-02-10T20:52:00Z,99.00,1.02
2026-02-10T20:53:00Z,99.00,1.00
2026-02-10T20:54:00Z,98.00,2.00
2026-02-10T20:55:00Z,98.00,2.06
2026-02-10T20:56:00Z,97.00,3.26
2026-02-10T20:57:00Z,96.03,3.42
2026-02-10T20:58:00Z,98.01,2.41
2026-02-10T20:59:00Z,99.00,1.96
2026-02-10T21:00:00Z,99.00,1.42
2026-02-10T21:01:00Z,98.00,1.74
2026-02-10T21:02:00Z,98.00,1.03
2026-02-10T21:03:00Z,98.00,1.00
2026-02-10T21:05:00Z,99.00,1.00
2026-02-10T21:08:00Z,99.00,1.00
2026-02-10T21:10:00Z,99.00,1.00
