# event_ticker=KXATPCHALLENGERMATCH-26MAR23RENZAR
# final_score=6-1 6-3
# match_winner=Carlos Maria Zarate
# fav_player=Carlos Maria Zarate
# dog_player=Frazier Rengifo
# kalshi_date=2026-03-23
timestamp,Carlos Maria Zarate,Frazier Rengifo
2026-03-23T22:41:00Z,95.00,4.19
2026-03-23T22:42:00Z,96.00,4.19
2026-03-23T22:43:00Z,97.00,2.94
2026-03-23T22:44:00Z,97.00,3.70
2026-03-23T22:46:00Z,97.00,2.98
2026-03-23T22:47:00Z,98.00,3.00
2026-03-23T22:48:00Z,97.67,3.21
2026-03-23T22:49:00Z,97.00,4.00
2026-03-23T22:50:00Z,97.00,3.00
2026-03-23T22:51:00Z,98.00,4.00
2026-03-23T22:53:00Z,98.00,4.00
2026-03-23T22:54:00Z,98.00,4.00
2026-03-23T22:55:00Z,98.00,4.00
2026-03-23T22:56:00Z,98.00,3.00
2026-03-23T22:57:00Z,98.00,3.00
2026-03-23T22:58:00Z,98.00,3.58
2026-03-23T22:59:00Z,98.00,3.00
2026-03-23T23:00:00Z,97.07,3.05
2026-03-23T23:01:00Z,98.00,3.00
2026-03-23T23:02:00Z,98.41,1.88
2026-03-23T23:03:00Z,98.98,2.00
2026-03-23T23:04:00Z,99.00,2.86
2026-03-23T23:05:00Z,97.93,3.47
2026-03-23T23:06:00Z,96.00,3.39
2026-03-23T23:07:00Z,97.15,3.00
2026-03-23T23:08:00Z,97.94,3.39
2026-03-23T23:09:00Z,99.00,3.39
2026-03-23T23:10:00Z,99.00,1.93
2026-03-23T23:11:00Z,99.00,3.00
2026-03-23T23:12:00Z,97.60,2.72
2026-03-23T23:13:00Z,98.77,2.07
2026-03-23T23:14:00Z,98.00,2.00
2026-03-23T23:15:00Z,98.00,2.04
2026-03-23T23:16:00Z,98.00,3.00
2026-03-23T23:17:00Z,96.19,4.88
2026-03-23T23:18:00Z,96.56,4.08
2026-03-23T23:19:00Z,98.12,2.89
2026-03-23T23:20:00Z,97.01,2.87
2026-03-23T23:21:00Z,99.00,2.14
2026-03-23T23:22:00Z,98.34,2.00
2026-03-23T23:23:00Z,98.34,3.00
2026-03-23T23:26:00Z,98.00,2.00
2026-03-23T23:27:00Z,98.34,1.38
2026-03-23T23:28:00Z,98.47,3.00
2026-03-23T23:29:00Z,98.67,1.34
2026-03-23T23:30:00Z,99.00,1.52
2026-03-23T23:31:00Z,99.00,1.02
2026-03-23T23:32:00Z,99.00,1.02
