# event_ticker=KXATPCHALLENGERMATCH-26APR07FATMAR
# final_score=6-7(4) 7-6(6) 6-1
# score_resolution=6-7 7-6 6-1
# match_winner=Nerman Fatic
# fav_player=Nerman Fatic
# dog_player=Pol Martin Tiffon
# kalshi_date=2026-04-07
timestamp,Nerman Fatic,Pol Martin Tiffon
2026-04-07T08:46:00Z,55.96,45.00
2026-04-07T08:48:00Z,55.96,48.96
2026-04-07T08:49:00Z,55.67,47.00
2026-04-07T08:50:00Z,55.67,46.00
2026-04-07T08:51:00Z,55.31,46.00
2026-04-07T08:52:00Z,51.26,48.92
2026-04-07T08:53:00Z,51.26,50.00
2026-04-07T08:54:00Z,51.93,48.00
2026-04-07T08:56:00Z,52.00,48.55
2026-04-07T08:57:00Z,53.12,45.10
2026-04-07T08:58:00Z,57.82,42.98
2026-04-07T08:59:00Z,56.43,42.98
2026-04-07T09:00:00Z,58.00,48.14
2026-04-07T09:01:00Z,46.98,55.34
2026-04-07T09:02:00Z,40.99,55.34
2026-04-07T09:03:00Z,43.00,55.34
2026-04-07T09:04:00Z,47.94,46.62
2026-04-07T09:05:00Z,47.94,46.00
2026-04-07T09:06:00Z,47.94,51.00
2026-04-07T09:07:00Z,48.00,51.00
2026-04-07T09:09:00Z,47.00,51.00
2026-04-07T09:11:00Z,50.13,52.68
2026-04-07T09:12:00Z,53.90,48.00
2026-04-07T09:13:00Z,53.90,48.00
2026-04-07T09:14:00Z,54.85,49.75
2026-04-07T09:15:00Z,48.78,51.76
2026-04-07T09:16:00Z,46.95,51.76
2026-04-07T09:17:00Z,46.95,59.64
2026-04-07T09:18:00Z,45.58,59.64
2026-04-07T09:19:00Z,51.55,50.00
2026-04-07T09:20:00Z,53.00,48.58
2026-04-07T09:21:00Z,49.01,52.33
2026-04-07T09:23:00Z,48.00,53.04
2026-04-07T09:24:00Z,51.33,48.17
2026-04-07T09:25:00Z,51.68,51.01
2026-04-07T09:26:00Z,38.90,63.31
2026-04-07T09:27:00Z,38.07,64.50
2026-04-07T09:28:00Z,32.58,67.27
2026-04-07T09:29:00Z,27.51,70.00
2026-04-07T09:30:00Z,25.09,76.15
2026-04-07T09:31:00Z,23.00,77.08
2026-04-07T09:32:00Z,23.00,77.00
2026-04-07T09:33:00Z,23.00,77.00
2026-04-07T09:34:00Z,22.87,77.00
2026-04-07T09:35:00Z,22.87,78.75
2026-04-07T09:36:00Z,22.87,78.00
2026-04-07T09:37:00Z,24.11,79.00
2026-04-07T09:38:00Z,25.70,76.42
2026-04-07T09:39:00Z,28.00,73.00
2026-04-07T09:40:00Z,36.64,66.11
2026-04-07T09:41:00Z,38.87,65.57
2026-04-07T09:42:00Z,42.00,58.00
2026-04-07T09:43:00Z,39.21,63.00
2026-04-07T09:44:00Z,43.47,61.37
2026-04-07T09:45:00Z,34.00,68.00
2026-04-07T09:46:00Z,36.67,63.39
2026-04-07T09:47:00Z,29.75,73.01
2026-04-07T09:48:00Z,24.37,75.43
2026-04-07T09:49:00Z,32.86,67.72
2026-04-07T09:50:00Z,31.05,68.31
2026-04-07T09:51:00Z,29.90,65.45
2026-04-07T09:52:00Z,37.09,62.50
2026-04-07T09:53:00Z,42.00,57.00
2026-04-07T09:54:00Z,44.96,57.79
2026-04-07T09:55:00Z,41.98,57.31
2026-04-07T09:56:00Z,48.67,53.00
2026-04-07T09:57:00Z,53.84,48.54
2026-04-07T09:58:00Z,54.00,47.07
2026-04-07T09:59:00Z,51.00,53.00
2026-04-07T10:00:00Z,45.00,53.45
2026-04-07T10:01:00Z,51.91,49.10
2026-04-07T10:02:00Z,55.00,47.00
2026-04-07T10:03:00Z,55.86,46.33
2026-04-07T10:04:00Z,58.48,41.96
2026-04-07T10:05:00Z,56.97,42.22
2026-04-07T10:06:00Z,57.19,41.42
2026-04-07T10:07:00Z,54.94,46.42
2026-04-07T10:08:00Z,54.94,46.36
2026-04-07T10:09:00Z,52.00,47.39
2026-04-07T10:10:00Z,64.44,46.55
2026-04-07T10:11:00Z,58.88,46.55
2026-04-07T10:13:00Z,51.54,44.82
2026-04-07T10:14:00Z,56.29,45.73
2026-04-07T10:15:00Z,53.95,47.80
2026-04-07T10:16:00Z,54.61,46.64
2026-04-07T10:17:00Z,55.78,46.74
2026-04-07T10:18:00Z,49.51,52.69
2026-04-07T10:19:00Z,42.43,56.13
2026-04-07T10:20:00Z,32.43,68.16
2026-04-07T10:21:00Z,33.70,67.59
2026-04-07T10:22:00Z,36.60,64.76
2026-04-07T10:23:00Z,24.99,74.19
2026-04-07T10:24:00Z,23.99,70.68
2026-04-07T10:25:00Z,29.76,73.66
2026-04-07T10:26:00Z,31.00,72.26
2026-04-07T10:27:00Z,29.00,74.13
2026-04-07T10:28:00Z,24.93,80.35
2026-04-07T10:29:00Z,23.10,77.07
2026-04-07T10:30:00Z,26.10,77.08
2026-04-07T10:31:00Z,25.84,74.44
2026-04-07T10:32:00Z,14.31,89.45
2026-04-07T10:33:00Z,11.31,89.51
2026-04-07T10:34:00Z,24.67,76.94
2026-04-07T10:35:00Z,33.61,70.66
2026-04-07T10:36:00Z,22.86,75.50
2026-04-07T10:37:00Z,11.70,90.78
2026-04-07T10:38:00Z,21.34,76.99
2026-04-07T10:39:00Z,42.32,51.75
2026-04-07T10:40:00Z,52.43,48.96
2026-04-07T10:41:00Z,54.80,48.73
2026-04-07T10:42:00Z,53.29,50.69
2026-04-07T10:43:00Z,57.36,45.15
2026-04-07T10:44:00Z,54.34,44.98
2026-04-07T10:45:00Z,57.00,40.17
2026-04-07T10:46:00Z,58.71,42.26
2026-04-07T10:47:00Z,58.00,43.00
2026-04-07T10:48:00Z,66.54,39.06
2026-04-07T10:49:00Z,67.60,29.34
2026-04-07T10:50:00Z,75.89,23.03
2026-04-07T10:51:00Z,80.04,13.65
2026-04-07T10:52:00Z,79.42,20.56
2026-04-07T10:53:00Z,79.62,21.56
2026-04-07T10:54:00Z,86.32,13.77
2026-04-07T10:55:00Z,86.23,13.07
2026-04-07T10:56:00Z,87.28,13.28
2026-04-07T10:57:00Z,86.57,15.64
2026-04-07T10:58:00Z,84.48,12.86
2026-04-07T10:59:00Z,94.49,5.72
2026-04-07T11:00:00Z,96.85,2.86
2026-04-07T11:01:00Z,95.76,4.44
2026-04-07T11:02:00Z,95.10,2.43
2026-04-07T11:03:00Z,97.51,2.13
2026-04-07T11:04:00Z,98.62,1.20
2026-04-07T11:05:00Z,98.08,1.64
2026-04-07T11:06:00Z,98.98,1.00
2026-04-07T11:07:00Z,98.00,1.00
2026-04-07T11:08:00Z,99.00,1.00
2026-04-07T11:09:00Z,99.00,1.00
2026-04-07T11:10:00Z,99.00,1.00
2026-04-07T11:11:00Z,99.00,1.00
2026-04-07T11:15:00Z,99.00,1.00
2026-04-07T11:16:00Z,99.00,1.00
2026-04-07T11:17:00Z,99.00,1.00
