# event_ticker=KXATPMATCH-26MAR12ALCNOR
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Carlos Alcaraz
# fav_player=Cameron Norrie
# dog_player=Carlos Alcaraz
# kalshi_date=2026-03-12
timestamp,Cameron Norrie,Carlos Alcaraz
2026-03-12T19:29:00Z,7.00,94.00
2026-03-12T19:30:00Z,7.00,94.00
2026-03-12T19:31:00Z,7.00,94.00
2026-03-12T19:35:00Z,7.00,94.00
2026-03-12T19:39:00Z,7.00,94.00
2026-03-12T19:40:00Z,7.00,94.00
2026-03-12T19:41:00Z,7.00,94.00
2026-03-12T19:43:00Z,7.00,94.00
2026-03-12T19:44:00Z,7.00,94.00
2026-03-12T19:45:00Z,7.00,94.00
2026-03-12T19:46:00Z,7.00,94.00
2026-03-12T19:50:00Z,7.00,94.00
2026-03-12T19:51:00Z,7.00,94.00
2026-03-12T19:52:00Z,7.00,94.00
2026-03-12T19:53:00Z,7.00,94.00
2026-03-12T19:58:00Z,7.00,94.00
2026-03-12T19:59:00Z,7.00,94.00
2026-03-12T20:00:00Z,7.00,94.00
2026-03-12T20:01:00Z,7.00,94.00
2026-03-12T20:02:00Z,7.00,94.00
2026-03-12T20:04:00Z,7.00,94.00
2026-03-12T20:06:00Z,7.00,94.00
2026-03-12T20:07:00Z,7.00,94.00
2026-03-12T20:09:00Z,7.00,94.00
2026-03-12T20:12:00Z,7.00,94.00
2026-03-12T20:20:00Z,7.00,94.00
2026-03-12T20:21:00Z,7.00,94.00
2026-03-12T20:24:00Z,7.00,94.00
2026-03-12T20:26:00Z,7.00,94.00
2026-03-12T20:27:00Z,7.00,94.00
2026-03-12T20:29:00Z,7.00,94.00
2026-03-12T20:30:00Z,7.00,94.00
2026-03-12T20:36:00Z,7.00,94.00
2026-03-12T20:37:00Z,7.00,94.00
2026-03-12T20:38:00Z,7.00,94.00
2026-03-12T20:40:00Z,7.00,94.00
2026-03-12T20:42:00Z,7.00,94.00
2026-03-12T20:44:00Z,7.00,94.00
2026-03-12T20:45:00Z,7.00,94.00
2026-03-12T20:46:00Z,7.00,94.00
2026-03-12T20:48:00Z,7.00,94.00
2026-03-12T20:49:00Z,7.00,94.00
2026-03-12T20:50:00Z,7.00,94.00
2026-03-12T20:52:00Z,7.00,94.00
2026-03-12T20:53:00Z,7.00,94.00
2026-03-12T20:54:00Z,7.00,94.00
2026-03-12T20:55:00Z,7.00,94.00
2026-03-12T20:56:00Z,7.00,94.00
2026-03-12T20:59:00Z,7.00,94.00
2026-03-12T21:04:00Z,7.00,94.00
2026-03-12T21:06:00Z,7.00,94.00
2026-03-12T21:07:00Z,7.00,94.00
2026-03-12T21:08:00Z,7.00,94.00
2026-03-12T21:09:00Z,7.00,94.00
2026-03-12T21:10:00Z,7.00,94.00
2026-03-12T21:11:00Z,7.00,94.00
2026-03-12T21:12:00Z,7.00,94.00
2026-03-12T21:13:00Z,7.00,94.00
2026-03-12T21:14:00Z,7.00,94.00
2026-03-12T21:15:00Z,7.00,94.00
2026-03-12T21:16:00Z,6.00,94.00
2026-03-12T21:18:00Z,6.00,94.00
2026-03-12T21:19:00Z,7.00,94.00
2026-03-12T21:20:00Z,7.00,94.00
2026-03-12T21:21:00Z,6.98,94.00
2026-03-12T21:22:00Z,6.00,94.00
2026-03-12T21:23:00Z,7.00,94.00
