# event_ticker=KXATPMATCH-26JAN03UGOTIE
# final_score=7-6(4) 6-3
# score_resolution=6-7 3-6
# match_winner=Learner Tien
# fav_player=Camilo Ugo Carabelli
# dog_player=Learner Tien
# kalshi_date=2026-01-03
timestamp,Camilo Ugo Carabelli,Learner Tien
2026-01-04T07:25:00Z,18.00,84.00
2026-01-04T07:26:00Z,18.00,84.00
2026-01-04T07:27:00Z,18.00,84.00
2026-01-04T07:31:00Z,18.00,84.00
2026-01-04T07:34:00Z,18.00,84.00
2026-01-04T07:35:00Z,18.00,84.00
2026-01-04T07:39:00Z,18.00,83.00
2026-01-04T07:43:00Z,18.00,84.00
2026-01-04T07:45:00Z,18.00,84.00
2026-01-04T07:46:00Z,18.00,84.00
2026-01-04T07:48:00Z,18.00,84.00
2026-01-04T07:53:00Z,18.00,84.00
2026-01-04T07:55:00Z,18.00,84.00
2026-01-04T07:58:00Z,18.00,84.00
2026-01-04T07:59:00Z,18.00,84.00
2026-01-04T08:00:00Z,18.00,84.00
2026-01-04T08:04:00Z,18.00,84.00
2026-01-04T08:05:00Z,18.00,84.00
2026-01-04T08:06:00Z,18.00,84.00
2026-01-04T08:08:00Z,18.00,84.00
2026-01-04T08:09:00Z,18.00,84.00
2026-01-04T08:13:00Z,18.29,84.00
2026-01-04T08:14:00Z,18.00,84.00
2026-01-04T08:16:00Z,17.09,82.45
2026-01-04T08:17:00Z,18.00,83.00
2026-01-04T08:18:00Z,18.00,82.42
2026-01-04T08:19:00Z,18.00,82.42
2026-01-04T08:20:00Z,18.00,83.00
2026-01-04T08:21:00Z,18.00,83.00
2026-01-04T08:23:00Z,18.00,84.00
2026-01-04T08:24:00Z,18.00,84.00
2026-01-04T08:25:00Z,18.00,84.00
2026-01-04T08:26:00Z,17.98,84.00
2026-01-04T08:28:00Z,18.00,84.00
2026-01-04T08:29:00Z,18.00,84.00
2026-01-04T08:30:00Z,18.00,84.00
2026-01-04T08:31:00Z,17.93,84.00
2026-01-04T08:36:00Z,18.00,84.75
2026-01-04T08:37:00Z,17.30,84.75
2026-01-04T08:38:00Z,17.00,84.75
2026-01-04T08:39:00Z,16.59,85.00
2026-01-04T08:40:00Z,17.00,85.00
2026-01-04T08:41:00Z,18.00,83.00
2026-01-04T08:42:00Z,21.10,83.91
2026-01-04T08:43:00Z,22.00,83.91
2026-01-04T08:44:00Z,21.75,83.91
2026-01-04T08:46:00Z,23.09,82.83
2026-01-04T08:47:00Z,19.00,82.83
2026-01-04T08:48:00Z,15.19,87.98
2026-01-04T08:49:00Z,15.19,91.22
2026-01-04T08:50:00Z,10.10,91.53
2026-01-04T08:51:00Z,11.00,91.53
2026-01-04T08:52:00Z,13.60,89.91
2026-01-04T08:53:00Z,16.79,83.02
2026-01-04T08:54:00Z,23.33,79.57
2026-01-04T08:55:00Z,26.99,76.00
2026-01-04T08:56:00Z,28.00,74.73
2026-01-04T08:57:00Z,28.00,74.00
2026-01-04T08:58:00Z,27.04,73.14
2026-01-04T08:59:00Z,27.04,76.84
2026-01-04T09:00:00Z,27.57,80.00
2026-01-04T09:01:00Z,27.08,80.00
2026-01-04T09:02:00Z,25.14,74.20
2026-01-04T09:03:00Z,31.88,71.00
2026-01-04T09:04:00Z,31.00,71.00
2026-01-04T09:05:00Z,30.85,70.33
2026-01-04T09:06:00Z,30.85,72.95
2026-01-04T09:07:00Z,27.00,72.95
2026-01-04T09:08:00Z,26.00,76.00
2026-01-04T09:09:00Z,25.00,76.00
2026-01-04T09:10:00Z,26.21,73.00
2026-01-04T09:11:00Z,31.33,73.00
2026-01-04T09:12:00Z,32.00,73.00
2026-01-04T09:13:00Z,32.46,65.00
2026-01-04T09:14:00Z,31.86,73.00
2026-01-04T09:15:00Z,23.71,75.84
2026-01-04T09:16:00Z,28.00,75.84
2026-01-04T09:17:00Z,25.49,76.82
2026-01-04T09:18:00Z,25.25,74.00
2026-01-04T09:19:00Z,25.22,74.00
2026-01-04T09:20:00Z,29.04,74.00
2026-01-04T09:21:00Z,33.00,70.00
2026-01-04T09:22:00Z,30.00,70.00
2026-01-04T09:23:00Z,26.95,73.23
2026-01-04T09:24:00Z,26.95,77.00
2026-01-04T09:25:00Z,20.14,80.82
2026-01-04T09:27:00Z,29.57,79.89
2026-01-04T09:28:00Z,29.57,72.00
2026-01-04T09:29:00Z,27.00,75.00
2026-01-04T09:30:00Z,22.00,80.00
2026-01-04T09:31:00Z,16.00,86.00
2026-01-04T09:32:00Z,17.84,84.03
2026-01-04T09:33:00Z,10.96,90.00
2026-01-04T09:34:00Z,9.03,92.05
2026-01-04T09:35:00Z,9.04,91.00
2026-01-04T09:36:00Z,8.23,92.00
2026-01-04T09:37:00Z,6.49,93.32
