# event_ticker=KXATPCHALLENGERMATCH-26JUN01MARELL
# final_score=7-6(5) 7-6(5)
# score_resolution=6-7 6-7
# match_winner=Andres Martin
# fav_player=Blake Ellis
# dog_player=Andres Martin
# kalshi_date=2026-06-01
timestamp,Andres Martin,Blake Ellis
2026-06-03T19:16:00Z,56.15,44.76
2026-06-03T19:17:00Z,55.99,44.53
2026-06-03T19:18:00Z,56.00,44.53
2026-06-03T19:19:00Z,52.61,48.48
2026-06-03T19:20:00Z,46.46,53.29
2026-06-03T19:21:00Z,50.25,50.82
2026-06-03T19:22:00Z,50.10,48.96
2026-06-03T19:23:00Z,57.01,42.00
2026-06-03T19:24:00Z,65.72,37.36
2026-06-03T19:25:00Z,53.20,45.17
2026-06-03T19:26:00Z,47.29,49.74
2026-06-03T19:27:00Z,42.66,56.33
2026-06-03T19:28:00Z,43.41,55.07
2026-06-03T19:29:00Z,50.62,50.98
2026-06-03T19:30:00Z,52.32,44.88
2026-06-03T19:31:00Z,53.03,45.89
2026-06-03T19:32:00Z,63.60,40.92
2026-06-03T19:33:00Z,77.79,21.98
2026-06-03T19:34:00Z,79.56,20.64
2026-06-03T19:35:00Z,80.68,20.84
2026-06-03T19:36:00Z,80.66,22.48
2026-06-03T19:37:00Z,80.91,23.00
2026-06-03T19:38:00Z,76.68,23.28
2026-06-03T19:39:00Z,79.79,23.00
2026-06-03T19:40:00Z,77.24,22.75
2026-06-03T19:41:00Z,76.54,22.64
2026-06-03T19:42:00Z,78.49,21.88
2026-06-03T19:43:00Z,83.17,21.15
2026-06-03T19:44:00Z,84.88,15.69
2026-06-03T19:45:00Z,84.00,16.37
2026-06-03T19:46:00Z,81.00,20.35
2026-06-03T19:47:00Z,75.17,22.99
2026-06-03T19:48:00Z,72.67,25.79
2026-06-03T19:49:00Z,69.38,29.38
2026-06-03T19:50:00Z,66.88,30.85
2026-06-03T19:51:00Z,64.91,34.07
2026-06-03T19:52:00Z,67.36,33.97
2026-06-03T19:53:00Z,73.52,26.49
2026-06-03T19:54:00Z,71.40,29.20
2026-06-03T19:55:00Z,70.77,30.33
2026-06-03T19:56:00Z,71.89,31.01
2026-06-03T19:57:00Z,69.76,33.71
2026-06-03T19:58:00Z,64.82,35.24
2026-06-03T19:59:00Z,65.69,35.60
2026-06-03T20:00:00Z,66.87,35.00
2026-06-03T20:01:00Z,66.52,35.00
2026-06-03T20:02:00Z,67.00,35.00
2026-06-03T20:03:00Z,71.06,30.44
2026-06-03T20:04:00Z,74.16,23.26
2026-06-03T20:05:00Z,80.51,22.84
2026-06-03T20:06:00Z,83.73,16.78
2026-06-03T20:07:00Z,85.97,15.20
2026-06-03T20:08:00Z,86.00,14.61
2026-06-03T20:09:00Z,83.01,16.10
2026-06-03T20:10:00Z,82.35,18.01
2026-06-03T20:11:00Z,81.97,21.74
2026-06-03T20:12:00Z,76.42,28.46
2026-06-03T20:13:00Z,79.24,20.00
2026-06-03T20:14:00Z,82.38,19.16
2026-06-03T20:15:00Z,83.31,16.72
2026-06-03T20:16:00Z,84.74,15.92
2026-06-03T20:17:00Z,83.37,16.05
2026-06-03T20:18:00Z,82.80,18.21
2026-06-03T20:19:00Z,85.21,17.01
2026-06-03T20:20:00Z,84.34,16.77
2026-06-03T20:21:00Z,84.20,14.12
2026-06-03T20:22:00Z,84.15,17.03
2026-06-03T20:23:00Z,81.65,18.90
2026-06-03T20:24:00Z,83.86,16.06
2026-06-03T20:25:00Z,83.03,17.61
2026-06-03T20:26:00Z,85.28,15.97
2026-06-03T20:27:00Z,85.95,15.21
2026-06-03T20:28:00Z,87.61,13.23
2026-06-03T20:29:00Z,87.07,12.24
2026-06-03T20:30:00Z,89.03,14.01
2026-06-03T20:31:00Z,83.25,17.55
2026-06-03T20:32:00Z,85.07,16.97
2026-06-03T20:33:00Z,82.71,17.51
2026-06-03T20:34:00Z,84.78,15.61
2026-06-03T20:35:00Z,84.65,18.76
2026-06-03T20:36:00Z,80.33,19.73
2026-06-03T20:37:00Z,89.68,15.92
2026-06-03T20:38:00Z,93.84,6.15
2026-06-03T20:39:00Z,97.40,3.42
2026-06-03T20:40:00Z,94.68,5.81
2026-06-03T20:41:00Z,98.07,3.46
2026-06-03T20:42:00Z,99.00,1.00
2026-06-03T20:43:00Z,99.00,1.00
2026-06-03T20:44:00Z,99.00,1.00
2026-06-03T20:45:00Z,99.00,1.00
2026-06-03T20:46:00Z,99.00,1.00
