# event_ticker=KXATPCHALLENGERMATCH-26MAR10BARCOL
# final_score=7-6(4) 6-3
# score_resolution=6-7 3-6
# match_winner=Raphael Collignon
# fav_player=Marcelo Tomas Barrios Vera
# dog_player=Raphael Collignon
# kalshi_date=2026-03-10
timestamp,Marcelo Tomas Barrios Vera,Raphael Collignon
2026-03-10T23:22:00Z,21.00,77.00
2026-03-10T23:23:00Z,27.85,74.67
2026-03-10T23:24:00Z,27.67,74.00
2026-03-10T23:25:00Z,32.81,70.00
2026-03-10T23:26:00Z,26.95,72.54
2026-03-10T23:27:00Z,27.64,72.54
2026-03-10T23:28:00Z,24.68,71.96
2026-03-10T23:29:00Z,31.19,70.00
2026-03-10T23:30:00Z,25.87,78.00
2026-03-10T23:31:00Z,15.46,83.93
2026-03-10T23:32:00Z,18.29,83.00
2026-03-10T23:33:00Z,26.00,83.00
2026-03-10T23:34:00Z,15.00,85.00
2026-03-10T23:35:00Z,11.65,88.00
2026-03-10T23:36:00Z,10.08,88.00
2026-03-10T23:37:00Z,8.99,88.00
2026-03-10T23:38:00Z,9.12,88.00
2026-03-10T23:39:00Z,10.00,91.00
2026-03-10T23:40:00Z,10.00,91.00
2026-03-10T23:41:00Z,9.97,91.00
2026-03-10T23:42:00Z,10.00,91.00
2026-03-10T23:43:00Z,8.07,91.50
2026-03-10T23:44:00Z,7.88,91.50
2026-03-10T23:45:00Z,7.00,93.16
2026-03-10T23:46:00Z,7.32,93.00
2026-03-10T23:47:00Z,7.99,93.00
2026-03-10T23:48:00Z,10.00,91.12
2026-03-10T23:49:00Z,9.66,91.12
2026-03-10T23:50:00Z,10.86,91.12
2026-03-10T23:51:00Z,9.38,90.00
2026-03-10T23:52:00Z,9.40,91.00
2026-03-10T23:53:00Z,8.96,93.43
2026-03-10T23:54:00Z,6.19,93.43
2026-03-10T23:55:00Z,7.97,94.00
2026-03-10T23:56:00Z,4.81,95.00
2026-03-10T23:57:00Z,7.03,94.00
2026-03-10T23:58:00Z,9.22,92.03
2026-03-10T23:59:00Z,4.22,95.28
2026-03-11T00:00:00Z,3.73,98.00
2026-03-11T00:01:00Z,3.31,98.00
2026-03-11T00:02:00Z,1.11,99.00
2026-03-11T00:03:00Z,3.00,98.00
2026-03-11T00:04:00Z,2.00,97.67
2026-03-11T00:05:00Z,2.00,98.00
2026-03-11T00:06:00Z,3.00,98.94
2026-03-11T00:07:00Z,1.00,99.00
2026-03-11T00:08:00Z,3.00,99.00
2026-03-11T00:09:00Z,1.67,98.00
2026-03-11T00:10:00Z,1.60,99.00
2026-03-11T00:11:00Z,1.75,99.00
2026-03-11T00:12:00Z,2.79,99.00
2026-03-11T00:13:00Z,2.80,98.13
2026-03-11T00:14:00Z,2.80,97.00
2026-03-11T00:15:00Z,1.00,99.00
2026-03-11T00:16:00Z,1.00,99.00
2026-03-11T00:18:00Z,1.00,97.00
2026-03-11T00:19:00Z,4.95,96.49
2026-03-11T00:20:00Z,3.46,97.66
2026-03-11T00:21:00Z,3.33,96.13
2026-03-11T00:22:00Z,3.45,98.68
2026-03-11T00:23:00Z,2.04,99.00
2026-03-11T00:24:00Z,1.07,99.00
2026-03-11T00:25:00Z,2.16,99.00
2026-03-11T00:27:00Z,1.00,98.00
2026-03-11T00:28:00Z,1.00,99.00
2026-03-11T00:29:00Z,1.09,99.00
2026-03-11T00:30:00Z,2.00,99.00
2026-03-11T00:31:00Z,1.00,99.00
2026-03-11T00:32:00Z,1.00,99.00
2026-03-11T00:34:00Z,1.00,99.00
2026-03-11T00:35:00Z,1.00,99.00
