# event_ticker=KXATPCHALLENGERMATCH-26MAR18RODAMB
# final_score=3-6 6-3 3-0 RET
# match_winner=Luciano Emanuel Ambrogi
# fav_player=Luciano Emanuel Ambrogi
# dog_player=Santiago Rodriguez Taverna
# kalshi_date=2026-03-18
timestamp,Luciano Emanuel Ambrogi,Santiago Rodriguez Taverna
2026-03-18T18:57:00Z,73.53,29.28
2026-03-18T18:58:00Z,77.24,21.11
2026-03-18T18:59:00Z,71.35,30.99
2026-03-18T19:00:00Z,72.60,27.51
2026-03-18T19:01:00Z,85.51,13.48
2026-03-18T19:02:00Z,87.39,12.85
2026-03-18T19:03:00Z,89.56,9.03
2026-03-18T19:04:00Z,95.65,5.37
2026-03-18T19:05:00Z,94.20,6.64
2026-03-18T19:06:00Z,96.13,4.86
2026-03-18T19:07:00Z,97.43,2.03
2026-03-18T19:08:00Z,97.17,3.51
2026-03-18T19:09:00Z,98.05,3.30
2026-03-18T19:10:00Z,99.00,1.07
2026-03-18T19:11:00Z,99.00,1.00
2026-03-18T19:12:00Z,99.00,1.27
