# event_ticker=KXATPCHALLENGERMATCH-26MAY08PDATOB
# final_score=6-1 6-3
# match_winner=Matheus Pucinelli De Almeida
# fav_player=Matheus Pucinelli de Almeida
# dog_player=Miguel Tobon
# kalshi_date=2026-05-08
timestamp,Matheus Pucinelli de Almeida,Miguel Tobon
2026-05-08T20:45:00Z,90.22,10.46
2026-05-08T20:46:00Z,91.00,11.00
2026-05-08T20:47:00Z,90.99,11.54
2026-05-08T20:48:00Z,90.34,9.24
2026-05-08T20:49:00Z,92.07,9.73
2026-05-08T20:50:00Z,92.33,8.74
2026-05-08T20:51:00Z,93.23,7.57
2026-05-08T20:52:00Z,94.92,6.66
2026-05-08T20:53:00Z,93.00,7.69
2026-05-08T20:54:00Z,93.07,7.44
2026-05-08T20:55:00Z,91.32,8.17
2026-05-08T20:56:00Z,93.89,7.40
2026-05-08T20:57:00Z,93.00,7.18
2026-05-08T20:58:00Z,92.70,7.73
2026-05-08T20:59:00Z,93.51,7.86
2026-05-08T21:00:00Z,93.52,9.01
2026-05-08T21:01:00Z,93.25,6.90
2026-05-08T21:02:00Z,94.48,6.49
2026-05-08T21:03:00Z,95.09,6.57
2026-05-08T21:04:00Z,96.19,2.99
2026-05-08T21:05:00Z,98.19,1.98
2026-05-08T21:06:00Z,98.48,1.17
2026-05-08T21:07:00Z,99.00,1.01
2026-05-08T21:08:00Z,99.00,1.00
2026-05-08T21:09:00Z,98.78,2.41
2026-05-08T21:10:00Z,97.00,4.34
2026-05-08T21:11:00Z,94.97,5.37
2026-05-08T21:12:00Z,97.69,3.99
2026-05-08T21:13:00Z,97.89,2.83
2026-05-08T21:14:00Z,98.11,1.78
2026-05-08T21:15:00Z,98.25,2.00
2026-05-08T21:16:00Z,97.70,2.64
2026-05-08T21:17:00Z,97.04,2.59
2026-05-08T21:18:00Z,97.03,3.29
2026-05-08T21:19:00Z,95.76,4.88
2026-05-08T21:20:00Z,94.65,5.40
2026-05-08T21:21:00Z,94.87,5.24
2026-05-08T21:22:00Z,98.57,2.28
2026-05-08T21:23:00Z,99.00,1.00
2026-05-08T21:24:00Z,99.00,1.00
2026-05-08T21:25:00Z,99.00,1.00
2026-05-08T21:27:00Z,99.00,1.00
2026-05-08T21:28:00Z,99.00,1.00
2026-05-08T21:29:00Z,99.00,1.00
2026-05-08T21:30:00Z,99.00,1.00
