# event_ticker=KXATPCHALLENGERMATCH-26MAY28GLIBRO
# final_score=6-2 4-6 6-3
# match_winner=Liam Broady
# fav_player=Liam Broady
# dog_player=Daniil Glinka
# kalshi_date=2026-05-28
timestamp,Daniil Glinka,Liam Broady
2026-05-28T04:42:00Z,44.00,58.00
2026-05-28T04:43:00Z,44.00,58.00
2026-05-28T04:44:00Z,44.00,58.00
2026-05-28T04:45:00Z,44.00,58.00
2026-05-28T04:46:00Z,44.00,58.00
2026-05-28T04:47:00Z,44.00,58.00
2026-05-28T04:48:00Z,44.00,58.00
2026-05-28T04:51:00Z,44.00,58.00
2026-05-28T04:52:00Z,44.00,58.00
2026-05-28T04:53:00Z,44.00,58.00
2026-05-28T04:55:00Z,44.00,58.00
2026-05-28T04:57:00Z,44.00,58.00
2026-05-28T04:58:00Z,44.00,58.00
2026-05-28T05:00:00Z,44.00,58.00
2026-05-28T05:01:00Z,44.00,58.00
2026-05-28T05:04:00Z,44.00,58.00
2026-05-28T05:07:00Z,44.00,58.00
2026-05-28T05:09:00Z,44.00,58.00
2026-05-28T05:12:00Z,44.00,58.00
2026-05-28T05:13:00Z,43.00,58.00
2026-05-28T05:15:00Z,43.00,58.00
2026-05-28T05:16:00Z,43.00,58.00
2026-05-28T05:20:00Z,43.00,58.00
2026-05-28T05:22:00Z,43.00,58.00
2026-05-28T05:26:00Z,43.00,58.00
2026-05-28T05:27:00Z,43.00,58.00
2026-05-28T05:30:00Z,43.00,58.00
2026-05-28T05:31:00Z,43.00,58.00
2026-05-28T05:32:00Z,43.00,58.00
2026-05-28T05:33:00Z,43.00,58.00
2026-05-28T05:39:00Z,43.00,58.00
2026-05-28T05:41:00Z,43.00,58.00
2026-05-28T05:43:00Z,43.00,58.00
2026-05-28T05:46:00Z,43.00,58.00
2026-05-28T05:57:00Z,43.00,57.21
2026-05-28T05:59:00Z,43.00,58.00
2026-05-28T06:00:00Z,43.00,58.00
2026-05-28T06:04:00Z,43.00,58.00
2026-05-28T06:05:00Z,43.00,58.00
2026-05-28T06:06:00Z,43.00,58.00
2026-05-28T06:08:00Z,43.00,58.00
2026-05-28T06:09:00Z,43.00,58.00
2026-05-28T06:10:00Z,42.00,58.00
2026-05-28T06:15:00Z,42.00,58.00
2026-05-28T06:21:00Z,42.00,58.00
2026-05-28T06:22:00Z,42.00,58.00
2026-05-28T06:25:00Z,43.00,58.00
2026-05-28T06:27:00Z,43.00,58.00
2026-05-28T06:33:00Z,43.00,58.00
2026-05-28T06:36:00Z,43.00,58.00
2026-05-28T06:37:00Z,43.00,58.00
2026-05-28T06:40:00Z,43.00,58.00
2026-05-28T06:42:00Z,43.00,58.00
2026-05-28T06:45:00Z,43.00,58.00
2026-05-28T06:48:00Z,43.00,58.00
2026-05-28T06:54:00Z,43.00,58.00
2026-05-28T06:57:00Z,43.00,57.75
2026-05-28T09:01:00Z,18.93,75.23
2026-05-28T09:02:00Z,16.00,85.00
2026-05-28T09:03:00Z,17.61,85.90
2026-05-28T09:04:00Z,16.86,83.97
2026-05-28T09:05:00Z,22.78,75.93
2026-05-28T09:06:00Z,27.00,73.21
2026-05-28T09:07:00Z,28.69,71.59
2026-05-28T09:08:00Z,28.26,73.28
2026-05-28T09:09:00Z,28.88,73.24
2026-05-28T09:10:00Z,30.00,69.62
2026-05-28T09:11:00Z,32.36,66.73
2026-05-28T09:12:00Z,37.23,64.06
2026-05-28T09:13:00Z,35.31,64.39
2026-05-28T09:14:00Z,29.57,70.57
2026-05-28T09:15:00Z,29.80,72.39
2026-05-28T09:16:00Z,23.24,76.98
2026-05-28T09:17:00Z,24.22,76.39
2026-05-28T09:18:00Z,25.96,73.09
2026-05-28T09:19:00Z,29.76,71.00
2026-05-28T09:20:00Z,29.73,71.60
2026-05-28T09:21:00Z,29.62,71.15
2026-05-28T09:22:00Z,31.20,68.02
2026-05-28T09:23:00Z,32.00,69.78
2026-05-28T09:24:00Z,30.06,70.60
2026-05-28T09:25:00Z,30.04,70.04
2026-05-28T09:26:00Z,30.36,70.89
2026-05-28T09:27:00Z,22.58,76.81
2026-05-28T09:28:00Z,24.11,76.06
2026-05-28T09:29:00Z,21.21,77.15
2026-05-28T09:30:00Z,29.84,69.95
2026-05-28T09:31:00Z,29.59,69.61
2026-05-28T09:32:00Z,30.57,71.94
2026-05-28T09:33:00Z,34.45,67.38
2026-05-28T09:34:00Z,35.76,64.66
2026-05-28T09:35:00Z,36.96,64.64
2026-05-28T09:36:00Z,37.58,64.89
2026-05-28T09:37:00Z,36.71,59.37
2026-05-28T09:38:00Z,35.41,64.12
2026-05-28T09:39:00Z,37.44,64.85
2026-05-28T09:40:00Z,37.83,63.00
2026-05-28T09:41:00Z,38.14,62.76
2026-05-28T09:42:00Z,37.00,64.00
2026-05-28T09:43:00Z,35.00,66.00
2026-05-28T09:44:00Z,33.48,65.09
2026-05-28T09:45:00Z,37.62,63.64
2026-05-28T09:46:00Z,34.91,66.00
2026-05-28T09:47:00Z,39.38,61.32
2026-05-28T09:48:00Z,41.55,57.94
2026-05-28T09:49:00Z,41.75,58.90
2026-05-28T09:50:00Z,42.85,59.00
2026-05-28T09:51:00Z,43.49,58.29
2026-05-28T09:52:00Z,41.00,58.83
2026-05-28T09:53:00Z,43.96,57.69
2026-05-28T09:54:00Z,46.11,57.93
2026-05-28T09:55:00Z,41.80,59.33
2026-05-28T09:56:00Z,40.09,59.83
2026-05-28T09:57:00Z,37.46,61.82
2026-05-28T09:58:00Z,46.64,50.56
2026-05-28T09:59:00Z,62.29,36.69
2026-05-28T10:00:00Z,66.06,28.44
2026-05-28T10:01:00Z,71.41,31.64
2026-05-28T10:02:00Z,62.84,36.93
2026-05-28T10:03:00Z,70.95,28.22
2026-05-28T10:04:00Z,70.67,30.14
2026-05-28T10:05:00Z,67.75,31.30
2026-05-28T10:06:00Z,66.50,32.37
2026-05-28T10:07:00Z,70.00,31.88
2026-05-28T10:08:00Z,67.00,33.40
2026-05-28T10:09:00Z,71.33,30.51
2026-05-28T10:10:00Z,74.33,23.93
2026-05-28T10:11:00Z,77.82,22.88
2026-05-28T10:12:00Z,78.88,19.04
2026-05-28T10:13:00Z,78.60,20.13
2026-05-28T10:14:00Z,74.51,25.96
2026-05-28T10:15:00Z,70.51,29.71
2026-05-28T10:16:00Z,69.87,31.68
2026-05-28T10:17:00Z,53.91,44.38
2026-05-28T10:18:00Z,47.31,49.10
2026-05-28T10:19:00Z,41.86,59.38
2026-05-28T10:20:00Z,45.92,59.10
2026-05-28T10:21:00Z,48.27,49.92
2026-05-28T10:22:00Z,39.19,61.59
2026-05-28T10:23:00Z,34.18,66.19
2026-05-28T10:24:00Z,33.97,66.43
2026-05-28T10:25:00Z,30.89,71.73
2026-05-28T10:26:00Z,18.69,81.82
2026-05-28T10:27:00Z,21.12,81.39
2026-05-28T10:28:00Z,31.81,68.49
2026-05-28T10:29:00Z,27.13,73.60
2026-05-28T10:30:00Z,22.64,78.72
2026-05-28T10:31:00Z,15.27,92.42
2026-05-28T10:32:00Z,4.78,97.16
2026-05-28T10:33:00Z,2.25,98.92
2026-05-28T10:34:00Z,1.00,99.00
2026-05-28T10:35:00Z,1.00,99.00
2026-05-28T10:36:00Z,1.00,99.00
2026-05-28T10:37:00Z,1.00,99.00
