# event_ticker=KXATPMATCH-26MAR04FONCOL
# final_score=7-6(2) 6-4
# score_resolution=7-6 6-4
# match_winner=Joao Fonseca
# fav_player=Joao Fonseca
# dog_player=Raphael Collignon
# kalshi_date=2026-03-04
timestamp,Joao Fonseca,Raphael Collignon
2026-03-04T21:11:00Z,57.00,44.00
2026-03-04T21:12:00Z,56.71,44.00
2026-03-04T21:14:00Z,57.00,44.00
2026-03-04T21:15:00Z,57.00,44.00
2026-03-04T21:16:00Z,56.06,44.00
2026-03-04T21:17:00Z,57.00,44.00
2026-03-04T21:18:00Z,57.00,44.19
2026-03-04T21:19:00Z,57.00,44.00
2026-03-04T21:20:00Z,57.00,44.00
2026-03-04T21:22:00Z,57.00,44.00
2026-03-04T21:27:00Z,57.00,44.39
2026-03-04T21:28:00Z,57.00,44.28
2026-03-04T21:29:00Z,57.00,45.00
2026-03-04T21:30:00Z,57.00,45.00
2026-03-04T21:31:00Z,57.00,45.00
2026-03-04T21:32:00Z,57.00,45.00
2026-03-04T21:33:00Z,57.00,45.00
2026-03-04T21:34:00Z,57.00,45.00
2026-03-04T21:35:00Z,57.00,45.00
2026-03-04T21:37:00Z,56.00,45.00
2026-03-04T21:39:00Z,56.00,45.00
2026-03-04T21:41:00Z,56.00,45.00
2026-03-04T21:42:00Z,56.00,45.00
2026-03-04T21:44:00Z,57.00,45.00
2026-03-04T21:45:00Z,57.00,45.00
2026-03-04T21:48:00Z,57.00,45.00
2026-03-04T21:49:00Z,57.00,45.00
2026-03-04T21:50:00Z,57.00,45.00
2026-03-04T21:51:00Z,57.00,45.00
2026-03-04T21:53:00Z,57.00,45.00
2026-03-04T21:57:00Z,57.00,45.00
2026-03-04T22:01:00Z,57.00,45.00
2026-03-04T22:04:00Z,57.00,45.00
2026-03-04T22:05:00Z,57.00,45.00
2026-03-04T22:08:00Z,57.00,45.00
2026-03-04T22:09:00Z,57.00,45.00
2026-03-04T22:13:00Z,57.00,45.00
2026-03-04T22:14:00Z,57.00,44.38
2026-03-04T22:17:00Z,57.00,44.00
2026-03-04T22:18:00Z,57.00,44.00
2026-03-04T22:23:00Z,57.00,45.00
2026-03-04T22:24:00Z,57.00,44.81
2026-03-04T22:32:00Z,57.00,44.81
2026-03-04T22:33:00Z,56.75,44.81
2026-03-04T22:34:00Z,57.00,44.81
2026-03-04T22:39:00Z,57.00,44.81
2026-03-04T22:40:00Z,57.00,44.00
2026-03-04T22:41:00Z,57.00,44.00
2026-03-04T22:46:00Z,57.00,45.00
2026-03-04T22:48:00Z,57.00,45.00
2026-03-04T22:51:00Z,57.00,45.00
2026-03-04T22:53:00Z,57.00,45.00
2026-03-04T22:54:00Z,56.00,45.00
2026-03-04T23:00:00Z,57.00,45.00
2026-03-04T23:01:00Z,57.00,45.00
2026-03-04T23:04:00Z,57.00,45.00
2026-03-04T23:05:00Z,57.00,45.00
2026-03-04T23:06:00Z,57.00,45.00
2026-03-04T23:07:00Z,57.00,44.00
2026-03-04T23:08:00Z,57.00,44.00
2026-03-04T23:09:00Z,57.00,44.00
2026-03-04T23:10:00Z,57.00,44.00
2026-03-04T23:14:00Z,57.00,44.00
2026-03-04T23:16:00Z,57.00,44.00
2026-03-04T23:17:00Z,57.00,45.00
2026-03-04T23:18:00Z,57.00,44.00
2026-03-04T23:20:00Z,57.00,44.00
2026-03-04T23:21:00Z,57.00,45.00
2026-03-04T23:22:00Z,57.00,45.00
2026-03-04T23:27:00Z,56.00,45.00
2026-03-04T23:29:00Z,57.00,45.00
2026-03-04T23:30:00Z,57.00,45.00
2026-03-04T23:36:00Z,57.00,45.00
2026-03-04T23:43:00Z,57.00,45.00
2026-03-04T23:47:00Z,57.00,45.00
2026-03-04T23:48:00Z,57.00,45.00
2026-03-04T23:54:00Z,57.00,45.00
2026-03-04T23:55:00Z,57.00,45.00
2026-03-04T23:56:00Z,57.00,45.00
2026-03-04T23:57:00Z,57.00,45.00
2026-03-04T23:58:00Z,57.00,45.00
2026-03-04T23:59:00Z,56.00,45.00
2026-03-05T00:00:00Z,57.00,45.00
2026-03-05T00:03:00Z,57.00,45.00
2026-03-05T00:04:00Z,57.00,44.00
2026-03-05T00:05:00Z,57.00,45.00
2026-03-05T00:06:00Z,57.00,45.00
2026-03-05T00:09:00Z,57.00,45.00
2026-03-05T00:11:00Z,57.00,45.00
2026-03-05T00:12:00Z,57.00,45.00
2026-03-05T00:13:00Z,57.00,45.00
2026-03-05T00:15:00Z,57.00,45.00
2026-03-05T00:16:00Z,57.00,45.00
2026-03-05T00:17:00Z,57.00,45.00
2026-03-05T00:19:00Z,56.00,45.00
