# event_ticker=KXATPMATCH-26FEB22NAVKOP
# final_score=3-6 6-0 3-1 RET
# match_winner=Mariano Navone
# fav_player=Mariano Navone
# dog_player=Vit Kopriva
# kalshi_date=2026-02-22
timestamp,Mariano Navone,Vit Kopriva
2026-02-24T19:26:00Z,23.53,77.26
2026-02-24T19:27:00Z,24.31,77.98
2026-02-24T19:28:00Z,22.15,80.53
2026-02-24T19:29:00Z,18.64,81.09
2026-02-24T19:30:00Z,18.89,81.37
2026-02-24T19:31:00Z,18.93,81.59
2026-02-24T19:32:00Z,23.36,80.44
2026-02-24T19:33:00Z,32.61,67.97
2026-02-24T19:34:00Z,28.30,71.39
2026-02-24T19:35:00Z,29.73,70.17
2026-02-24T19:36:00Z,31.49,69.03
2026-02-24T19:37:00Z,35.47,65.68
2026-02-24T19:38:00Z,37.12,63.34
2026-02-24T19:39:00Z,41.66,57.58
2026-02-24T19:40:00Z,47.18,54.05
2026-02-24T19:41:00Z,45.49,54.69
2026-02-24T19:42:00Z,46.03,54.07
2026-02-24T19:43:00Z,47.24,54.01
2026-02-24T19:44:00Z,49.33,49.62
2026-02-24T19:45:00Z,47.57,49.42
2026-02-24T19:46:00Z,49.13,53.34
2026-02-24T19:47:00Z,54.05,48.64
2026-02-24T19:48:00Z,53.88,45.32
2026-02-24T19:49:00Z,52.18,49.64
2026-02-24T19:50:00Z,51.20,50.41
2026-02-24T19:51:00Z,52.65,48.93
2026-02-24T19:52:00Z,53.55,47.23
2026-02-24T19:53:00Z,55.26,46.38
2026-02-24T19:54:00Z,57.98,42.10
2026-02-24T19:55:00Z,57.99,43.34
2026-02-24T19:56:00Z,57.30,44.86
2026-02-24T19:57:00Z,56.93,43.58
2026-02-24T19:58:00Z,56.26,44.65
2026-02-24T19:59:00Z,55.57,45.96
2026-02-24T20:00:00Z,54.22,46.73
2026-02-24T20:01:00Z,53.95,47.87
2026-02-24T20:02:00Z,55.63,45.15
2026-02-24T20:03:00Z,59.85,43.34
2026-02-24T20:04:00Z,60.79,39.86
2026-02-24T20:05:00Z,58.10,42.59
2026-02-24T20:06:00Z,55.93,45.72
2026-02-24T20:07:00Z,67.81,30.03
2026-02-24T20:08:00Z,77.19,20.63
2026-02-24T20:09:00Z,74.58,25.01
2026-02-24T20:10:00Z,73.71,28.98
2026-02-24T20:11:00Z,77.02,23.61
2026-02-24T20:12:00Z,79.35,18.41
2026-02-24T20:13:00Z,82.98,17.10
2026-02-24T20:14:00Z,84.25,15.67
2026-02-24T20:15:00Z,81.13,20.74
2026-02-24T20:16:00Z,84.41,17.89
2026-02-24T20:17:00Z,85.44,16.83
2026-02-24T20:18:00Z,80.95,15.47
2026-02-24T20:19:00Z,86.03,13.27
2026-02-24T20:20:00Z,84.76,19.82
2026-02-24T20:21:00Z,80.13,21.07
2026-02-24T20:22:00Z,77.86,24.05
2026-02-24T20:23:00Z,78.45,23.55
2026-02-24T20:24:00Z,83.41,19.32
2026-02-24T20:25:00Z,87.17,13.91
2026-02-24T20:26:00Z,88.76,13.95
2026-02-24T20:27:00Z,97.17,3.03
2026-02-24T20:28:00Z,96.86,2.35
2026-02-24T20:29:00Z,98.04,1.51
2026-02-24T20:30:00Z,98.74,1.08
2026-02-24T20:31:00Z,99.00,1.00
2026-02-24T20:32:00Z,99.00,1.00
