# event_ticker=KXATPCHALLENGERMATCH-26APR28TOPKRU
# final_score=7-5 6-7(7) 6-2
# score_resolution=7-5 6-7 6-2
# match_winner=Martin Krumich
# fav_player=Martin Krumich
# dog_player=Marko ToPo
# kalshi_date=2026-04-28
timestamp,Marko ToPo,Martin Krumich
2026-04-28T12:42:00Z,25.24,76.00
2026-04-28T12:43:00Z,23.01,77.99
2026-04-28T12:44:00Z,21.00,78.06
2026-04-28T12:45:00Z,20.01,80.78
2026-04-28T12:46:00Z,23.92,77.00
2026-04-28T12:47:00Z,23.21,77.60
2026-04-28T12:48:00Z,22.77,78.48
2026-04-28T12:49:00Z,27.07,76.95
2026-04-28T12:50:00Z,33.00,69.92
2026-04-28T12:51:00Z,29.97,68.75
2026-04-28T12:52:00Z,29.82,71.36
2026-04-28T12:53:00Z,23.50,79.39
2026-04-28T12:54:00Z,17.13,87.13
2026-04-28T12:55:00Z,23.41,80.36
2026-04-28T12:56:00Z,23.11,79.94
2026-04-28T12:57:00Z,37.71,67.26
2026-04-28T12:58:00Z,40.55,59.29
2026-04-28T12:59:00Z,40.36,60.00
2026-04-28T13:00:00Z,41.35,59.41
2026-04-28T13:01:00Z,42.87,59.00
2026-04-28T13:02:00Z,41.61,59.00
2026-04-28T13:03:00Z,47.12,55.84
2026-04-28T13:04:00Z,61.48,40.88
2026-04-28T13:05:00Z,62.18,42.58
2026-04-28T13:06:00Z,48.71,50.33
2026-04-28T13:07:00Z,45.02,57.39
2026-04-28T13:08:00Z,41.25,59.53
2026-04-28T13:09:00Z,39.94,60.97
2026-04-28T13:10:00Z,43.66,57.80
2026-04-28T13:11:00Z,44.77,56.96
2026-04-28T13:12:00Z,46.11,54.01
2026-04-28T13:13:00Z,44.66,55.47
2026-04-28T13:14:00Z,40.40,60.20
2026-04-28T13:15:00Z,38.91,60.95
2026-04-28T13:16:00Z,38.63,61.84
2026-04-28T13:17:00Z,38.38,61.78
2026-04-28T13:18:00Z,37.76,62.11
2026-04-28T13:19:00Z,41.27,56.00
2026-04-28T13:20:00Z,47.60,51.96
2026-04-28T13:21:00Z,42.26,58.27
2026-04-28T13:22:00Z,39.57,61.30
2026-04-28T13:23:00Z,38.85,62.00
2026-04-28T13:24:00Z,39.85,60.63
2026-04-28T13:25:00Z,42.21,58.92
2026-04-28T13:26:00Z,39.13,63.52
2026-04-28T13:27:00Z,31.06,70.76
2026-04-28T13:28:00Z,10.01,89.72
2026-04-28T13:29:00Z,9.67,90.35
2026-04-28T13:30:00Z,15.10,83.51
2026-04-28T13:31:00Z,23.96,80.99
2026-04-28T13:32:00Z,10.88,91.65
2026-04-28T13:33:00Z,4.65,95.18
2026-04-28T13:34:00Z,3.91,95.51
2026-04-28T13:35:00Z,5.00,95.00
2026-04-28T13:36:00Z,2.33,98.86
2026-04-28T13:37:00Z,2.33,99.00
2026-04-28T13:38:00Z,2.33,99.00
